parameter,value,s.e._sa,r.s.e._sa
Tlag_pop,0.00082434845159429,0.00264557279028400,320.92894517694077194
ka_pop,0.72051181233149997,0.35600637339080837,49.41020636966511859
V_pop,193.75261464733469552,59.69355765673910952,30.80916237718512463
alpha_pop,1.44626612362982887,1.28860555667836585,89.09878587519096982
beta_pop,0.62071381075402299,0.16496628435785110,26.57686706816712174
omega_Tlag,3.49027005423778336,2.57318052821658982,73.72439634269301223
omega_ka,0.83313533507944049,0.28638618036391156,34.37450895497119774
omega_V,0.60499427655871285,0.18330553849900960,30.29872274853171632
a,0.22991458748477886,0.01924690683389916,8.37132912898507087
