id,importanceSampling
1,-24.331
2,-23.696
3,-36.658
4,-17.561
5,-34.519
6,-34.365
7,-31.784
8,-40.008
9,-20.008
10,-34.552
11,-16.532
12,-37.198
13,-35.154
14,-39.165
15,-49.534
16,-36.943
17,-47.881
18,-17.395
19,-37.877
20,-30.195
21,-29.490
22,-19.025
23,-31.640
24,-28.959
25,-22.366
26,-26.577
27,-22.589
28,-24.599
29,-44.124
30,-34.947
31,-14.349
32,-16.539
33,-22.597
34,-44.831
35,-45.636
36,-18.567
37,-41.524
38,-8.977
39,-21.583
40,-36.982
41,-30.169
42,-19.656
43,-25.297
44,-37.273
45,-42.076
46,-46.400
47,-35.892
48,-45.118
49,-24.299
50,-31.513
51,-42.762
52,-31.250
53,-20.719
54,-36.620
55,-34.744
56,-22.050
57,-24.602
58,-17.846
59,-43.140
60,-26.934
61,-38.805
62,-33.644
63,-27.057
64,-39.876
65,-44.362
66,-42.875
67,-44.949
68,-35.131
69,-22.697
70,-40.142
71,-34.731
72,-27.020
73,-20.522
74,-35.036
75,-34.203
76,-37.393
77,-42.077
78,-16.680
79,-40.719
80,-26.574
81,-27.655
82,-21.920
83,-35.847
84,-21.533
85,-34.074
86,-38.739
87,-16.035
88,-26.360
89,-45.684
90,-22.172
91,-38.141
92,-28.027
93,-32.238
94,-38.482
95,-39.344
96,-29.190
97,-21.018
98,-44.255
99,-29.507
100,-21.506
101,-29.174
102,-31.074
103,-51.466
104,-41.384
105,-38.056
106,-34.765
107,-18.574
108,-41.388
109,-12.627
110,-21.190
111,-10.960
112,-37.614
113,-32.588
114,-35.977
115,-22.680
116,-25.920
117,-44.807
118,-19.897
119,-13.487
120,-45.859
121,-17.710
122,-16.469
123,-41.961
124,-22.725
125,-21.433
126,-47.520
127,-35.133
128,-13.258
129,-21.309
130,-30.659
131,-19.105
132,-18.374
133,-47.222
134,-35.908
135,-26.098
136,-24.325
137,-21.832
138,-27.347
139,-23.835
140,-39.170
141,-24.833
142,-25.179
143,-31.130
144,-27.288
145,-21.592
146,-19.249
147,-17.508
148,-14.943
149,-36.980
150,-22.670
151,-44.803
152,-41.925
153,-34.010
154,-19.431
155,-20.086
156,-40.379
157,-35.614
158,-35.894
159,-31.139
160,-36.196
161,-20.188
162,-20.090
163,-20.782
164,-42.224
165,-27.835
166,-35.827
167,-11.647
168,-52.678
169,-32.645
170,-46.595
171,-41.078
172,-32.416
173,-25.726
174,-48.251
175,-49.852
176,-23.958
177,-28.524
178,-20.012
179,-33.845
180,-40.835
181,-26.006
182,-41.870
183,-22.292
184,-39.369
185,-36.209
186,-50.432
187,-27.152
188,-17.955
189,-33.511
190,-25.150
191,-32.471
192,-35.120
193,-43.581
194,-48.954
195,-35.338
196,-35.307
197,-35.030
198,-34.244
199,-38.078
200,-34.396
201,-46.283
202,-43.579
203,-44.677
204,-40.053
205,-17.064
206,-29.398
207,-20.540
208,-50.985
209,-25.230
210,-33.073
211,-19.072
212,-22.975
213,-38.715
214,-32.765
215,-24.311
216,-27.952
217,-23.905
218,-31.796
219,-36.366
220,-41.866
221,-27.575
222,-24.513
223,-43.661
224,-38.328
225,-24.578
226,-26.849
227,-38.383
228,-49.580
229,-46.767
230,-30.930
231,-21.199
232,-33.489
233,-33.632
234,-33.662
235,-26.787
236,-48.596
237,-32.335
238,-29.813
239,-34.128
240,-44.085
241,-18.052
242,-47.130
243,-34.427
244,-30.708
245,-24.498
246,-20.783
247,-43.638
248,-38.206
249,-45.749
250,-40.337
