id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM,eta_p0_mean,eta_alpha_mean,eta_tau_mean,eta_p0_sd,eta_alpha_sd,eta_tau_sd
228,0.000000,-0.645230,2.295040,0.000000,-0.631491,2.214702,0.000000,0.040511,0.219049
229,0.000000,-0.531983,-3.951980,0.000000,-0.535121,-3.974590,0.000000,0.019696,0.223925
230,0.000000,0.272351,10.425269,0.000000,0.214556,10.668593,0.000000,0.068215,0.329257
231,0.000000,0.031872,-1.406548,0.000000,0.036065,-1.407484,0.000000,0.039288,0.151178
232,0.000000,0.478441,-1.239713,0.000000,0.494723,-1.156581,0.000000,0.032561,0.111988
233,0.000000,0.311883,-7.339728,0.000000,0.300725,-7.381628,0.000000,0.024945,0.084147
234,0.000000,-0.080843,-7.685871,0.000000,-0.084223,-7.672740,0.000000,0.027284,0.138306
235,0.000000,-0.501176,-6.359662,0.000000,-0.500982,-6.353693,0.000000,0.019207,0.283988
236,0.000000,0.021107,1.119090,0.000000,0.015162,1.083715,0.000000,0.024312,0.167308
237,0.000000,0.344420,-11.226116,0.000000,0.345911,-11.215042,0.000000,0.022030,0.126509
238,0.000000,0.080715,4.706020,0.000000,0.104469,4.586613,0.000000,0.058856,0.323644
239,0.000000,-0.141104,3.115317,0.000000,-0.150734,3.054875,0.000000,0.022695,0.165363
240,0.000000,-0.690066,0.442795,0.000000,-0.675134,0.392660,0.000000,0.051731,0.181993
241,0.000000,-0.275692,-10.304703,0.000000,-0.293435,-10.377703,0.000000,0.030933,0.244072
242,0.000000,-0.203932,1.053126,0.000000,-0.204927,1.061099,0.000000,0.020738,0.142036
243,0.000000,-0.430212,9.627838,0.000000,-0.463464,9.857666,0.000000,0.071827,0.533313
244,0.000000,-0.581042,2.259553,0.000000,-0.571856,2.274536,0.000000,0.029883,0.176749
245,0.000000,-0.659967,-6.975166,0.000000,-0.658370,-6.960818,0.000000,0.022354,0.236150
246,0.000000,0.382353,-2.742703,0.000000,0.374601,-2.728134,0.000000,0.023221,0.084475
247,0.000000,-0.869197,3.698739,0.000000,-0.876793,3.689683,0.000000,0.022443,0.234463
248,0.000000,-0.138512,-1.069045,0.000000,-0.139027,-1.080149,0.000000,0.025032,0.100298
249,0.000000,0.218594,-10.587820,0.000000,0.215947,-10.556723,0.000000,0.019609,0.146422
250,0.000000,0.246504,-9.914495,0.000000,0.250898,-9.876470,0.000000,0.025406,0.113765
