id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
1,0.381926,0.034009,74.451679,0.381542,0.034041,74.449951,0.000000,0.001538,0.180568
2,0.381926,0.051520,75.371977,0.381542,0.051388,75.356207,0.000000,0.001287,0.123565
3,0.381926,0.025312,77.614020,0.381542,0.025132,77.622510,0.000000,0.001017,0.292418
4,0.381926,0.053775,64.379803,0.381542,0.053173,64.339098,0.000000,0.001297,0.091589
5,0.381926,0.034745,79.012649,0.381542,0.034747,79.017661,0.000000,0.000989,0.204654
6,0.381926,0.082638,61.100645,0.381542,0.079951,60.934587,0.000000,0.002751,0.215075
7,0.381926,0.046151,64.925235,0.381542,0.046132,64.927171,0.000000,0.001201,0.101642
8,0.381926,0.046722,60.452637,0.381542,0.046632,60.418097,0.000000,0.001247,0.189606
9,0.381926,0.051355,65.514231,0.381542,0.051662,65.506483,0.000000,0.001524,0.098272
10,0.381926,0.022351,81.562403,0.381542,0.022713,81.470808,0.000000,0.000851,0.283107
11,0.381926,0.094616,65.932665,0.381542,0.096601,65.796636,0.000000,0.005133,0.207700
12,0.381926,0.043111,77.653404,0.381542,0.042857,77.650723,0.000000,0.001422,0.183540
13,0.381926,0.065340,71.643348,0.381542,0.065549,71.630393,0.000000,0.001462,0.073797
14,0.381926,0.091690,68.876935,0.381542,0.091553,68.838527,0.000000,0.002053,0.116349
15,0.381926,0.057289,82.877660,0.381542,0.057923,82.840828,0.000000,0.002964,0.131885
16,0.381926,0.039904,61.024763,0.381542,0.039807,61.002609,0.000000,0.000795,0.120197
17,0.381926,0.055513,73.165637,0.381542,0.055427,73.154293,0.000000,0.001243,0.087543
18,0.381926,0.041684,59.926740,0.381542,0.041807,59.906212,0.000000,0.001038,0.173353
19,0.381926,0.045102,78.196224,0.381542,0.044606,78.170276,0.000000,0.001075,0.089876
20,0.381926,0.042130,66.594556,0.381542,0.041769,66.528432,0.000000,0.000918,0.135200
21,0.381926,0.045896,68.376189,0.381542,0.046408,68.370426,0.000000,0.001406,0.179965
22,0.381926,0.016805,84.951375,0.381542,0.017082,84.716602,0.000000,0.001285,0.934094
23,0.381926,0.031510,71.823826,0.381542,0.031636,71.830277,0.000000,0.001113,0.169717
24,0.381926,0.013155,87.020021,0.381542,0.013222,86.876003,0.000000,0.000721,0.801239
25,0.381926,0.032709,77.824634,0.381542,0.034057,77.662322,0.000000,0.002125,0.318669
26,0.381926,0.080335,76.058249,0.381542,0.075546,76.348318,0.000000,0.008760,0.466118
27,0.381926,0.031263,71.598451,0.381542,0.031111,71.600432,0.000000,0.000820,0.172621
28,0.381926,0.055095,73.552403,0.381542,0.054903,73.532584,0.000000,0.001153,0.123257
