          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.29701;   0.04374;     14.72;        NaN
    ka_pop;   1.54098;   0.74468;     48.32;        NaN
     V_pop; 231.38408;  35.75484;     15.45;        NaN
    Cl_pop;  39.52103;   4.06879;     10.30;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.36091;   0.29732;     21.85;        NaN
   omega_V;   0.41003;   0.13263;     32.35;        NaN
  omega_Cl;   0.32350;   0.07340;     22.69;        NaN
         a;   0.34619;   0.02673;      7.72;        NaN
