          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.24008;   0.05157;     21.48;        NaN
    ka_pop;   1.17786;   0.52300;     44.40;        NaN
     V_pop; 220.09874;  34.73357;     15.78;        NaN
    Cl_pop;  40.11083;   4.21979;     10.52;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.23409;   0.27021;     21.90;        NaN
   omega_V;   0.40619;   0.13646;     33.60;        NaN
  omega_Cl;   0.33335;   0.07526;     22.58;        NaN
         a;   0.34251;   0.02590;      7.56;        NaN
