          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.30946;   0.04202;     13.58;        NaN
    ka_pop;   1.69758;   0.83840;     49.39;        NaN
     V_pop; 236.49114;  35.75079;     15.12;        NaN
    Cl_pop;  39.38550;   4.06305;     10.32;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.39456;   0.30280;     21.71;        NaN
   omega_V;   0.40189;   0.13038;     32.44;        NaN
  omega_Cl;   0.32303;   0.07335;     22.71;        NaN
         a;   0.34609;   0.02681;      7.75;        NaN
