Tlag_abscissa,Tlag_cdf,ka_abscissa,ka_cdf,V_abscissa,V_cdf,alpha_abscissa,alpha_cdf,beta_abscissa,beta_cdf,split
0.918349,0.75,0.753576,0.75,0.790203,0.75,0.364252,0.75,0.694334,0.75,All
1.0903,0.766667,0.83413,0.766667,0.926041,0.766667,0.481192,0.766667,0.745485,0.766667,All
1.09847,0.783333,0.952744,0.783333,0.964303,0.783333,0.520822,0.783333,0.781134,0.783333,All
1.15562,0.8,0.995665,0.8,0.974187,0.8,0.577515,0.8,1.1196,0.8,All
1.15681,0.816667,1.00092,0.816667,0.982292,0.816667,0.579868,0.816667,1.14774,0.816667,All
1.23463,0.833333,1.00612,0.833333,1.02215,0.833333,0.592425,0.833333,1.16223,0.833333,All
1.27626,0.85,1.05163,0.85,1.06513,0.85,0.66278,0.85,1.31702,0.85,All
1.38029,0.866667,1.08257,0.866667,1.22182,0.866667,0.692981,0.866667,1.50979,0.866667,All
1.41881,0.883333,1.19634,0.883333,1.259,0.883333,0.732252,0.883333,1.52622,0.883333,All
1.50257,0.9,1.25001,0.9,1.31199,0.9,0.737196,0.9,1.571,0.9,All
1.60777,0.916667,1.40726,0.916667,1.34285,0.916667,1.01576,0.916667,1.58059,0.916667,All
1.68992,0.933333,1.48624,0.933333,1.38622,0.933333,1.05023,0.933333,1.72298,0.933333,All
1.7038,0.95,1.51124,0.95,1.55362,0.95,1.24651,0.95,1.81067,0.95,All
1.7341,0.966667,1.80754,0.966667,1.66851,0.966667,1.34106,0.966667,1.82236,0.966667,All
1.8674,0.983333,1.87541,0.983333,1.86457,0.983333,1.35643,0.983333,1.9657,0.983333,All
2.71385,1,2.92723,1,2.01666,1,1.39601,1,2.0271,1,All
