rep,id,eta_s,eta_d,eta_beta,eta_delta,eta_p,eta_c,eta_eta,eta_epsilon
1,1,2.4953167154534,2.2954688808935,0,0,0,0,0,0
1,2,2.41540645484818,-0.914321659564777,0,0,0,0,0,0
1,3,-1.18578904395801,-0.136252583315058,0,0,0,0,0,0
1,4,0.128307681179765,-1.07079044364888,0,0,0,0,0,0
1,5,0.413306022218375,1.30367726241486,0,0,0,0,0,0
1,6,0.583636862481242,0.0847151576051661,0,0,0,0,0,0
1,7,-0.209045741807019,0.103833290189159,0,0,0,0,0,0
1,8,-0.308005901086194,-1.80596300131081,0,0,0,0,0,0
1,9,3.03466789758131,-0.377784087633825,0,0,0,0,0,0
1,10,-0.869044647841843,0.923302597466746,0,0,0,0,0,0
1,11,-1.25327594349491,0.999759319710683,0,0,0,0,0,0
1,12,-2.50286721242063,0.104022600029377,0,0,0,0,0,0
1,13,-0.716268053419135,0.188407638862509,0,0,0,0,0,0
1,14,-2.41907056756545,-0.455761145885986,0,0,0,0,0,0
1,15,2.60700298744787,0.924209858757354,0,0,0,0,0,0
1,16,-2.30957360773797,-0.0679004927619664,0,0,0,0,0,0
1,17,0.780338809230072,2.09014737629214,0,0,0,0,0,0
1,18,2.07614953925368,1.58849771284792,0,0,0,0,0,0
1,19,0.929619615583825,-0.936242677356468,0,0,0,0,0,0
1,20,1.92310397862019,-2.14908265053419,0,0,0,0,0,0
1,21,0.286242485995228,0.221864202857465,0,0,0,0,0,0
1,22,-0.13511368337052,-3.05062464244793,0,0,0,0,0,0
1,23,1.19584317836105,0.479239370545479,0,0,0,0,0,0
1,24,2.30227033317048,-0.0656502818903417,0,0,0,0,0,0
1,25,-0.827142781528954,-0.593074803994498,0,0,0,0,0,0
1,26,-2.04260149320551,-0.465417600949577,0,0,0,0,0,0
1,27,-0.213291921671054,-0.769434251261642,0,0,0,0,0,0
1,28,-0.575622692136571,0.591978165291894,0,0,0,0,0,0
1,29,-0.312536679413169,0.303830347792961,0,0,0,0,0,0
1,30,-0.556089450708105,-2.28171998041841,0,0,0,0,0,0
1,31,-0.0352426986789141,0.251779287079298,0,0,0,0,0,0
1,32,0.930086376041009,1.38187862211257,0,0,0,0,0,0
1,33,1.1984171263623,1.765762630454,0,0,0,0,0,0
1,34,2.04536715922244,-1.53453324642055,0,0,0,0,0,0
1,35,-1.12843903529884,0.706817574250202,0,0,0,0,0,0
1,36,1.24207929027817,1.33464747242054,0,0,0,0,0,0
1,37,-1.478411512525,0.85192320548057,0,0,0,0,0,0
1,38,-0.727496338349621,1.26890568193014,0,0,0,0,0,0
1,39,-1.34137994334895,-0.895176018360771,0,0,0,0,0,0
1,40,0.0934996940008492,0.441036295727601,0,0,0,0,0,0
1,41,1.06559745283884,0.411262139743609,0,0,0,0,0,0
1,42,0.0319596421918291,-0.70160165156432,0,0,0,0,0,0
1,43,-2.09668051057028,0.454624247799382,0,0,0,0,0,0
1,44,-2.19395151913501,-0.534069833600527,0,0,0,0,0,0
1,45,-3.45922834676429,-0.851372189999321,0,0,0,0,0,0
1,46,-1.12131888289763,0.777310365759189,0,0,0,0,0,0
1,47,0.957313254694567,-0.646744815345898,0,0,0,0,0,0
1,48,-0.668475824150177,0.840025935645297,0,0,0,0,0,0
1,49,-1.09233305527019,-0.214078645364002,0,0,0,0,0,0
1,50,0.91940197253418,0.926977058368956,0,0,0,0,0,0
1,51,-4.28227075349024,-1.74432098584246,0,0,0,0,0,0
1,52,-2.66000449915465,-0.924725858261011,0,0,0,0,0,0
1,53,-0.618624884598405,1.13766767039634,0,0,0,0,0,0
1,54,3.3291957062617,0.045902461405521,0,0,0,0,0,0
1,55,-0.759910818273396,-1.71043895533503,0,0,0,0,0,0
1,56,1.53133935477336,0.216151375722085,0,0,0,0,0,0
