"","datasize","algo","variable","iter"
"160",10000,"OEMVR","X1",3967
"161",1000,"OEMVR","X2",541
"162",2000,"OEMVR","X2",1114
"163",3000,"OEMVR","X2",898
"164",4000,"OEMVR","X2",1733
"165",5000,"OEMVR","X2",1863
"166",6000,"OEMVR","X2",1708
"167",7000,"OEMVR","X2",2245
"168",8000,"OEMVR","X2",2810
"169",9000,"OEMVR","X2",2700
"170",10000,"OEMVR","X2",2144
"171",1000,"OEMVR","X3",302
"172",2000,"OEMVR","X3",576
"173",3000,"OEMVR","X3",718
"174",4000,"OEMVR","X3",1304
"175",5000,"OEMVR","X3",1222
"176",6000,"OEMVR","X3",1869
"177",7000,"OEMVR","X3",2090
"178",8000,"OEMVR","X3",3410
"179",9000,"OEMVR","X3",4352
"180",10000,"OEMVR","X3",3783
"181",1000,"OEMVR","X4",387
"182",2000,"OEMVR","X4",2249
"183",3000,"OEMVR","X4",1215
"184",4000,"OEMVR","X4",1259
"185",5000,"OEMVR","X4",2223
"186",6000,"OEMVR","X4",2250
"187",7000,"OEMVR","X4",2899
"188",8000,"OEMVR","X4",2223
"189",9000,"OEMVR","X4",2665
"190",10000,"OEMVR","X4",2976
"191",1000,"OEMVR","X5",631
"192",2000,"OEMVR","X5",577
"193",3000,"OEMVR","X5",1035
"194",4000,"OEMVR","X5",2734
"195",5000,"OEMVR","X5",1974
"196",6000,"OEMVR","X5",2444
"197",7000,"OEMVR","X5",2103
"198",8000,"OEMVR","X5",4469
"199",9000,"OEMVR","X5",3353
"200",10000,"OEMVR","X5",2264
"201",1000,"SAGA","X1",520
"202",2000,"SAGA","X1",1336
"203",3000,"SAGA","X1",1628
"204",4000,"SAGA","X1",3232
"205",5000,"SAGA","X1",2048
"206",6000,"SAGA","X1",3029
"207",7000,"SAGA","X1",2501
"208",8000,"SAGA","X1",2720
"209",9000,"SAGA","X1",1902
"210",10000,"SAGA","X1",3210
"211",1000,"SAGA","X2",970
"212",2000,"SAGA","X2",822
"213",3000,"SAGA","X2",1144
"214",4000,"SAGA","X2",1286
"215",5000,"SAGA","X2",1970
"216",6000,"SAGA","X2",2812
"217",7000,"SAGA","X2",1860
"218",8000,"SAGA","X2",2582
"219",9000,"SAGA","X2",4204
"220",10000,"SAGA","X2",4097
"221",1000,"SAGA","X3",473
"222",2000,"SAGA","X3",909
"223",3000,"SAGA","X3",1106
"224",4000,"SAGA","X3",1373
"225",5000,"SAGA","X3",1373
"226",6000,"SAGA","X3",2453
"227",7000,"SAGA","X3",1530
"228",8000,"SAGA","X3",2670
"229",9000,"SAGA","X3",2772
"230",10000,"SAGA","X3",2833
"231",1000,"SAGA","X4",1003
"232",2000,"SAGA","X4",2380
"233",3000,"SAGA","X4",2537
"234",4000,"SAGA","X4",1392
"235",5000,"SAGA","X4",1559
"236",6000,"SAGA","X4",2232
"237",7000,"SAGA","X4",3000
"238",8000,"SAGA","X4",3339
"239",9000,"SAGA","X4",3109
"240",10000,"SAGA","X4",3402
"241",1000,"SAGA","X5",653
"242",2000,"SAGA","X5",1267
"243",3000,"SAGA","X5",963
"244",4000,"SAGA","X5",1811
"245",5000,"SAGA","X5",1184
"246",6000,"SAGA","X5",2099
"247",7000,"SAGA","X5",2192
"248",8000,"SAGA","X5",3217
"249",9000,"SAGA","X5",2752
"250",10000,"SAGA","X5",2829
