"","datasize","algo","variable","iter"
"171",90000,"IEM","X1",688329
"172",95000,"IEM","X1",739529
"173",1e+05,"IEM","X1",789818
"174",105000,"IEM","X1",832501
"175",1000,"IEM","X2",9857
"176",2000,"IEM","X2",16274
"177",3000,"IEM","X2",21905
"178",4000,"IEM","X2",31790
"179",5000,"IEM","X2",44016
"180",6000,"IEM","X2",48675
"181",7000,"IEM","X2",50933
"182",8000,"IEM","X2",59401
"183",9000,"IEM","X2",72583
"184",10000,"IEM","X2",77529
"185",15000,"IEM","X2",106891
"186",20000,"IEM","X2",152678
"187",25000,"IEM","X2",201966
"188",30000,"IEM","X2",236285
"189",35000,"IEM","X2",275040
"190",40000,"IEM","X2",318272
"191",45000,"IEM","X2",350551
"192",50000,"IEM","X2",410892
"193",55000,"IEM","X2",469521
"194",60000,"IEM","X2",492803
"195",65000,"IEM","X2",527131
"196",70000,"IEM","X2",567987
"197",75000,"IEM","X2",589566
"198",80000,"IEM","X2",640299
"199",85000,"IEM","X2",671949
"200",90000,"IEM","X2",708254
"201",95000,"IEM","X2",760397
"202",1e+05,"IEM","X2",799285
"203",105000,"IEM","X2",837873
"204",1000,"IEM","X3",6368
"205",2000,"IEM","X3",10239
"206",3000,"IEM","X3",19492
"207",4000,"IEM","X3",25083
"208",5000,"IEM","X3",34429
"209",6000,"IEM","X3",48204
"210",7000,"IEM","X3",58299
"211",8000,"IEM","X3",65344
"212",9000,"IEM","X3",72139
"213",10000,"IEM","X3",78022
"214",15000,"IEM","X3",112806
"215",20000,"IEM","X3",165773
"216",25000,"IEM","X3",193752
"217",30000,"IEM","X3",236603
"218",35000,"IEM","X3",281296
"219",40000,"IEM","X3",321444
"220",45000,"IEM","X3",357706
"221",50000,"IEM","X3",381552
"222",55000,"IEM","X3",420719
"223",60000,"IEM","X3",466322
"224",65000,"IEM","X3",497153
"225",70000,"IEM","X3",528152
"226",75000,"IEM","X3",568941
"227",80000,"IEM","X3",610805
"228",85000,"IEM","X3",638749
"229",90000,"IEM","X3",680849
"230",95000,"IEM","X3",716711
"231",1e+05,"IEM","X3",751956
"232",105000,"IEM","X3",801168
"233",1000,"IEM","X4",10766
"234",2000,"IEM","X4",20908
"235",3000,"IEM","X4",30262
"236",4000,"IEM","X4",33377
"237",5000,"IEM","X4",39587
"238",6000,"IEM","X4",46209
"239",7000,"IEM","X4",53072
"240",8000,"IEM","X4",62825
"241",9000,"IEM","X4",76741
"242",10000,"IEM","X4",84311
"243",15000,"IEM","X4",113351
"244",20000,"IEM","X4",166006
"245",25000,"IEM","X4",190372
"246",30000,"IEM","X4",229146
"247",35000,"IEM","X4",277358
"248",40000,"IEM","X4",317358
"249",45000,"IEM","X4",363123
"250",50000,"IEM","X4",392527
"251",55000,"IEM","X4",452772
"252",60000,"IEM","X4",481450
"253",65000,"IEM","X4",529266
"254",70000,"IEM","X4",547756
"255",75000,"IEM","X4",599333
"256",80000,"IEM","X4",633611
"257",85000,"IEM","X4",656189
"258",90000,"IEM","X4",691639
"259",95000,"IEM","X4",728146
"260",1e+05,"IEM","X4",759589
"261",105000,"IEM","X4",785290
"262",1000,"IEM","X5",11329
"263",2000,"IEM","X5",14121
"264",3000,"IEM","X5",20457
"265",4000,"IEM","X5",32465
"266",5000,"IEM","X5",36587
"267",6000,"IEM","X5",42466
"268",7000,"IEM","X5",50377
"269",8000,"IEM","X5",59371
"270",9000,"IEM","X5",71045
"271",10000,"IEM","X5",79720
"272",15000,"IEM","X5",125665
"273",20000,"IEM","X5",151354
"274",25000,"IEM","X5",186753
"275",30000,"IEM","X5",244889
"276",35000,"IEM","X5",287463
"277",40000,"IEM","X5",320338
"278",45000,"IEM","X5",350489
"279",50000,"IEM","X5",377286
"280",55000,"IEM","X5",424929
"281",60000,"IEM","X5",476789
"282",65000,"IEM","X5",519359
"283",70000,"IEM","X5",556558
"284",75000,"IEM","X5",603102
"285",80000,"IEM","X5",633666
"286",85000,"IEM","X5",662997
"287",90000,"IEM","X5",696034
