Tlag_abscissa,Tlag_pdf,ka_abscissa,ka_pdf,V_abscissa,V_pdf,split
0.0100752,53.9691,0.530071,1.09467,75.3456,0.00185545,All
0.0302256,0,1.23234,0.160195,135.978,0.00309242,All
0.050376,0,1.93461,0.106797,196.61,0.00494787,All
0.0705264,0.930502,2.63688,0.160195,257.242,0.0037109,All
0.0906768,0,3.33915,0,317.874,0.00247394,All
0.110827,0,4.04142,0.0266992,378.506,0.000927726,All
0.130978,0,4.74369,0.0266992,439.138,0.000927726,All
0.151128,0.930502,5.44596,0.0266992,499.77,0.000618484,All
