Tlag_abscissa,Tlag_pdf,Tlag_cdf,ka_abscissa,ka_pdf,ka_cdf,V_abscissa,V_pdf,V_cdf,split
0.106003,0.0537059,0.985586,3.80642,0.0160749,0.978288,354.927,0.00111699,0.843109,All
0.107713,0.0525665,0.985676,3.86782,0.0152257,0.979249,360.316,0.00107272,0.849009,All
0.109423,0.0514683,0.985765,3.92921,0.0144287,0.980159,365.706,0.00103021,0.854675,All
0.111133,0.0504093,0.985853,3.9906,0.0136802,0.981021,371.096,0.000989379,0.860116,All
0.112842,0.0493875,0.985938,4.052,0.0129769,0.98184,376.485,0.000950182,0.865342,All
0.114552,0.048401,0.986021,4.11339,0.0123156,0.982616,381.875,0.000912556,0.870361,All
0.116262,0.0474481,0.986103,4.17479,0.0116934,0.983353,387.264,0.000876444,0.875181,All
0.117971,0.0465272,0.986184,4.23618,0.0111078,0.984052,392.654,0.00084179,0.879811,All
0.119681,0.0456369,0.986262,4.29757,0.0105563,0.984717,398.043,0.000808539,0.884258,All
0.121391,0.0447756,0.98634,4.35897,0.0100365,0.985349,403.433,0.000776636,0.888529,All
0.123101,0.0439422,0.986416,4.42036,0.00954652,0.98595,408.822,0.000746031,0.892631,All
0.12481,0.0431351,0.98649,4.48176,0.00908428,0.986522,414.212,0.000716672,0.896573,All
0.12652,0.0423535,0.986563,4.54315,0.00864802,0.987066,419.601,0.00068851,0.900359,All
0.12823,0.041596,0.986635,4.60454,0.00823607,0.987584,424.991,0.000661498,0.903996,All
0.12994,0.0408616,0.986705,4.66594,0.00784689,0.988078,430.38,0.00063559,0.907491,All
0.131649,0.0401494,0.986775,4.72733,0.00747904,0.988548,435.77,0.000610741,0.910849,All
0.133359,0.0394584,0.986843,4.78873,0.0071312,0.988997,441.159,0.000586907,0.914076,All
0.135069,0.0387877,0.98691,4.85012,0.00680212,0.989424,446.549,0.000564049,0.917177,All
0.136779,0.0381365,0.986975,4.91151,0.00649064,0.989832,451.938,0.000542125,0.920158,All
0.138488,0.0375039,0.98704,4.97291,0.0061957,0.990222,457.328,0.000521098,0.923022,All
0.140198,0.0368893,0.987104,5.0343,0.00591629,0.990593,462.717,0.00050093,0.925776,All
0.141908,0.0362919,0.987166,5.09569,0.00565147,0.990948,468.107,0.000481586,0.928423,All
0.143617,0.035711,0.987228,5.15709,0.0054004,0.991287,473.496,0.000463031,0.930968,All
0.145327,0.0351461,0.987288,5.21848,0.00516224,0.991612,478.886,0.000445233,0.933416,All
0.147037,0.0345964,0.987348,5.27988,0.00493624,0.991922,484.275,0.00042816,0.935769,All
0.148747,0.0340613,0.987407,5.34127,0.0047217,0.992218,489.665,0.000411782,0.938032,All
0.150456,0.0335405,0.987464,5.40266,0.00451795,0.992502,495.055,0.000396069,0.940209,All
0.152166,0.0330332,0.987521,5.46406,0.00432438,0.992773,500.444,0.000380994,0.942302,All
0.153876,0.0325391,0.987577,5.52545,0.0041404,0.993033,505.834,0.00036653,0.944317,All
0.155586,0.0320576,0.987633,5.58685,0.00396548,0.993282,511.223,0.000352651,0.946254,All
0.157295,0.0315882,0.987687,5.64824,0.00379911,0.99352,516.613,0.000339333,0.948119,All
0.159005,0.0311307,0.987741,5.70963,0.00364081,0.993748,522.002,0.000326552,0.949913,All
0.160715,0.0306844,0.987793,5.77103,0.00349014,0.993967,527.392,0.000314286,0.95164,All
0.162425,0.0302491,0.987845,5.83242,0.00334667,0.994177,532.781,0.000302512,0.953302,All
0.164134,0.0298243,0.987897,5.89382,0.00321003,0.994378,538.171,0.000291211,0.954901,All
0.165844,0.0294098,0.987947,5.95521,0.00307983,0.994571,543.56,0.000280362,0.956441,All
0.167554,0.0290051,0.987997,6.0166,0.00295573,0.994756,548.95,0.000269946,0.957924,All
0.169263,0.0286099,0.988047,6.078,0.0028374,0.994934,554.339,0.000259945,0.959352,All
