          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.28708;   0.04446;     15.49;        NaN
    ka_pop;   1.43477;   0.67044;     46.73;        NaN
     V_pop; 226.85213;  35.29468;     15.56;        NaN
    Cl_pop;  39.46060;   4.11768;     10.43;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.31537;   0.28716;     21.83;        NaN
   omega_V;   0.40784;   0.13441;     32.96;        NaN
  omega_Cl;   0.32984;   0.07426;     22.52;        NaN
         a;   0.34435;   0.02648;      7.69;        NaN
