id,importanceSampling
1,-24.507
2,-23.686
3,-37.093
4,-18.037
5,-34.635
6,-35.511
7,-32.023
8,-40.142
9,-20.492
10,-35.547
11,-17.608
12,-37.163
13,-35.508
14,-39.904
15,-48.439
16,-36.633
17,-48.064
18,-17.174
19,-37.762
20,-30.411
21,-29.778
22,-21.538
23,-31.670
24,-32.902
25,-22.558
26,-26.385
27,-22.631
28,-24.769
29,-43.274
30,-34.792
31,-15.137
32,-16.659
33,-22.810
34,-45.220
35,-45.703
36,-18.785
37,-41.058
38,-9.690
39,-21.739
40,-37.878
41,-30.312
42,-20.216
43,-25.454
44,-37.530
45,-42.320
46,-46.767
47,-36.131
48,-45.454
49,-24.060
50,-31.738
51,-43.050
52,-31.878
53,-21.447
54,-36.726
55,-35.741
56,-22.223
57,-24.788
58,-16.615
59,-42.789
60,-27.042
61,-39.689
62,-31.814
63,-26.328
64,-40.010
65,-43.900
66,-43.046
67,-44.033
68,-35.679
69,-22.835
70,-40.860
71,-36.572
72,-26.713
73,-20.771
74,-34.779
75,-34.514
76,-37.441
77,-42.647
78,-16.240
79,-40.657
80,-24.624
81,-27.033
82,-22.111
83,-36.124
84,-20.998
85,-34.589
86,-38.568
87,-17.023
88,-26.567
89,-45.412
90,-21.504
91,-38.157
92,-27.142
93,-32.091
94,-38.037
95,-39.411
96,-29.644
97,-21.171
98,-44.941
99,-29.450
100,-21.939
101,-29.870
102,-30.985
103,-50.614
104,-42.025
105,-37.377
106,-34.799
107,-15.782
108,-41.989
109,-13.207
110,-19.725
111,-11.320
112,-37.506
113,-32.964
114,-35.025
115,-22.791
116,-26.369
117,-44.123
118,-22.717
119,-14.797
120,-43.999
121,-17.930
122,-16.106
123,-40.583
124,-22.324
125,-21.356
126,-48.041
127,-35.800
128,-19.316
129,-19.686
130,-32.486
131,-19.865
132,-18.270
133,-47.423
134,-35.681
135,-27.565
136,-25.112
137,-21.784
138,-28.622
139,-21.885
140,-41.812
141,-25.018
142,-25.336
143,-31.003
144,-26.877
145,-20.527
146,-19.642
147,-18.605
148,-15.122
149,-37.117
150,-22.706
151,-48.393
152,-42.117
153,-34.010
154,-18.585
155,-20.641
156,-39.354
157,-36.446
158,-35.674
159,-31.131
160,-36.327
161,-19.978
162,-19.529
163,-21.636
164,-44.972
165,-28.244
166,-36.186
167,-20.187
168,-49.162
169,-33.608
170,-46.776
171,-41.221
172,-32.569
173,-26.549
174,-48.626
175,-49.801
176,-24.151
177,-27.297
178,-19.277
179,-34.285
180,-40.895
181,-26.139
182,-40.418
183,-22.448
184,-39.573
185,-36.058
186,-50.699
187,-28.701
188,-17.834
189,-33.794
190,-25.374
191,-32.649
192,-35.913
193,-45.299
194,-49.429
195,-35.626
196,-35.776
197,-35.126
198,-34.336
199,-38.707
200,-34.106
201,-47.496
202,-44.052
203,-44.223
204,-39.605
205,-17.520
206,-28.688
207,-20.866
208,-50.367
209,-24.955
210,-32.026
211,-19.251
212,-23.796
213,-38.643
214,-31.842
215,-25.452
216,-28.068
217,-24.647
218,-31.930
219,-36.455
220,-41.796
221,-27.505
222,-23.893
223,-43.817
224,-41.333
225,-25.994
226,-27.450
227,-38.735
228,-49.899
229,-46.199
230,-29.675
231,-21.386
232,-33.688
233,-34.268
234,-33.720
235,-25.892
236,-48.756
237,-33.023
238,-29.554
239,-34.274
240,-44.087
241,-17.371
242,-47.290
243,-35.109
244,-31.005
245,-22.990
246,-21.105
247,-44.150
248,-38.392
249,-46.261
250,-40.832
