rep,id,p0,alpha,tau
1,168,0.403735,0.096613,90.926203
1,169,0.403735,0.086659,65.868660
1,170,0.403735,0.047195,74.301412
1,171,0.403735,0.015926,78.770166
1,172,0.403735,0.034646,74.001885
1,173,0.403735,0.076946,67.488007
1,174,0.403735,0.017023,78.587445
1,175,0.403735,0.026018,73.610160
1,176,0.403735,0.045190,67.371121
1,177,0.403735,0.060693,81.468542
1,178,0.403735,0.041731,83.541172
1,179,0.403735,0.057524,69.294328
1,180,0.403735,0.041337,65.063662
1,181,0.403735,0.096726,73.214854
1,182,0.403735,0.014809,74.681604
1,183,0.403735,0.030433,75.334098
1,184,0.403735,0.042426,72.667277
1,185,0.403735,0.075413,75.418236
1,186,0.403735,0.047292,72.788728
1,187,0.403735,0.135786,63.667813
1,188,0.403735,0.047933,77.766427
1,189,0.403735,0.021074,77.179087
1,190,0.403735,0.101409,72.833873
1,191,0.403735,0.036913,74.547444
1,192,0.403735,0.061165,61.086483
1,193,0.403735,0.021145,93.181904
1,194,0.403735,0.056648,70.094531
1,195,0.403735,0.045127,69.940574
1,196,0.403735,0.053880,67.088315
1,197,0.403735,0.063036,74.019004
1,198,0.403735,0.157287,73.309634
1,199,0.403735,0.057400,67.160373
1,200,0.403735,0.027970,71.097821
1,201,0.403735,0.022038,86.499911
1,202,0.403735,0.016440,78.961076
1,203,0.403735,0.027899,69.854530
1,204,0.403735,0.028318,69.024919
1,205,0.403735,0.117768,71.326860
1,206,0.403735,0.063128,80.446257
1,207,0.403735,0.032631,79.431142
1,208,0.403735,0.044358,84.940580
1,209,0.403735,0.060436,77.666004
1,210,0.403735,0.020842,71.248077
1,211,0.403735,0.025482,76.403440
1,212,0.403735,0.066465,64.934335
1,213,0.403735,0.039297,81.007009
1,214,0.403735,0.074922,80.049356
1,215,0.403735,0.090445,64.103402
1,216,0.403735,0.060413,74.666229
1,217,0.403735,0.069730,67.412201
1,218,0.403735,0.044850,74.758335
1,219,0.403735,0.033327,81.010904
1,220,0.403735,0.058561,76.146885
1,221,0.403735,0.023663,74.321078
