id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
1,0.223424,0.024789,69.089277,0.223446,0.024976,69.127370,0.000000,0.000897,0.188429
2,0.223424,0.037759,71.872877,0.223446,0.037761,71.873328,0.000000,0.000932,0.163727
3,0.223424,0.018493,70.426147,0.223446,0.018492,70.461024,0.000000,0.000706,0.229202
4,0.223424,0.039322,60.981504,0.223446,0.039335,60.987030,0.000000,0.000906,0.156629
5,0.223424,0.025563,73.839256,0.223446,0.025404,73.811515,0.000000,0.000771,0.230949
6,0.223424,0.058213,58.597666,0.223446,0.060020,58.834870,0.000000,0.003055,0.369833
7,0.223424,0.033692,60.971924,0.223446,0.033906,61.015640,0.000000,0.000793,0.164518
8,0.223424,0.034361,56.571743,0.223446,0.034308,56.571464,0.000000,0.000809,0.189204
9,0.223424,0.037626,61.956700,0.223446,0.037981,62.007936,0.000000,0.001108,0.164328
10,0.223424,0.016434,73.489615,0.223446,0.016443,73.487924,0.000000,0.000691,0.238771
11,0.223424,0.070548,63.945398,0.223446,0.070440,63.938989,0.000000,0.004094,0.155225
12,0.223424,0.031519,73.439788,0.223446,0.031475,73.445859,0.000000,0.001070,0.199073
13,0.223424,0.048514,68.917949,0.223446,0.048026,68.874568,0.000000,0.000883,0.094506
14,0.223424,0.067614,66.883120,0.223446,0.067281,66.872647,0.000000,0.001740,0.152454
15,0.223424,0.042750,79.722851,0.223446,0.042276,79.702374,0.000000,0.002535,0.153859
16,0.223424,0.029404,56.514477,0.223446,0.029509,56.543938,0.000000,0.000698,0.217169
17,0.223424,0.040996,69.937233,0.223446,0.040922,69.931835,0.000000,0.000956,0.138027
18,0.223424,0.031057,55.691119,0.223446,0.030837,55.640665,0.000000,0.000719,0.210295
19,0.223424,0.033119,74.185752,0.223446,0.032850,74.131898,0.000000,0.000757,0.170837
20,0.223424,0.030653,62.226562,0.223446,0.030749,62.247001,0.000000,0.000639,0.199883
21,0.223424,0.033798,64.442917,0.223446,0.034004,64.486755,0.000000,0.001152,0.245375
22,0.223424,0.011969,74.225090,0.223446,0.012006,74.254183,0.000000,0.000906,0.474926
23,0.223424,0.022862,65.991176,0.223446,0.023228,66.141786,0.000000,0.000766,0.312151
24,0.223424,0.009402,73.309961,0.223446,0.009433,73.345824,0.000000,0.000563,0.454155
25,0.223424,0.024566,72.352015,0.223446,0.024761,72.335829,0.000000,0.001414,0.243086
26,0.223424,0.058867,73.785302,0.223446,0.058043,73.844378,0.000000,0.005720,0.197813
27,0.223424,0.023032,65.857078,0.223446,0.023006,65.848484,0.000000,0.000637,0.263008
28,0.223424,0.040123,70.219310,0.223446,0.040420,70.266854,0.000000,0.000934,0.193454
29,0.223424,0.057331,77.097677,0.223446,0.057675,77.121430,0.000000,0.001546,0.106522
30,0.223424,0.020496,64.860181,0.223446,0.020564,64.911973,0.000000,0.000502,0.326957
31,0.223424,0.050765,62.952920,0.223446,0.050702,62.958034,0.000000,0.001287,0.113299
32,0.223424,0.044971,70.918775,0.223446,0.044781,70.900204,0.000000,0.001447,0.200863
33,0.223424,0.023894,70.674704,0.223446,0.024064,70.649983,0.000000,0.001794,0.288548
34,0.223424,0.035677,64.826957,0.223446,0.035841,64.852051,0.000000,0.000663,0.109259
35,0.223424,0.035477,71.594510,0.223446,0.035261,71.594152,0.000000,0.001213,0.115960
36,0.223424,0.029870,65.993239,0.223446,0.029814,65.973335,0.000000,0.000739,0.209477
37,0.223424,0.022051,61.038684,0.223446,0.021935,61.005493,0.000000,0.000768,0.349839
38,0.223424,0.057949,66.024529,0.223446,0.057582,65.959329,0.000000,0.002103,0.348868
39,0.223424,0.028827,70.319900,0.223446,0.028887,70.299022,0.000000,0.000688,0.208350
40,0.223424,0.056613,63.825186,0.223446,0.056737,63.839450,0.000000,0.001287,0.092157
41,0.223424,0.022365,66.986976,0.223446,0.022187,66.922939,0.000000,0.000759,0.205522
42,0.223424,0.077232,68.550418,0.223446,0.077626,68.564143,0.000000,0.001525,0.084377
43,0.223424,0.048982,70.218836,0.223446,0.049124,70.228430,0.000000,0.001534,0.158822
44,0.223424,0.034802,58.269984,0.223446,0.034392,58.169388,0.000000,0.001157,0.306899
45,0.223424,0.050834,69.881964,0.223446,0.050968,69.912303,0.000000,0.001724,0.168851
46,0.223424,0.036704,65.780398,0.223446,0.036592,65.760372,0.000000,0.000753,0.160616
47,0.223424,0.047989,69.795205,0.223446,0.047928,69.775445,0.000000,0.000961,0.094161
48,0.223424,0.022116,72.275699,0.223446,0.022096,72.273615,0.000000,0.000489,0.210177
49,0.223424,0.046362,73.636187,0.223446,0.046297,73.620036,0.000000,0.003825,0.159654
50,0.223424,0.055284,70.282511,0.223446,0.055364,70.289495,0.000000,0.001009,0.130210
51,0.223424,0.034186,66.614984,0.223446,0.034188,66.612841,0.000000,0.000755,0.156393
52,0.223424,0.047094,65.234693,0.223446,0.047043,65.235630,0.000000,0.000802,0.112732
53,0.223424,0.047572,65.461183,0.223446,0.046116,65.193089,0.000000,0.004913,0.827626
54,0.223424,0.029186,71.624823,0.223446,0.029396,71.683419,0.000000,0.000712,0.199537
55,0.223424,0.058537,62.521597,0.223446,0.058802,62.539186,0.000000,0.001213,0.101928
56,0.223424,0.051898,70.546317,0.223446,0.051233,70.461646,0.000000,0.001835,0.341087
57,0.223424,0.033042,68.987886,0.223446,0.033073,69.000495,0.000000,0.000908,0.210695
58,0.223424,0.018337,58.601723,0.223446,0.018360,58.597638,0.000000,0.000491,0.312659
59,0.223424,0.035257,75.924063,0.223446,0.035397,75.950584,0.000000,0.000893,0.200703
60,0.223424,0.059984,71.251415,0.223446,0.059748,71.226069,0.000000,0.001963,0.146104
61,0.223424,0.054650,62.834849,0.223446,0.054840,62.841258,0.000000,0.001839,0.095739
62,0.223424,0.069697,80.952229,0.223446,0.069409,80.926409,0.000000,0.002272,0.114336
63,0.223424,0.016461,61.670771,0.223446,0.016661,61.902775,0.000000,0.000445,0.419291
64,0.223424,0.032783,70.590337,0.223446,0.032736,70.596828,0.000000,0.000721,0.173770
65,0.223424,0.032545,77.622928,0.223446,0.032606,77.621300,0.000000,0.000795,0.155228
66,0.223424,0.056934,70.400697,0.223446,0.056735,70.356835,0.000000,0.001590,0.197675
67,0.223424,0.031985,84.311697,0.223446,0.031816,84.435815,0.000000,0.005113,1.445246
68,0.223424,0.019949,72.822651,0.223446,0.019783,72.738127,0.000000,0.000622,0.289476
69,0.223424,0.024848,74.138451,0.223446,0.024837,74.157400,0.000000,0.000959,0.266062
70,0.223424,0.018268,72.816631,0.223446,0.018278,72.835607,0.000000,0.000525,0.267808
71,0.223424,0.013062,73.055142,0.223446,0.013030,73.032579,0.000000,0.000725,0.334661
72,0.223424,0.014560,64.573096,0.223446,0.014632,64.589301,0.000000,0.000560,0.316386
73,0.223424,0.034354,68.319299,0.223446,0.034110,68.263108,0.000000,0.001037,0.244864
74,0.223424,0.038760,74.446495,0.223446,0.039211,74.481890,0.000000,0.001595,0.115291
75,0.223424,0.015988,68.005094,0.223446,0.016017,68.035161,0.000000,0.000695,0.294868
76,0.223424,0.036918,71.957528,0.223446,0.034481,72.205807,0.000000,0.003956,0.434735
77,0.223424,0.040504,61.347453,0.223446,0.040450,61.309937,0.000000,0.000970,0.176186
78,0.223424,0.054984,74.551841,0.223446,0.055299,74.571159,0.000000,0.002058,0.186643
79,0.223424,0.020507,65.316995,0.223446,0.020362,65.249645,0.000000,0.000507,0.252755
80,0.223424,0.037871,87.209969,0.223446,0.044112,86.495192,0.000000,0.016545,4.620481
81,0.223424,0.020530,60.867497,0.223446,0.020914,61.074549,0.000000,0.000951,0.481922
82,0.223424,0.023547,69.087278,0.223446,0.023650,69.104429,0.000000,0.001015,0.277454
83,0.223424,0.024752,68.533895,0.223446,0.024767,68.542317,0.000000,0.002895,0.303494
84,0.223424,0.021009,61.737759,0.223446,0.021387,61.910743,0.000000,0.001195,0.608311
85,0.223424,0.011591,66.689399,0.223446,0.011350,66.559855,0.000000,0.001232,0.613204
86,0.223424,0.041479,73.307776,0.223446,0.041695,73.347948,0.000000,0.000956,0.167858
87,0.223424,0.057809,62.244918,0.223446,0.057686,62.238664,0.000000,0.002109,0.113426
88,0.223424,0.029732,68.284613,0.223446,0.029390,68.151426,0.000000,0.000951,0.343002
89,0.223424,0.029525,56.249273,0.223446,0.029487,56.231872,0.000000,0.000565,0.179077
90,0.223424,0.044899,76.957796,0.223446,0.044962,76.947238,0.000000,0.002027,0.122564
91,0.223424,0.028561,77.331302,0.223446,0.029283,77.133677,0.000000,0.004494,1.143283
92,0.223424,0.019535,59.944273,0.223446,0.019575,59.940161,0.000000,0.000582,0.269718
93,0.223424,0.027368,59.294447,0.223446,0.027426,59.348875,0.000000,0.000845,0.352455
