iteration,completeLL,phase,estimate_a,estimate_alpha_pop,estimate_omega_alpha,estimate_omega_tau,estimate_p0_pop,estimate_tau_pop
90,-2383.94,1,0.102024,0.042692,0.352321,6.78204,0.409425,74.1107
91,-2439.18,1,0.0994403,0.0428483,0.349721,6.83084,0.409917,74.1179
92,-2585.37,1,0.0969224,0.0423064,0.340866,6.79564,0.410761,74.0851
93,-2636.22,1,0.0944682,0.0432615,0.365779,6.81431,0.406944,74.2943
94,-2706.62,1,0.0920763,0.0431479,0.356517,6.79574,0.408917,74.176
95,-2757.44,1,0.0897448,0.0427431,0.374727,6.90393,0.405611,74.2808
96,-2899.16,1,0.0874724,0.0432985,0.401942,6.80483,0.407541,74.2222
97,-2907.66,1,0.0852576,0.0438168,0.397858,6.63252,0.405386,74.1583
98,-2977.62,1,0.0830988,0.0425657,0.403731,6.75834,0.403797,74.1783
99,-3086.89,1,0.0809947,0.0439944,0.408254,6.62676,0.404891,74.0771
100,-3174.44,1,0.0789439,0.0428887,0.419239,6.87458,0.404349,74.1939
101,-3257.33,1,0.076945,0.0431666,0.442317,6.70051,0.40171,73.9366
102,-3325.75,1,0.0749967,0.0426135,0.437065,6.65115,0.402455,74.0703
103,-3390.29,1,0.0730977,0.0419682,0.441114,6.99085,0.40706,74.5035
104,-3539.04,1,0.0712469,0.0429942,0.446185,6.85855,0.404511,74.4738
105,-3633.15,1,0.0694428,0.0435933,0.447555,6.81718,0.409104,74.2735
106,-3663.35,1,0.0676845,0.0438612,0.464449,6.67296,0.411762,74.1975
107,-3713.82,1,0.0659707,0.0444839,0.465747,6.9063,0.408484,74.3428
108,-3804.03,1,0.0643003,0.0431032,0.453954,6.83492,0.408673,74.3236
109,-3856.12,1,0.0626722,0.0439923,0.463015,6.76325,0.406907,74.2721
110,-3999.41,1,0.0610853,0.0441479,0.451292,6.93454,0.40894,74.4958
111,-4086.48,1,0.0595386,0.0427952,0.457423,7.04603,0.408803,74.417
112,-4207.8,1,0.058031,0.0425633,0.451782,6.86762,0.409177,74.3099
113,-4351.3,1,0.0565616,0.0431408,0.450283,6.6944,0.409898,74.2557
114,-4407.87,1,0.0551295,0.0434039,0.454144,6.73814,0.408339,74.307
115,-4476.5,1,0.0537335,0.0438955,0.454452,6.73386,0.406404,74.27
116,-4510.44,1,0.052373,0.0439285,0.449859,6.80442,0.405379,74.2309
117,-4582.06,1,0.0510469,0.0435315,0.460149,6.84695,0.407538,74.2708
118,-4692.7,1,0.0497543,0.0438985,0.450725,6.81501,0.408053,74.2273
119,-4788.9,1,0.0484945,0.0440093,0.45865,6.83746,0.408726,74.1495
120,-4839.56,1,0.0472666,0.0442074,0.472396,6.95495,0.407515,74.2942
121,-4919.09,1,0.0460698,0.0445016,0.477986,6.79197,0.407807,74.1206
122,-5055.81,1,0.0449033,0.0441916,0.467305,6.7648,0.407589,74.1473
123,-5113.01,1,0.0437663,0.0440678,0.468645,6.82128,0.40668,74.2711
