iteration,completeLL,phase,estimate_a,estimate_alpha_pop,estimate_omega_alpha,estimate_omega_tau,estimate_p0_pop,estimate_tau_pop
329,-9050.84,2,0.0100284,0.0428158,0.516537,7.5081,0.404006,74.5143
330,-9043.33,2,0.0100163,0.0428401,0.516851,7.50132,0.403945,74.5119
331,-9033.98,2,0.0100097,0.042887,0.518782,7.49541,0.40385,74.5109
332,-9050.68,2,0.00999608,0.0429163,0.518748,7.50217,0.403859,74.5168
333,-9045.26,2,0.00998918,0.0429516,0.518904,7.50578,0.403882,74.5166
334,-9082.17,2,0.00996683,0.0429586,0.517857,7.50599,0.403884,74.515
335,-9040.03,2,0.00997304,0.0430019,0.517354,7.49893,0.40386,74.5083
336,-9110.55,2,0.00994294,0.0430358,0.516986,7.4917,0.403888,74.5035
337,-9120.02,2,0.00991653,0.0430376,0.516686,7.47983,0.403813,74.4947
338,-9106.93,2,0.00990183,0.0430351,0.516449,7.46913,0.403758,74.4889
339,-9053.38,2,0.00991161,0.0430415,0.516308,7.46249,0.403684,74.4849
340,-9064.67,2,0.00991517,0.043043,0.515923,7.46081,0.403698,74.4859
341,-9117.65,2,0.00989804,0.0430118,0.515371,7.46826,0.403722,74.4924
342,-9063.85,2,0.00990058,0.0430084,0.515417,7.47512,0.403742,74.4976
343,-9033.89,2,0.00991077,0.043,0.515772,7.48337,0.40371,74.5029
344,-9017.04,2,0.00992521,0.0430042,0.516228,7.48275,0.403736,74.5032
345,-9055.66,2,0.00992663,0.043004,0.516175,7.48858,0.403703,74.5052
346,-9059.83,2,0.00992683,0.0429913,0.516226,7.49173,0.403719,74.5073
347,-9031.08,2,0.00993366,0.0429939,0.516374,7.49437,0.403734,74.5085
348,-9046.51,2,0.00993605,0.0430089,0.516614,7.49482,0.403734,74.5088
349,-9080.73,2,0.0099322,0.0430182,0.516844,7.48797,0.403743,74.5067
350,-9056.88,2,0.00993383,0.0430292,0.51691,7.48259,0.403717,74.5038
351,-9045.28,2,0.00993496,0.043032,0.516916,7.48114,0.403711,74.503
352,-9076.78,2,0.00993441,0.0430343,0.516878,7.47975,0.403717,74.5025
353,-9051.24,2,0.00993526,0.043035,0.51686,7.47826,0.403715,74.5019
354,-9088.43,2,0.0099338,0.0430336,0.516872,7.47785,0.403716,74.5018
355,-9061.85,2,0.00993378,0.043031,0.516913,7.47711,0.403718,74.5014
356,-9054.18,2,0.00993398,0.0430282,0.51696,7.47724,0.403724,74.502
357,-9062.17,2,0.00993403,0.0430271,0.516964,7.47658,0.403727,74.5024
358,-9055.31,2,0.00993449,0.0430257,0.516918,7.47628,0.403717,74.5026
359,-9059.24,2,0.00993447,0.0430237,0.516931,7.4766,0.403718,74.5029
360,-9057.28,2,0.00993467,0.0430245,0.516996,7.47547,0.40371,74.5021
361,-9060.08,2,0.00993447,0.0430204,0.517024,7.47627,0.403705,74.5025
362,-9101.45,2,0.00993244,0.0430168,0.517024,7.477,0.403705,74.5027
363,-9067.33,2,0.00993186,0.0430164,0.517103,7.47742,0.403703,74.5029
364,-8988.55,2,0.00993487,0.0430158,0.517213,7.4773,0.40371,74.503
365,-9007.3,2,0.00993713,0.0430176,0.517276,7.47691,0.403712,74.5032
366,-9021.04,2,0.00993862,0.0430184,0.517369,7.47659,0.403722,74.5036
367,-9047.94,2,0.00993907,0.0430183,0.51741,7.4761,0.403724,74.5037
368,-9044.14,2,0.00993978,0.043018,0.517425,7.47543,0.403727,74.5036
369,-9098.78,2,0.00993834,0.0430181,0.517416,7.47425,0.403736,74.5034
370,-9034,2,0.00993953,0.0430199,0.517434,7.47316,0.403738,74.5028
371,-9056.07,2,0.00993948,0.0430225,0.517551,7.47232,0.403737,74.5025
372,-9045.19,2,0.00993991,0.0430253,0.517602,7.47217,0.403737,74.5024
373,-9063.67,2,0.00993965,0.0430275,0.517667,7.4715,0.403736,74.5022
374,-9094.91,2,0.00993868,0.0430271,0.517614,7.46991,0.403729,74.5012
375,-9065.1,2,0.00993883,0.043031,0.517598,7.46815,0.403724,74.5
376,-9086.26,2,0.00993814,0.0430335,0.517609,7.46623,0.403719,74.4987
377,-9048.07,2,0.00993873,0.0430386,0.517672,7.4645,0.403728,74.4978
378,-9062.98,2,0.00993873,0.0430426,0.517733,7.46287,0.403725,74.4968
379,-9073.34,2,0.0099383,0.0430459,0.517777,7.46187,0.403724,74.496
380,-9081.65,2,0.0099375,0.0430477,0.517841,7.46093,0.403721,74.4954
381,-9022.04,2,0.00993886,0.043051,0.51791,7.45986,0.40372,74.4947
382,-8987.34,2,0.00994172,0.0430552,0.517906,7.45819,0.403725,74.4937
383,-9017.8,2,0.00994343,0.0430604,0.517923,7.45642,0.403724,74.4922
384,-9028.7,2,0.0099446,0.0430644,0.517963,7.45499,0.403724,74.491
385,-9050.85,2,0.00994501,0.0430667,0.517972,7.45389,0.403724,74.49
386,-9075.06,2,0.00994458,0.043068,0.517971,7.45307,0.403714,74.4892
387,-9025.32,2,0.00994554,0.0430681,0.518024,7.45296,0.403717,74.4889
388,-9020.87,2,0.00994668,0.0430695,0.518086,7.45236,0.403714,74.4881
389,-9056.99,2,0.00994667,0.0430707,0.518139,7.45161,0.403723,74.4877
390,-9083.51,2,0.00994555,0.0430721,0.518281,7.45099,0.403727,74.4872
391,-9063.32,2,0.00994524,0.043073,0.518359,7.4505,0.403731,74.4868
392,-9037.1,2,0.00994577,0.0430751,0.518429,7.45006,0.403729,74.4865
393,-9033.2,2,0.0099464,0.0430776,0.518529,7.44919,0.403728,74.4857
394,-9033.54,2,0.00994698,0.0430784,0.518614,7.44863,0.403727,74.4851
395,-8996.7,2,0.00994861,0.0430783,0.518718,7.44813,0.403727,74.4847
396,-9039.59,2,0.00994907,0.0430791,0.518763,7.44764,0.403734,74.4841
397,-9124.06,2,0.00994713,0.0430787,0.518785,7.44691,0.403738,74.4835
398,-9096.71,2,0.00994593,0.0430788,0.518823,7.44642,0.403737,74.483
399,-9111.99,2,0.00994449,0.0430781,0.518794,7.446,0.403738,74.4826
400,-9078.2,2,0.00994396,0.0430759,0.518779,7.4459,0.403736,74.4825
401,-9107.52,2,0.00994282,0.0430742,0.518721,7.44527,0.403735,74.4821
