rep,id,Tlag,Tk0,Vol,Cl,ke0,IC50,gamma,s,d,beta,delta,p,c,eta_Tlag,eta_Tk0,eta_Vol,eta_Cl,eta_ke0,eta_IC50,eta_gamma,eta_s,eta_d,eta_beta,eta_delta,eta_p,eta_c
1,37,4.85249371622364e-05,0.414861247346003,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.9071133675001,-0.595277088804895,0,0,0,0,0,0,0,0,0,0,0
1,38,0.000352053480262098,0.606406799077935,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,0.074591895022448,-0.215670162920625,0,0,0,0,0,0,0,0,0,0,0
1,39,3.76429676326118e-05,0.878598251793112,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-2.16104504746435,0.155106532389738,0,0,0,0,0,0,0,0,0,0,0
1,40,9.44484517214762e-05,0.97334378674583,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.24113700035773,0.257516136958214,0,0,0,0,0,0,0,0,0,0,0
1,41,1.33263300643252e-05,0.34957733775032,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-3.19944941931719,-0.766496391074087,0,0,0,0,0,0,0,0,0,0,0
1,42,0.000253377077000528,0.358613029044479,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-0.254312399521233,-0.740977315789138,0,0,0,0,0,0,0,0,0,0,0
1,43,8.58802024456288e-05,1.16764292589658,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.33623787128184,0.439521193132748,0,0,0,0,0,0,0,0,0,0,0
1,44,0.0131049617897703,0.893231924960865,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,3.69155499845685,0.171625052172725,0,0,0,0,0,0,0,0,0,0,0
1,45,0.000112112048118798,0.588211939578946,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.06969240076683,-0.246133884969691,0,0,0,0,0,0,0,0,0,0,0
1,46,3.22902125656991e-05,0.840328242615004,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-2.31442703382985,0.110571371140763,0,0,0,0,0,0,0,0,0,0,0
1,47,4.91871895561361e-05,0.492673066270736,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-1.89355798687829,-0.423375406905928,0,0,0,0,0,0,0,0,0,0,0
1,48,0.00138861653247939,0.723044694405952,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,1.44687202851204,-0.0397501711487121,0,0,0,0,0,0,0,0,0,0,0
1,49,0.0829109799740495,1.29338113217863,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,5.5363315791754,0.541793891750665,0,0,0,0,0,0,0,0,0,0,0
1,50,0.00116323268824404,0.370299027511917,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,1.26976700678453,-0.708910347686378,0,0,0,0,0,0,0,0,0,0,0
1,51,0.000195747825067382,0.467692550142546,1,15,1,1.5,2,10000,0.5,5e-05,1,20,2,-0.512363977555543,-0.475410073490259,0,0,0,0,0,0,0,0,0,0,0
