          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.26818;   0.04837;     18.04;        NaN
    ka_pop;   1.33201;   0.59556;     44.71;        NaN
     V_pop; 230.21297;  35.43667;     15.39;        NaN
    Cl_pop;  39.50551;   4.10105;     10.38;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.23679;   0.27042;     21.86;        NaN
   omega_V;   0.40129;   0.13409;     33.41;        NaN
  omega_Cl;   0.32658;   0.07392;     22.64;        NaN
         a;   0.34726;   0.02643;      7.61;        NaN
