popPred,popPred_spline,popPred_ciLower,popPred_ciUpper,indivPred,indivPred_spline,indivPred_ciLower,indivPred_ciUpper,split
0.707806,0.742605,0.429514,0.986099,2.04024,2.04931,1.76195,2.31853,All
0.726594,0.759972,0.448302,1.00489,2.07521,2.08379,1.79692,2.35351,All
0.726767,0.760133,0.448475,1.00506,2.13172,2.13848,1.85343,2.41002,All
0.745729,0.77766,0.467436,1.02402,2.18823,2.19254,1.90994,2.46652,All
0.76469,0.797813,0.486397,1.04298,2.22123,2.22411,1.94293,2.49952,All
0.781675,0.818319,0.503383,1.05997,2.24474,2.2466,1.96645,2.52303,All
0.783651,0.820704,0.505358,1.06194,2.30125,2.30066,2.02296,2.57954,All
0.802612,0.847908,0.52432,1.0809,2.35776,2.35472,2.07947,2.63605,All
0.821573,0.87773,0.543281,1.09987,2.41427,2.40878,2.13597,2.69256,All
0.840534,0.909039,0.562242,1.11883,2.41827,2.4126,2.13997,2.69656,All
0.840932,0.909696,0.56264,1.11922,2.47077,2.46284,2.19248,2.74907,All
0.859495,0.940348,0.581203,1.13779,2.52728,2.5169,2.24899,2.80558,All
0.878456,0.971657,0.600164,1.15675,2.58379,2.57095,2.3055,2.86208,All
0.897417,1.00297,0.619125,1.17571,2.63279,2.61657,2.35449,2.91108,All
0.904681,1.01496,0.626388,1.18297,2.6403,2.62353,2.36201,2.91859,All
0.916379,1.03053,0.638086,1.19467,2.69681,2.6759,2.41852,2.9751,All
0.93534,1.05467,0.657047,1.21363,2.75332,2.72828,2.47503,3.03161,All
0.954301,1.07369,0.676008,1.23259,2.80983,2.78065,2.53153,3.08812,All
0.973262,1.08858,0.69497,1.25155,2.86634,2.83255,2.58804,3.14463,All
