          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.29743;   0.04344;     14.60;        NaN
    ka_pop;   1.48300;   0.67993;     45.85;        NaN
     V_pop; 230.25626;  35.28783;     15.33;        NaN
    Cl_pop;  39.87576;   4.20342;     10.54;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.27466;   0.27886;     21.88;        NaN
   omega_V;   0.40765;   0.13200;     32.38;        NaN
  omega_Cl;   0.33362;   0.07508;     22.50;        NaN
         a;   0.34239;   0.02634;      7.69;        NaN
