rep,id,eta_s,eta_d,eta_beta,eta_delta,eta_p,eta_c,eta_eta,eta_epsilon
1,1,0.871507247225203,-0.0386791040585431,-0.626813206797875,0,0,0,0,0
1,2,3.27352911164538,0.769963113890917,-0.30286287541613,0,0,0,0,0
1,3,-1.12257608364849,-0.0612265432829463,0.338723538081949,0,0,0,0,0
1,4,-0.143730346993324,-1.69472490993924,0.737809926262445,0,0,0,0,0
1,5,1.15126523677065,1.11797786319689,-0.779883956864449,0,0,0,0,0
1,6,1.37621232137743,1.71332854179918,-0.24233111235289,0,0,0,0,0
1,7,-0.562449867537465,0.135790141512328,0.00898805232520061,0,0,0,0,0
1,8,-0.883392431369252,-2.68077054946246,-0.408085778250522,0,0,0,0,0
1,9,2.97617681643796,0.823568619819189,-0.305969713422762,0,0,0,0,0
1,10,-1.28727908377607,-0.265173724734176,-0.542733102097683,0,0,0,0,0
1,11,-1.85934195962165,-0.146975173532469,-0.495951255374344,0,0,0,0,0
1,12,-4.63079695013395,-2.53134910884365,-0.241586047711046,0,0,0,0,0
1,13,-1.65768009769766,-2.05089704491101,-0.502555397163389,0,0,0,0,0
1,14,-1.8772609609078,0.429142763215826,0.421670495124909,0,0,0,0,0
1,15,1.36339540841606,-0.442510405575794,0.686600796735114,0,0,0,0,0
1,16,-0.999234086316057,1.04440324247696,-0.434006399966188,0,0,0,0,0
1,17,0.219449172932267,1.1706946939237,-0.318208529898156,0,0,0,0,0
1,18,1.49786877821952,1.35306284298806,-0.0897385439549243,0,0,0,0,0
1,19,2.24296822161869,-0.574645761172882,-1.08873770654996,0,0,0,0,0
1,20,1.72705153561613,-0.495821320178507,-0.135924941810551,0,0,0,0,0
1,21,1.62788160498876,1.70889569389261,0.160038689803557,0,0,0,0,0
1,22,0.380446976621203,-1.23586021799506,1.02972377414427,0,0,0,0,0
1,23,1.44928045783327,0.764194694077197,-0.108982904587958,0,0,0,0,0
1,24,1.52525482765347,-2.00280376747563,-0.00985323991725728,0,0,0,0,0
1,25,-2.25492430560375,-0.861908880345323,0.804968466082652,0,0,0,0,0
1,26,-1.79572706016852,-0.132225280506801,0.00268446636484398,0,0,0,0,0
1,27,-0.599108673123441,-0.123188433775369,0.151288762230017,0,0,0,0,0
1,28,-1.71017128668171,-1.19968405248368,0.0249829452931216,0,0,0,0,0
1,29,-0.225802473770969,0.729256464934221,0.153704491357059,0,0,0,0,0
1,30,0.131653937425684,-1.06514732969572,0.913691226820992,0,0,0,0,0
1,31,-0.023871520849692,-0.626073653237567,0.284114579727117,0,0,0,0,0
1,32,1.04730525364089,1.14410291679949,0.0360124886876712,0,0,0,0,0
1,33,0.276783500412963,0.824506724105309,0.00426429727100519,0,0,0,0,0
1,34,0.88070184492773,-2.01262218391087,0.386036110049039,0,0,0,0,0
1,35,-0.179121554413825,1.67083091941743,0.0317835681467109,0,0,0,0,0
1,36,1.72489196807445,1.52292217494749,-0.0883711289359894,0,0,0,0,0
1,37,-2.01707924559379,1.75702108729312,1.27002704788173,0,0,0,0,0
1,38,0.279477001179739,1.58655777620668,-0.978521586659394,0,0,0,0,0
1,39,-1.08212318524296,-0.580151587662578,-0.670723827277863,0,0,0,0,0
1,40,1.34624156733216,1.61341176908398,-0.0691373704581864,0,0,0,0,0
1,41,1.48228758811326,1.59687227103044,0.638925710967188,0,0,0,0,0
1,42,0.683297606270097,1.1113786151368,-0.306410629247823,0,0,0,0,0
1,43,-0.837646859130127,1.94062710405561,0.255952527831115,0,0,0,0,0
1,44,-1.24591826602428,0.687078322724469,-0.0958842591472067,0,0,0,0,0
1,45,-1.12631378529809,1.57735420197487,0.100769414069536,0,0,0,0,0
1,46,-0.606091636270332,1.25756406672466,0.0219425495601726,0,0,0,0,0
1,47,-0.159016414440314,-1.07583864606128,0.768135948772212,0,0,0,0,0
1,48,-1.08752297572621,0.418935909404075,0.442356056087769,0,0,0,0,0
1,49,-0.973411549441078,-0.507947613712708,-0.253148318731913,0,0,0,0,0
1,50,0.288641731072902,0.0012008025957565,0.173596618315099,0,0,0,0,0
1,51,-2.06226110790059,0.913384886627969,0.592660294200604,0,0,0,0,0
1,52,-2.60552126872185,-1.31794475096182,-0.227558980664195,0,0,0,0,0
1,53,-1.28103371903244,-0.217658785210712,-0.276745111054563,0,0,0,0,0
1,54,4.46476644589917,0.892453183140113,0.195908419384425,0,0,0,0,0
1,55,-0.658053396123795,-1.64872274309565,0.38793023446652,0,0,0,0,0
1,56,0.601968605905443,-1.06769869515478,0.137481191541207,0,0,0,0,0
