rep,id,s,d,beta,delta,p,c,eta,epsilon
1,1,8558.35968214126,1.34609334098348,5e-05,0.05,20,5,0.9,0.7
1,2,99542.542721752,5.48507283055236,5e-05,0.05,20,5,0.9,0.7
1,3,664.505526874821,0.419718958780767,5e-05,0.05,20,5,0.9,0.7
1,4,15245.9496011617,0.191972960662013,5e-05,0.05,20,5,0.9,0.7
1,5,4570.04770433493,2.43764158273531,5e-05,0.05,20,5,0.9,0.7
1,6,21175.8887149517,14.2914627134837,5e-05,0.05,20,5,0.9,0.7
1,7,4349.8206368079,1.27668132111335,5e-05,0.05,20,5,0.9,0.7
1,8,5458.13794924906,0.385276160378849,5e-05,0.05,20,5,0.9,0.7
1,9,62321.7989887387,0.182911276345355,5e-05,0.05,20,5,0.9,0.7
1,10,1664.55688128355,3.0478454142494,5e-05,0.05,20,5,0.9,0.7
1,11,645.014601258193,1.3867872989897,5e-05,0.05,20,5,0.9,0.7
1,12,574.992846244453,1.53693823785812,5e-05,0.05,20,5,0.9,0.7
1,13,809.041049332391,0.212154655266637,5e-05,0.05,20,5,0.9,0.7
1,14,2806.35304231071,10.2708186865172,5e-05,0.05,20,5,0.9,0.7
1,15,42888.2762666975,0.71849685726751,5e-05,0.05,20,5,0.9,0.7
1,16,1432.72147697682,4.68002914831893,5e-05,0.05,20,5,0.9,0.7
1,17,1426.37487954029,0.120495111211975,5e-05,0.05,20,5,0.9,0.7
1,18,42663.5740307776,10.2126566351607,5e-05,0.05,20,5,0.9,0.7
1,19,45620.597653082,4.70501513610071,5e-05,0.05,20,5,0.9,0.7
1,20,39584.3198072653,0.680477196107414,5e-05,0.05,20,5,0.9,0.7
1,21,11530.5170157064,3.25792152771029,5e-05,0.05,20,5,0.9,0.7
1,22,4015.40572729376,0.0548855435312407,5e-05,0.05,20,5,0.9,0.7
1,23,25614.900790627,3.64311875231825,5e-05,0.05,20,5,0.9,0.7
1,24,130766.86529236,1.40912764486318,5e-05,0.05,20,5,0.9,0.7
1,25,714.181978538171,0.254790167328819,5e-05,0.05,20,5,0.9,0.7
1,26,448.693091298444,0.539202142788654,5e-05,0.05,20,5,0.9,0.7
1,27,13313.3339613464,34.2911352252858,5e-05,0.05,20,5,0.9,0.7
1,28,7216.7864054938,6.18930636385545,5e-05,0.05,20,5,0.9,0.7
1,29,2706.39035734207,1.22747712712565,5e-05,0.05,20,5,0.9,0.7
1,30,7336.01677049349,0.227449484112851,5e-05,0.05,20,5,0.9,0.7
1,31,2887.17119673308,0.538347835817315,5e-05,0.05,20,5,0.9,0.7
1,32,9216.8956396074,2.18899065649466,5e-05,0.05,20,5,0.9,0.7
1,33,11892.6892635746,2.68563665821058,5e-05,0.05,20,5,0.9,0.7
1,34,32686.124347349,0.223002887062473,5e-05,0.05,20,5,0.9,0.7
1,35,4618.92613073497,12.1781324086367,5e-05,0.05,20,5,0.9,0.7
1,36,9446.9738608142,2.19456777150323,5e-05,0.05,20,5,0.9,0.7
1,37,1981.67232507258,4.70266258081065,5e-05,0.05,20,5,0.9,0.7
1,38,967.357110454208,0.879234679262952,5e-05,0.05,20,5,0.9,0.7
1,39,2191.9199926627,1.24620251428755,5e-05,0.05,20,5,0.9,0.7
1,40,4781.42875009285,0.740810900877018,5e-05,0.05,20,5,0.9,0.7
1,41,18429.3359278692,3.03405778450535,5e-05,0.05,20,5,0.9,0.7
1,42,2086.70232346402,0.511427546845637,5e-05,0.05,20,5,0.9,0.7
1,43,519.05663896724,1.83782442872773,5e-05,0.05,20,5,0.9,0.7
1,44,779.226794205983,1.44372385390648,5e-05,0.05,20,5,0.9,0.7
1,45,346.474034878777,1.23578375750408,5e-05,0.05,20,5,0.9,0.7
1,46,378.580523614134,0.742589587391866,5e-05,0.05,20,5,0.9,0.7
1,47,6843.66887561606,0.229783041840553,5e-05,0.05,20,5,0.9,0.7
1,48,497.365657340195,0.500824384557509,5e-05,0.05,20,5,0.9,0.7
1,49,1394.25194265201,0.953899235579163,5e-05,0.05,20,5,0.9,0.7
1,50,2062.33427072782,1.14852618114679,5e-05,0.05,20,5,0.9,0.7
1,51,1165.83480719407,3.68057751707732,5e-05,0.05,20,5,0.9,0.7
1,52,701.894373163755,1.5664019984001,5e-05,0.05,20,5,0.9,0.7
1,53,1598.79642092425,2.14367604625014,5e-05,0.05,20,5,0.9,0.7
1,54,185510.359902599,3.00872465835224,5e-05,0.05,20,5,0.9,0.7
1,55,5228.45542354,0.263367918211308,5e-05,0.05,20,5,0.9,0.7
1,56,23465.6560083053,0.802593157373899,5e-05,0.05,20,5,0.9,0.7
