          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.30081;   0.04309;     14.33;        NaN
    ka_pop;   1.55593;   0.71048;     45.66;        NaN
     V_pop; 238.41961;  37.41322;     15.69;        NaN
    Cl_pop;  39.18316;   4.09648;     10.45;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.25034;   0.27721;     22.17;        NaN
   omega_V;   0.42330;   0.13409;     31.68;        NaN
  omega_Cl;   0.32849;   0.07433;     22.63;        NaN
         a;   0.34419;   0.02647;      7.69;        NaN
