id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM,eta_p0_mean,eta_alpha_mean,eta_tau_mean,eta_p0_sd,eta_alpha_sd,eta_tau_sd
174,0.000000,-0.935302,0.112892,0.000000,-0.938669,0.149199,0.000000,0.035437,0.291891
175,0.000000,-0.499238,-2.049858,0.000000,-0.500676,-2.064429,0.000000,0.025025,0.203360
176,0.000000,0.035121,-6.431441,0.000000,0.034584,-6.404209,0.000000,0.025303,0.125483
177,0.000000,0.533987,9.700064,0.000000,0.543454,9.948834,0.000000,0.370518,4.266071
178,0.000000,0.050265,9.770291,0.000000,0.085348,9.992963,0.000000,0.084119,0.458917
179,0.000000,0.243296,-4.388637,0.000000,0.238514,-4.382999,0.000000,0.023730,0.180949
180,0.000000,-0.026673,-9.153755,0.000000,-0.029158,-9.137639,0.000000,0.031782,0.123053
181,0.000000,0.813253,0.695561,0.000000,0.811960,0.737219,0.000000,0.029128,0.132487
182,0.000000,-0.997509,-5.075471,0.000000,-0.998486,-5.082982,0.000000,0.053283,0.270349
183,0.000000,-0.333757,0.055696,0.000000,-0.335976,0.048353,0.000000,0.048219,0.193452
184,0.000000,0.010050,-1.556065,0.000000,0.006189,-1.537412,0.000000,0.020538,0.147796
185,0.000000,0.598312,2.664106,0.000000,0.598653,2.683516,0.000000,0.024848,0.089658
186,0.000000,0.104178,-1.144033,0.000000,0.106285,-1.114527,0.000000,0.035245,0.125417
187,0.000000,1.145969,-8.455247,0.000000,1.131044,-8.481952,0.000000,0.043419,0.137409
188,0.000000,0.137306,4.060047,0.000000,0.137063,4.098136,0.000000,0.036644,0.216644
189,0.000000,-0.704874,0.136999,0.000000,-0.705008,0.158048,0.000000,0.063356,0.205497
190,0.000000,0.865759,0.391199,0.000000,0.863450,0.401587,0.000000,0.020851,0.078293
191,0.000000,-0.162304,-0.255803,0.000000,-0.165025,-0.235628,0.000000,0.025827,0.132394
192,0.000000,0.351855,-12.198812,0.000000,0.352635,-12.180885,0.000000,0.036077,0.141429
193,0.000000,-0.650956,15.618545,0.000000,-0.644815,15.590895,0.000000,0.058004,0.592210
194,0.000000,0.280571,-3.386641,0.000000,0.282575,-3.338416,0.000000,0.022548,0.100517
