rep,id,p0,alpha,tau
7,15,0.185761,0.039931,79.087638
8,15,0.185761,0.039931,79.087638
9,15,0.185761,0.039931,79.087638
10,15,0.185761,0.039954,78.776863
1,16,0.186457,0.025273,54.958329
2,16,0.186457,0.025273,54.958329
3,16,0.186457,0.025273,54.958329
4,16,0.186457,0.025273,54.890318
5,16,0.186457,0.025273,54.890318
6,16,0.186457,0.025273,54.890318
7,16,0.186457,0.025273,54.890318
8,16,0.186457,0.025167,55.062664
9,16,0.186457,0.026374,55.404647
10,16,0.186457,0.025873,55.404647
1,17,0.186457,0.034931,68.798605
2,17,0.186457,0.034459,68.956494
3,17,0.186457,0.034459,68.956494
4,17,0.186457,0.035977,68.817766
5,17,0.186457,0.035202,68.735843
6,17,0.186457,0.034709,68.776518
7,17,0.186457,0.034742,68.776518
8,17,0.186457,0.035512,68.876833
9,17,0.186457,0.034340,68.883985
10,17,0.186457,0.035673,68.892987
1,18,0.186457,0.026713,54.392084
2,18,0.186457,0.026713,54.342202
3,18,0.186457,0.026334,54.002878
4,18,0.186457,0.027854,54.542688
5,18,0.186457,0.028501,54.873622
6,18,0.186457,0.028120,54.710036
7,18,0.186457,0.027367,54.710036
8,18,0.186457,0.027369,54.274426
9,18,0.186457,0.027369,54.551652
10,18,0.186457,0.027571,54.720954
1,19,0.186980,0.029443,72.900187
2,19,0.186980,0.028890,73.257575
3,19,0.186980,0.029067,73.257575
4,19,0.186980,0.030100,73.257575
5,19,0.186980,0.029727,73.099453
6,19,0.186980,0.029656,72.890752
7,19,0.186980,0.029656,72.890752
8,19,0.186980,0.029656,73.489060
9,19,0.186980,0.028827,73.067307
10,19,0.186980,0.028827,73.067307
1,20,0.185843,0.027394,61.194141
2,20,0.185843,0.027394,61.083099
3,20,0.185843,0.026605,60.990136
4,20,0.185843,0.026605,60.990136
5,20,0.185843,0.026605,60.990136
6,20,0.185843,0.026605,60.990136
7,20,0.185843,0.026901,60.990136
8,20,0.185843,0.026901,60.990136
9,20,0.185843,0.026901,60.990136
10,20,0.185843,0.026901,60.990136
1,21,0.186457,0.028783,63.003913
2,21,0.186457,0.027889,62.677337
3,21,0.186457,0.028544,62.946748
4,21,0.186457,0.027669,62.846469
5,21,0.186457,0.029050,62.796762
6,21,0.186457,0.029050,63.181958
7,21,0.186457,0.030343,63.550049
8,21,0.186457,0.028678,62.937426
9,21,0.186457,0.028301,62.943787
10,21,0.186457,0.028301,62.943787
1,22,0.186457,0.009784,70.744610
2,22,0.186457,0.009426,70.967308
3,22,0.186457,0.009737,71.855185
4,22,0.186457,0.010056,71.785812
5,22,0.186457,0.009351,70.607905
6,22,0.186457,0.009537,71.458720
7,22,0.186457,0.009734,71.197747
8,22,0.186457,0.010126,71.197747
9,22,0.186457,0.009200,71.402718
10,22,0.186457,0.008498,71.319960
1,23,0.186457,0.020099,64.354940
2,23,0.186457,0.020099,64.354940
3,23,0.186457,0.020099,64.234959
4,23,0.186457,0.020138,64.306928
5,23,0.186457,0.019777,64.204388
6,23,0.186457,0.019777,63.955087
7,23,0.186457,0.020418,64.308429
8,23,0.186457,0.020418,64.837242
9,23,0.186457,0.020038,64.418268
10,23,0.186457,0.020265,64.435872
1,24,0.186457,0.008434,69.042701
2,24,0.186457,0.008591,69.018854
3,24,0.186457,0.008634,69.516907
4,24,0.186457,0.009459,70.592531
5,24,0.186457,0.009459,68.657439
6,24,0.186457,0.008041,69.156400
7,24,0.186457,0.007957,68.716819
8,24,0.186457,0.008199,68.721406
9,24,0.186457,0.008331,69.331719
10,24,0.186457,0.008131,69.484879
1,25,0.186457,0.021102,70.863226
2,25,0.186457,0.020768,70.995466
3,25,0.186457,0.023522,70.771629
