id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
146,0.186476,0.031125,64.657039,0.186329,0.030899,64.535229,0.000000,0.000831,0.343330
147,0.186483,0.045928,56.475799,0.187118,0.046080,56.495947,0.000000,0.001539,0.219416
148,0.186593,0.024827,64.872872,0.186551,0.024590,64.750054,0.000000,0.000608,0.357244
149,0.186365,0.028255,69.461899,0.186458,0.028049,69.420063,0.000000,0.000812,0.154734
150,0.186455,0.026596,69.527300,0.186492,0.026926,69.530051,0.000000,0.001935,0.153861
151,0.186424,0.009675,73.502153,0.186162,0.009656,73.463824,0.000000,0.000885,0.371580
152,0.186441,0.019911,66.289784,0.186453,0.020049,66.383788,0.000000,0.000429,0.313038
153,0.186453,0.026719,71.853727,0.186620,0.026727,71.819114,0.000000,0.001223,0.254623
154,0.186464,0.073153,79.732097,0.186330,0.061453,80.004189,0.000000,0.017765,0.971223
155,0.186386,0.016139,69.246076,0.186286,0.016281,69.329156,0.000000,0.000763,0.339536
156,0.186555,0.028362,80.700483,0.187523,0.028333,80.685843,0.000000,0.001086,0.255317
157,0.186682,0.051199,63.521224,0.186107,0.051284,63.542684,0.000000,0.001250,0.171958
158,0.186363,0.023961,57.067910,0.186438,0.024015,57.111368,0.000000,0.000407,0.271783
159,0.186444,0.023788,74.394378,0.185931,0.023876,74.445134,0.000000,0.000648,0.295508
160,0.186400,0.022670,70.007306,0.186469,0.022857,70.057125,0.000000,0.000872,0.255137
161,0.186496,0.037109,73.601949,0.186442,0.036353,73.635496,0.000000,0.004796,0.261671
162,0.186421,0.020915,83.715078,0.186149,0.021029,83.723208,0.000000,0.002301,0.366591
163,0.186432,0.015787,72.259751,0.186254,0.015926,72.363150,0.000000,0.000538,0.442813
164,0.186413,0.009832,70.084606,0.186456,0.009780,70.052792,0.000000,0.000375,0.395073
165,0.186459,0.038442,66.057277,0.186472,0.038639,66.087494,0.000000,0.001022,0.154180
166,0.186447,0.019363,71.033346,0.186816,0.019186,71.011716,0.000000,0.000788,0.272486
167,0.186510,0.006077,69.740226,0.186406,0.006087,69.643106,0.000000,0.000415,0.648144
168,0.186457,0.086712,85.998807,0.186528,0.067185,86.193813,0.000000,0.020930,2.885195
169,0.186392,0.053249,62.678231,0.186130,0.053312,62.694305,0.000000,0.001618,0.145858
170,0.186535,0.029212,68.507686,0.186479,0.029186,68.502187,0.000000,0.000809,0.252962
171,0.186450,0.010059,62.277842,0.186582,0.010086,62.304158,0.000000,0.000384,0.481712
