rep,id,p0,alpha,tau,eta_p0,eta_alpha,eta_tau
1,194,0.23179199590531682,0.04144254907173833,66.49317524027003401,0.00000000000000000,0.26401689517884686,-2.81287999081941109
1,195,0.23179199590531682,0.03140458125645722,65.19550446376798902,0.00000000000000000,-0.01333743107044505,-4.11055076732145608
1,196,0.23179199590531682,0.04230929925154281,64.37963980856029877,0.00000000000000000,0.28471568912339196,-4.92641542252914633
1,197,0.23179199590531682,0.04756047186198734,71.08201904643773616,0.00000000000000000,0.40171077994816784,1.77596381534829106
1,198,0.23179199590531682,0.10643801631279450,72.55604206878309981,0.00000000000000000,1.20727159603587531,3.24998683769365471
1,199,0.23179199590531682,0.04221421536927206,63.56769938299948564,0.00000000000000000,0.28246580818063727,-5.73835584808995947
1,200,0.23179199590531682,0.02120354485042425,64.29982899312258837,0.00000000000000000,-0.40612283560385443,-5.00622623796685673
1,201,0.23179199590531682,0.01714338198011855,78.00258598985875835,0.00000000000000000,-0.61867900446446855,8.69653075876931325
1,202,0.23179199590531682,0.01207187712544607,67.27996232837506341,0.00000000000000000,-0.96941267029103395,-2.02609290271438169
1,203,0.23179199590531682,0.02020711770092676,62.95054841823373692,0.00000000000000000,-0.45425630945500517,-6.35550681285570818
1,204,0.23179199590531682,0.02183149165357067,62.60350771319882313,0.00000000000000000,-0.37693771455903846,-6.70254751789062198
1,205,0.23179199590531682,0.09150155443733882,70.03040387522385402,0.00000000000000000,1.05606474729391930,0.72434864413440891
1,206,0.23179199590531682,0.04393004153202849,76.98990764619169624,0.00000000000000000,0.32230719017157528,7.68385241510225114
1,207,0.23179199590531682,0.02546509095652237,73.39449871388912072,0.00000000000000000,-0.22298268107433206,4.08844348279967562
1,208,0.23179199590531682,0.03599221187549258,79.08480634266939546,0.00000000000000000,0.12301136503058618,9.77875111157995036
1,209,0.23179199590531682,0.04548500043869343,74.60630511381991425,0.00000000000000000,0.35709139768934683,5.30024988273046915
1,210,0.23179199590531682,0.01478083077385176,61.41999146579328794,0.00000000000000000,-0.76696008996218934,-7.88606376529615716
1,211,0.23179199590531682,0.01761352428281806,67.86941264917140870,0.00000000000000000,-0.59162418111270343,-1.43664258191803640
1,212,0.23179199590531682,0.04758273723565979,61.87951358661930357,0.00000000000000000,0.40217881911333953,-7.42654164447014153
1,213,0.23179199590531682,0.02909245732509386,76.04586100153197492,0.00000000000000000,-0.08981227110013190,6.73980577044252982
1,214,0.23179199590531682,0.05820764987997327,77.72688420061039949,0.00000000000000000,0.60372557410693206,8.42082896952095439
1,215,0.23179199590531682,0.06279768277707362,61.77384463789974944,0.00000000000000000,0.67962696110967480,-7.53221059318969566
1,216,0.23179199590531682,0.04449611738813827,71.37648660156446567,0.00000000000000000,0.33511072243148776,2.07043137047502057
1,217,0.23179199590531682,0.07251354437156658,67.48066837876885415,0.00000000000000000,0.82348215010083603,-1.82538685232059095
1,218,0.23179199590531682,0.03340869304580318,70.55686168035323647,0.00000000000000000,0.04852492372103612,1.25080644926379136
1,219,0.23179199590531682,0.02816772205730620,74.93266087005150666,0.00000000000000000,-0.12211449874625613,5.62660563896206156
1,220,0.23179199590531682,0.04219205525142049,72.89054795871251713,0.00000000000000000,0.28194072590421948,3.58449272762307203
1,221,0.23179199590531682,0.01760166649324578,66.21290400864803871,0.00000000000000000,-0.59229762855167012,-3.09315122244140639
1,222,0.23179199590531682,0.05280062001992471,78.53760192555532171,0.00000000000000000,0.50623172021540208,9.23154669446587661
1,223,0.23179199590531682,0.01602847984941183,67.12659846353128046,0.00000000000000000,-0.68592408270731697,-2.17945676755816464
1,224,0.23179199590531682,0.00900168370764914,80.28438968238573636,0.00000000000000000,-1.26287957476259427,10.97833445129629126
1,225,0.23179199590531682,0.00914953563116139,67.64646577141975570,0.00000000000000000,-1.24658808592264636,-1.65958945966968940
1,226,0.23179199590531682,0.04676465982188150,63.81024159649270899,0.00000000000000000,0.38483657242726022,-5.49581363459673611
1,227,0.23179199590531682,0.01477763848206432,68.64298491534660229,0.00000000000000000,-0.76717608841408547,-0.66307031574284281
1,228,0.23179199590531682,0.01616429074204378,68.41252890163951861,0.00000000000000000,-0.67748667916413430,-0.89352632944992649
1,229,0.23179199590531682,0.01841349637312589,63.21036327820229417,0.00000000000000000,-0.54720731895366193,-6.09569195288715093
1,230,0.23179199590531682,0.03804743389163705,81.24634007848102613,0.00000000000000000,0.17854242837397694,11.94028484739158102
1,231,0.23179199590531682,0.03488797025466693,68.51020347244870834,0.00000000000000000,0.09185086471566706,-0.79585175864073676
1,232,0.23179199590531682,0.05111557496938110,70.05301986705903516,0.00000000000000000,0.47379803146130817,0.74696463596959006
1,233,0.23179199590531682,0.04325697575798360,63.52095754753348444,0.00000000000000000,0.30686729634464438,-5.78509768355596066
1,234,0.23179199590531682,0.02973039268439818,61.96465153654571623,0.00000000000000000,-0.06812136795155954,-7.34140369454372888
1,235,0.23179199590531682,0.01876348449734513,60.34052842655537319,0.00000000000000000,-0.52837854610243040,-8.96552680453407191
