id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
1,0.204125,0.023390,68.334057,0.204091,0.023324,68.300598,0.000000,0.000892,0.224359
2,0.204173,0.035586,71.379967,0.203656,0.035367,71.336913,0.000000,0.000914,0.178662
3,0.204009,0.017394,69.381763,0.204076,0.017180,69.318622,0.000000,0.000678,0.271769
4,0.204175,0.036820,60.478173,0.204017,0.036821,60.477515,0.000000,0.001072,0.209452
5,0.204058,0.023843,73.061985,0.203957,0.023790,73.029122,0.000000,0.000668,0.218237
6,0.204015,0.056196,58.526066,0.204429,0.056176,58.489271,0.000000,0.003082,0.412322
7,0.204069,0.031781,60.449793,0.203661,0.031715,60.425742,0.000000,0.000690,0.158336
8,0.204114,0.032220,55.987384,0.204340,0.032151,55.984840,0.000000,0.000825,0.208562
9,0.204088,0.035384,61.467277,0.204062,0.035458,61.473498,0.000000,0.000885,0.173341
10,0.204130,0.015519,72.323487,0.204638,0.015368,72.296028,0.000000,0.000615,0.239110
11,0.204040,0.065892,63.653747,0.204320,0.065967,63.656376,0.000000,0.003730,0.145546
12,0.204064,0.029703,72.840576,0.204022,0.029482,72.798767,0.000000,0.001025,0.213093
13,0.204134,0.045203,68.493789,0.204230,0.045099,68.474813,0.000000,0.000963,0.111215
14,0.203916,0.062785,66.579512,0.204277,0.063283,66.602889,0.000000,0.001641,0.140105
15,0.203924,0.039709,79.223480,0.204074,0.039582,79.231998,0.000000,0.002022,0.171162
16,0.204106,0.027511,55.837363,0.203915,0.027604,55.850725,0.000000,0.000791,0.293391
17,0.204083,0.038381,69.434241,0.203861,0.038331,69.441663,0.000000,0.000804,0.129418
18,0.203956,0.028895,54.984217,0.204015,0.028744,54.950356,0.000000,0.000749,0.242310
19,0.204107,0.030846,73.532816,0.203890,0.030754,73.527382,0.000000,0.000728,0.181054
20,0.204153,0.028773,61.595180,0.204070,0.028779,61.598752,0.000000,0.000722,0.254617
21,0.204080,0.031763,63.921471,0.204032,0.031585,63.852147,0.000000,0.001042,0.256334
22,0.204174,0.011107,72.569906,0.204080,0.011159,72.557732,0.000000,0.000870,0.444965
23,0.204114,0.021568,65.172484,0.205107,0.021893,65.342562,0.000000,0.000625,0.302199
24,0.204057,0.008854,71.303929,0.203692,0.008800,71.111454,0.000000,0.000524,0.442226
25,0.204003,0.023158,71.533413,0.204067,0.023048,71.528357,0.000000,0.001461,0.260304
