rep,id,eta_p0,eta_alpha,eta_tau
10,14,0.000000,0.766678,-0.491159
1,15,0.000000,0.349767,11.705662
2,15,0.000000,0.347256,11.705662
3,15,0.000000,0.413154,11.705662
4,15,0.000000,0.413154,11.992155
5,15,0.000000,0.409895,11.971588
6,15,0.000000,0.403752,11.803299
7,15,0.000000,0.300882,11.702431
8,15,0.000000,0.339914,11.683939
9,15,0.000000,0.339914,11.683939
10,15,0.000000,0.321484,11.683939
1,16,0.000000,-0.045365,-12.233141
2,16,0.000000,-0.045365,-12.233141
3,16,0.000000,-0.045365,-12.233141
4,16,0.000000,-0.045365,-12.233141
5,16,0.000000,-0.067188,-12.360696
6,16,0.000000,-0.067188,-12.360696
7,16,0.000000,-0.067188,-12.360696
8,16,0.000000,-0.067188,-12.320714
9,16,0.000000,-0.067188,-12.382737
10,16,0.000000,-0.067188,-12.382737
1,17,0.000000,0.322031,1.905204
2,17,0.000000,0.326549,1.905204
3,17,0.000000,0.304653,1.757522
4,17,0.000000,0.308490,2.196038
5,17,0.000000,0.308490,1.942486
6,17,0.000000,0.308490,1.825635
7,17,0.000000,0.308490,1.827743
8,17,0.000000,0.269050,1.797788
9,17,0.000000,0.269050,1.699804
10,17,0.000000,0.269050,1.699804
1,18,0.000000,0.006183,-13.251000
2,18,0.000000,0.032889,-12.899422
3,18,0.000000,0.032889,-12.899422
4,18,0.000000,-0.007159,-12.829490
5,18,0.000000,-0.013217,-13.420693
6,18,0.000000,-0.056583,-13.615244
7,18,0.000000,-0.050582,-13.148975
8,18,0.000000,-0.054140,-13.148975
9,18,0.000000,-0.054140,-13.168234
10,18,0.000000,-0.030013,-13.157634
1,19,0.000000,0.065681,5.549482
2,19,0.000000,0.065681,5.657222
3,19,0.000000,0.065681,5.657222
4,19,0.000000,0.065681,5.657222
5,19,0.000000,0.065681,5.657222
6,19,0.000000,0.065681,5.657222
7,19,0.000000,0.065681,5.657222
8,19,0.000000,0.065681,5.657222
9,19,0.000000,0.065681,5.657222
10,19,0.000000,0.065681,5.657222
1,20,0.000000,0.004578,-6.288492
2,20,0.000000,0.004578,-6.288492
3,20,0.000000,0.004578,-6.288492
4,20,0.000000,0.012725,-6.098341
5,20,0.000000,0.016234,-6.098341
6,20,0.000000,0.016234,-6.279876
7,20,0.000000,0.016234,-6.271285
8,20,0.000000,0.014107,-6.214307
9,20,0.000000,0.009998,-6.214307
10,20,0.000000,0.009998,-6.214307
1,21,0.000000,0.012899,-4.581665
2,21,0.000000,0.073213,-4.391814
3,21,0.000000,0.100711,-4.052947
4,21,0.000000,0.089361,-4.007201
5,21,0.000000,0.071747,-4.007201
6,21,0.000000,0.071747,-4.007201
7,21,0.000000,0.093626,-4.343733
8,21,0.000000,0.093626,-3.983643
9,21,0.000000,0.065780,-3.966641
10,21,0.000000,0.041306,-4.455378
1,22,0.000000,-0.995205,2.003742
2,22,0.000000,-0.973332,1.966388
3,22,0.000000,-0.896802,2.142586
4,22,0.000000,-0.989889,2.112856
