rep,id,p0,alpha,tau
7,15,0.164594,0.033228,78.268945
8,15,0.164594,0.034551,78.250452
9,15,0.164594,0.034551,78.250452
10,15,0.164594,0.033920,78.250452
1,16,0.164594,0.023503,54.333372
2,16,0.164594,0.023503,54.333372
3,16,0.164594,0.023503,54.333372
4,16,0.164594,0.023503,54.333372
5,16,0.164594,0.022996,54.205818
6,16,0.164594,0.022996,54.205818
7,16,0.164594,0.022996,54.205818
8,16,0.164594,0.022996,54.245800
9,16,0.164594,0.022996,54.183777
10,16,0.164594,0.022996,54.183777
1,17,0.164594,0.033938,68.471718
2,17,0.164594,0.034092,68.471718
3,17,0.164594,0.033354,68.324035
4,17,0.164594,0.033482,68.762551
5,17,0.164594,0.033482,68.509000
6,17,0.164594,0.033482,68.392148
7,17,0.164594,0.033482,68.394257
8,17,0.164594,0.032187,68.364302
9,17,0.164594,0.032187,68.266318
10,17,0.164594,0.032187,68.266318
1,18,0.164594,0.024747,53.315514
2,18,0.164594,0.025417,53.667091
3,18,0.164594,0.025417,53.667091
4,18,0.164594,0.024419,53.737023
5,18,0.164594,0.024271,53.145821
6,18,0.164594,0.023241,52.951269
7,18,0.164594,0.023381,53.417539
8,18,0.164594,0.023298,53.417539
9,18,0.164594,0.023298,53.398279
10,18,0.164594,0.023867,53.408880
1,19,0.164594,0.026264,72.115995
2,19,0.164594,0.026264,72.223736
3,19,0.164594,0.026264,72.223736
4,19,0.164594,0.026264,72.223736
5,19,0.164594,0.026264,72.223736
6,19,0.164594,0.026264,72.223736
7,19,0.164594,0.026264,72.223736
8,19,0.164594,0.026264,72.223736
9,19,0.164594,0.026264,72.223736
10,19,0.164594,0.026264,72.223736
1,20,0.164594,0.024707,60.278021
2,20,0.164594,0.024707,60.278021
3,20,0.164594,0.024707,60.278021
4,20,0.164594,0.024909,60.468172
5,20,0.164594,0.024997,60.468172
6,20,0.164594,0.024997,60.286638
7,20,0.164594,0.024997,60.295228
8,20,0.164594,0.024944,60.352207
9,20,0.164594,0.024841,60.352207
10,20,0.164594,0.024841,60.352207
1,21,0.164594,0.024914,61.984848
2,21,0.164594,0.026462,62.174699
3,21,0.164594,0.027200,62.513567
4,21,0.164594,0.026893,62.559312
5,21,0.164594,0.026424,62.559312
6,21,0.164594,0.026424,62.559312
7,21,0.164594,0.027008,62.222780
8,21,0.164594,0.027008,62.582870
9,21,0.164594,0.026266,62.599872
10,21,0.164594,0.025631,62.111136
1,22,0.164594,0.009091,68.570256
2,22,0.164594,0.009292,68.532901
3,22,0.164594,0.010031,68.709099
4,22,0.164594,0.009140,68.679369
5,22,0.164594,0.009192,68.433016
6,22,0.164594,0.008890,68.970131
7,22,0.164594,0.009638,68.803981
8,22,0.164594,0.008128,68.760706
9,22,0.164594,0.009472,68.364567
10,22,0.164594,0.008789,69.238106
1,23,0.164594,0.018891,63.706483
2,23,0.164594,0.018891,63.706483
3,23,0.164594,0.018891,63.706483
4,23,0.164594,0.018891,63.391427
5,23,0.164594,0.018891,63.404648
6,23,0.164594,0.019008,63.568483
7,23,0.164594,0.018740,63.677450
8,23,0.164594,0.018740,63.677450
9,23,0.164594,0.018740,63.677450
10,23,0.164594,0.018455,63.379371
1,24,0.164594,0.007860,67.136118
2,24,0.164594,0.008425,66.821122
3,24,0.164594,0.008077,66.825822
4,24,0.164594,0.007804,66.720593
5,24,0.164594,0.007892,67.973228
6,24,0.164594,0.007764,67.318657
7,24,0.164594,0.008179,66.631614
8,24,0.164594,0.008096,67.257862
9,24,0.164594,0.007934,67.416412
10,24,0.164594,0.007320,66.570138
1,25,0.164594,0.021616,70.005861
2,25,0.164594,0.019118,69.708997
