rep,id,eta_p0,eta_alpha,eta_tau
1,1,0.000000,-0.189665,0.053264
2,1,0.000000,-0.170755,0.053264
3,1,0.000000,-0.197503,0.053264
4,1,0.000000,-0.259756,-0.161247
5,1,0.000000,-0.224006,0.199783
6,1,0.000000,-0.239447,0.130197
7,1,0.000000,-0.234351,0.513618
8,1,0.000000,-0.234351,-0.236811
9,1,0.000000,-0.234351,-0.236811
10,1,0.000000,-0.236911,-0.092045
1,2,0.000000,0.191095,2.965413
2,2,0.000000,0.177120,2.688054
3,2,0.000000,0.166417,2.666691
4,2,0.000000,0.219553,2.962106
5,2,0.000000,0.226712,3.172223
6,2,0.000000,0.221863,3.135215
7,2,0.000000,0.221863,3.135215
8,2,0.000000,0.221863,3.135215
9,2,0.000000,0.221863,3.106408
10,2,0.000000,0.173489,2.838487
1,3,0.000000,-0.526578,1.132810
2,3,0.000000,-0.544604,0.724438
3,3,0.000000,-0.544604,0.724438
4,3,0.000000,-0.640690,0.817111
5,3,0.000000,-0.592029,1.066888
6,3,0.000000,-0.592029,1.066888
7,3,0.000000,-0.519781,1.066888
8,3,0.000000,-0.531471,1.063045
9,3,0.000000,-0.495145,1.336660
10,3,0.000000,-0.503118,1.393826
1,4,0.000000,0.246227,-7.829948
2,4,0.000000,0.246227,-7.829948
3,4,0.000000,0.246227,-7.829948
4,4,0.000000,0.246227,-7.829948
5,4,0.000000,0.208856,-8.066013
6,4,0.000000,0.194174,-8.066013
7,4,0.000000,0.223747,-7.812586
8,4,0.000000,0.223747,-7.763664
9,4,0.000000,0.223747,-7.763664
10,4,0.000000,0.266221,-7.763664
1,5,0.000000,-0.142643,5.208561
2,5,0.000000,-0.204709,5.008647
3,5,0.000000,-0.204709,5.008647
4,5,0.000000,-0.203112,4.940029
5,5,0.000000,-0.182600,4.875197
6,5,0.000000,-0.182600,4.995766
7,5,0.000000,-0.182600,4.995766
8,5,0.000000,-0.213892,4.847784
9,5,0.000000,-0.213892,4.659710
10,5,0.000000,-0.163682,4.967139
1,6,0.000000,0.722867,-9.259840
2,6,0.000000,0.722867,-9.587612
3,6,0.000000,0.695612,-9.350027
4,6,0.000000,0.695612,-9.334359
5,6,0.000000,0.695612,-9.729623
6,6,0.000000,0.692741,-9.418516
7,6,0.000000,0.644833,-9.952493
8,6,0.000000,0.644833,-9.952493
9,6,0.000000,0.647355,-9.952493
10,6,0.000000,0.647355,-9.952493
1,7,0.000000,0.051101,-8.140994
2,7,0.000000,0.113255,-7.760428
3,7,0.000000,0.113255,-7.760428
4,7,0.000000,0.089019,-7.955389
5,7,0.000000,0.089019,-7.955389
6,7,0.000000,0.089019,-7.955389
7,7,0.000000,0.089019,-7.955389
8,7,0.000000,0.089019,-7.955389
9,7,0.000000,0.089019,-7.955389
10,7,0.000000,0.063251,-8.151428
1,8,0.000000,0.094955,-12.568344
2,8,0.000000,0.081753,-12.426013
3,8,0.000000,0.081753,-12.370876
4,8,0.000000,0.113271,-12.256500
5,8,0.000000,0.082253,-12.386629
6,8,0.000000,0.082253,-12.386629
7,8,0.000000,0.084524,-12.249050
8,8,0.000000,0.084524,-12.249050
9,8,0.000000,0.111992,-12.010344
10,8,0.000000,0.111992,-12.142029
1,9,0.000000,0.178451,-6.825653
2,9,0.000000,0.229232,-6.814550
3,9,0.000000,0.192630,-6.925392
4,9,0.000000,0.167144,-7.067979
5,9,0.000000,0.167144,-7.067979
6,9,0.000000,0.167144,-7.025559
7,9,0.000000,0.219892,-6.451841
8,9,0.000000,0.234254,-6.696910
9,9,0.000000,0.234254,-6.696910
10,9,0.000000,0.216188,-6.850449
1,10,0.000000,-0.621032,4.123630
2,10,0.000000,-0.655626,4.311999
3,10,0.000000,-0.618089,4.411458
4,10,0.000000,-0.672678,4.411458
5,10,0.000000,-0.646416,3.717757
6,10,0.000000,-0.643851,4.040335
7,10,0.000000,-0.611798,4.161813
8,10,0.000000,-0.611798,4.161813
9,10,0.000000,-0.642107,4.039423
10,10,0.000000,-0.610662,4.499522
1,11,0.000000,0.926687,-4.801318
