rep,id,eta_V,eta_k,eta_Vm,eta_Km
1,1,0.0663073191680499,0.154584102781069,0.14231133895488,0.286983120111745
1,2,-0.233625474999517,-0.0917255022231958,0.0844282427113723,-0.300636323082774
1,3,-0.0811975490637917,-0.000385353286584511,0.0240780200023905,-0.430538865746953
1,4,-0.00121986815175656,0.0716693325890723,-0.00643453996797172,0.375881560782087
1,5,-0.151705223844421,0.0875855225823559,-0.0702798346106432,-0.501453255896812
1,6,-0.622960019717301,-0.146693376788616,-0.046637875619115,0.133014974165156
1,7,-0.391704337541997,0.306810449921834,0.147336859843338,-0.464146912846089
1,8,-0.172185641302788,0.0512580164989394,-0.0899112352721134,-0.229411434027102
1,9,0.164841316009503,0.201552322847426,-0.209090771858921,0.262970562566085
1,10,-0.0982694381143769,0.135674937434422,-0.113483158398344,-0.0387502848716499
1,11,-0.037728788829396,0.120761999350352,-0.0868346597379832,-0.226541076718801
1,12,-0.14381366180677,-0.420156764344366,-0.0815045064431015,0.00530513871499316
1,13,0.15166323294323,0.00934241769866118,-0.164133467705561,-0.011848221749186
1,14,0.014225106025501,0.162859196180855,0.0336033994250735,-0.562283639449795
1,15,0.230891654675377,0.00763128023647131,-0.0614675579412536,0.906751421691957
1,16,0.00300087930236259,-0.0221292320722397,-0.00689730481348105,-0.30737181879955
1,17,-0.193976952151677,0.25578379922829,-0.381032657955186,-0.375051155213739
1,18,0.0681485367651584,-0.0649410860219444,0.0755978407993243,0.294207605514753
1,19,0.0833952292672895,0.0765976343065473,-0.0230418815404376,-0.676069421935877
1,20,0.0274453029434159,0.0219468450170592,-0.292341882928187,-0.104442061763391
1,21,-0.348052950994671,-0.0318070611194936,-0.105751857801114,-0.172439783850899
1,22,0.119545760515479,0.163213364156282,-0.129097282061307,-0.286689165262707
1,23,0.00212076899896774,-0.144541629796888,0.108368535889,0.358233035067345
1,24,-0.081099343016128,0.0767271609590434,0.0918056233128091,-0.20814515112553
1,25,0.0403819938850174,0.0168048148747255,-0.112433275697944,-0.308875657287026
1,26,-0.345101284698522,0.13673552326365,-0.064671274194489,0.529566743786841
1,27,0.403732508240897,-0.189697322527447,-0.0256643798036817,-0.3578610518732
1,28,-0.159481549379632,0.14463324846143,0.0136838325191808,0.712854487324498
1,29,-0.0218235770888153,-0.0830701681140265,0.111144017006395,-0.512956661830482
1,30,-0.0637063814046641,0.0358106164509326,-0.125075461692937,0.275888598002903
1,31,0.163285063987142,-0.0526634010272451,0.142901507952666,0.302475612882266
1,32,-0.11753394146203,0.00238102035557342,-0.138811089364758,0.24570501533673
1,33,0.16930358636784,0.0675261423895699,-0.0569790071385345,-0.00801502412263666
1,34,0.190480793931165,0.103565840768081,0.0246513547572789,0.279791578506918
1,35,-0.13358422861299,-0.255357531389713,-0.1405202449196,-0.382730446840436
1,36,0.170275489298338,0.0627311837272595,0.167856306237578,0.0871810157821284
1,37,0.0369128290804785,-0.140304464473574,0.210077582650632,0.190593004916851
1,38,0.065153040116348,0.133092749554681,-0.123649727278043,0.113024827082476
1,39,0.0741076271761183,-0.153276620198286,-0.0377536483475345,0.472029834072858
1,40,0.248075607762579,-0.221552709231787,0.0930278404715907,0.384334948231249
1,41,0.042227460189582,0.0554216203434881,0.117968698098833,0.536156029587595
1,42,0.167523421571181,-0.0361322792602232,-0.0394414725473131,-0.106562703117318
1,43,0.0930540617376865,-0.149317569145947,0.17154444597667,-0.197234739588543
1,44,-0.0551975320060469,-0.109745924481734,-0.103286926445731,-0.467692534710245
1,45,0.170331630153426,0.112262437943259,0.12886662955922,-0.423725817297051
1,46,0.0761207023717918,-0.0184144277504106,2.37732646664046e-05,-0.0548386515620796
1,47,0.204372660406515,-0.208144121946844,0.0230971982754122,0.560209590042668
1,48,0.1114388093167,0.0845093771465772,0.114078496124022,0.357831689817437
1,49,-0.253692273321179,0.579490758882393,-0.00043610347279377,-0.156878352194357
1,50,0.0675495744683881,0.021441164343555,-0.0686747407376209,-0.173871357920947
