rep,id,s,d,beta,delta,p,c,eta,epsilon
1,1,25416.6213065417,3.11756586605449,5e-05,0.05,20,5,0.9,0.7
1,2,79394.8267809121,1.30620727744275,5e-05,0.05,20,5,0.9,0.7
1,3,4546.67353978433,2.96670204338476,5e-05,0.05,20,5,0.9,0.7
1,4,7378.71701928086,0.46720418982863,5e-05,0.05,20,5,0.9,0.7
1,5,4102.72889336025,1.81365213290604,5e-05,0.05,20,5,0.9,0.7
1,6,7624.59360202207,1.77367234920781,5e-05,0.05,20,5,0.9,0.7
1,7,10288.0416582765,4.56910697524028,5e-05,0.05,20,5,0.9,0.7
1,8,2560.66646774557,0.25546064007984,5e-05,0.05,20,5,0.9,0.7
1,9,103238.04049063,0.336660808499372,5e-05,0.05,20,5,0.9,0.7
1,10,191.997072824992,0.319709543564686,5e-05,0.05,20,5,0.9,0.7
1,11,451.188253325222,1.22944772705412,5e-05,0.05,20,5,0.9,0.7
1,12,249.953220072425,0.502857864306677,5e-05,0.05,20,5,0.9,0.7
1,13,1056.63908148453,0.579723214378668,5e-05,0.05,20,5,0.9,0.7
1,14,581.461025490628,1.62047005894734,5e-05,0.05,20,5,0.9,0.7
1,15,75396.1631590358,0.487956955036792,5e-05,0.05,20,5,0.9,0.7
1,16,1125.20654049769,2.30742052059589,5e-05,0.05,20,5,0.9,0.7
1,17,22998.9334059769,25.0680782147634,5e-05,0.05,20,5,0.9,0.7
1,18,21246.7970896846,4.21632676623947,5e-05,0.05,20,5,0.9,0.7
1,19,40997.2300924572,0.048102499349345,5e-05,0.05,20,5,0.9,0.7
1,20,24327.5161418667,1.09255845931255,5e-05,0.05,20,5,0.9,0.7
1,21,17823.7623181953,4.84694155054219,5e-05,0.05,20,5,0.9,0.7
1,22,9657.24732578638,0.061276499960176,5e-05,0.05,20,5,0.9,0.7
1,23,8494.12154010804,0.656844293108541,5e-05,0.05,20,5,0.9,0.7
1,24,23963.4009185816,1.05734232533138,5e-05,0.05,20,5,0.9,0.7
1,25,1491.97753334095,0.41025135771098,5e-05,0.05,20,5,0.9,0.7
1,26,277.238486945361,0.200568404404724,5e-05,0.05,20,5,0.9,0.7
1,27,3894.95698871044,0.709973788158864,5e-05,0.05,20,5,0.9,0.7
1,28,3445.78222528963,2.58860854048654,5e-05,0.05,20,5,0.9,0.7
1,29,5434.93577678793,3.23034778228373,5e-05,0.05,20,5,0.9,0.7
1,30,12304.7371818242,0.585413816690162,5e-05,0.05,20,5,0.9,0.7
1,31,4087.51356051426,0.600301974600406,5e-05,0.05,20,5,0.9,0.7
1,32,5036.02042938829,1.25548815407773,5e-05,0.05,20,5,0.9,0.7
1,33,6863.76053950179,2.67089226162482,5e-05,0.05,20,5,0.9,0.7
1,34,41347.5811557673,0.922239919338743,5e-05,0.05,20,5,0.9,0.7
1,35,8079.39185356729,17.995329993769,5e-05,0.05,20,5,0.9,0.7
1,36,25270.7496102806,6.71675745388767,5e-05,0.05,20,5,0.9,0.7
1,37,115.339894924985,0.319155617317885,5e-05,0.05,20,5,0.9,0.7
1,38,3552.16988446515,7.47761886674226,5e-05,0.05,20,5,0.9,0.7
1,39,2882.53312276995,1.11596848486487,5e-05,0.05,20,5,0.9,0.7
1,40,7272.53087548365,1.59163727074952,5e-05,0.05,20,5,0.9,0.7
1,41,24314.5061328087,4.44744213951862,5e-05,0.05,20,5,0.9,0.7
1,42,11956.5350119472,5.14562541767166,5e-05,0.05,20,5,0.9,0.7
1,43,2850.6216001967,9.09841458469809,5e-05,0.05,20,5,0.9,0.7
1,44,867.086983419129,0.5537666568214,5e-05,0.05,20,5,0.9,0.7
1,45,343.894009368691,1.11726803734369,5e-05,0.05,20,5,0.9,0.7
1,46,122.592276488644,0.202098678942283,5e-05,0.05,20,5,0.9,0.7
1,47,4262.07925452791,0.25190659850487,5e-05,0.05,20,5,0.9,0.7
1,48,4175.40770394095,4.18107528237003,5e-05,0.05,20,5,0.9,0.7
1,49,1469.92697724277,0.772649448109517,5e-05,0.05,20,5,0.9,0.7
1,50,21906.4823608226,7.43130868549863,5e-05,0.05,20,5,0.9,0.7
1,51,1085.97324660397,4.28308896484644,5e-05,0.05,20,5,0.9,0.7
1,52,797.228699018403,2.52200263778861,5e-05,0.05,20,5,0.9,0.7
1,53,3445.1116107921,4.30479260268943,5e-05,0.05,20,5,0.9,0.7
1,54,103438.563205377,0.0736454331799772,5e-05,0.05,20,5,0.9,0.7
1,55,6953.7112616477,0.410122634178619,5e-05,0.05,20,5,0.9,0.7
1,56,14506.9456405116,0.0829706718148479,5e-05,0.05,20,5,0.9,0.7
