rep,id,eta_s,eta_d,eta_beta,eta_delta,eta_p,eta_c,eta_eta,eta_epsilon
1,1,1.66046595481044,0.78980785105727,0,0,0,0,0,0
1,2,2.79949582489096,-0.0801169452036551,0,0,0,0,0,0
1,3,-0.0605415119178954,0.740206237599466,0,0,0,0,0,0
1,4,0.42366239052685,-1.10823355468907,0,0,0,0,0,0
1,5,-0.163285051292691,0.248097890199256,0,0,0,0,0,0
1,6,0.456441635630886,0.225807495643401,0,0,0,0,0,0
1,7,0.756044829350731,1.1720731004433,0,0,0,0,0,0
1,8,-0.63466982377445,-1.71193160690938,0,0,0,0,0,0
1,9,3.06210000718631,-1.4359240335991,0,0,0,0,0,0
1,10,-3.22521254012047,-1.48758704687221,0,0,0,0,0,0
1,11,-2.37080800078085,-0.140679608978316,0,0,0,0,0,0
1,12,-2.961418885686,-1.03469239988142,0,0,0,0,0,0
1,13,-1.51984419431702,-0.892449181070108,0,0,0,0,0,0
1,14,-2.11714872070814,0.135471591864248,0,0,0,0,0,0
1,15,2.74781899988748,-1.06477275904712,0,0,0,0,0,0
1,16,-1.45697077698771,0.488885567720362,0,0,0,0,0,0
1,17,1.56051045385395,2.87435057732556,0,0,0,0,0,0
1,18,1.4812687714722,1.09171963932354,0,0,0,0,0,0
1,19,2.13856711835483,-3.38166581683139,0,0,0,0,0,0
1,20,1.61667067389051,-0.2587225189116,0,0,0,0,0,0
1,21,1.30559514137854,1.23110322276096,0,0,0,0,0,0
1,22,0.692771264347309,-3.13960354584919,0,0,0,0,0,0
1,23,0.564436953378644,-0.767552960512213,0,0,0,0,0,0
1,24,1.60159031733786,-0.291486155655755,0,0,0,0,0,0
1,25,-1.17483494376101,-1.23822991468105,0,0,0,0,0,0
1,26,-2.85781456685652,-1.95384459645545,0,0,0,0,0,0
1,27,-0.215254750778072,-0.689771902850228,0,0,0,0,0,0
1,28,-0.337786447613581,0.603875813153439,0,0,0,0,0,0
1,29,0.11791031655827,0.825345128836099,0,0,0,0,0,0
1,30,0.9350469376192,-0.882680978003165,0,0,0,0,0,0
1,31,-0.167000533571855,-0.857567134509608,0,0,0,0,0,0
1,32,0.0416787854967797,-0.1197202107877,0,0,0,0,0,0
1,33,0.351318087794168,0.635167921834302,0,0,0,0,0,0
1,34,2.14707653557442,-0.428194548209223,0,0,0,0,0,0
1,35,0.514379216706061,2.54286760430808,0,0,0,0,0,0
1,36,1.654710197653,1.55736084120522,0,0,0,0,0,0
1,37,-3.7348092891444,-1.48932114170012,0,0,0,0,0,0
1,38,-0.307378735526862,1.66466973284849,0,0,0,0,0,0
1,39,-0.516267923264699,-0.237522050943875,0,0,0,0,0,0
1,40,0.409166969543152,0.117518541319136,0,0,0,0,0,0
1,41,1.6161357450878,1.1450844556732,0,0,0,0,0,0
1,42,0.906340604480203,1.29090224510494,0,0,0,0,0,0
1,43,-0.527400311515506,1.86085550174688,0,0,0,0,0,0
1,44,-1.71755336768439,-0.938256553172397,0,0,0,0,0,0
1,45,-2.64235916873213,-0.236358222023301,0,0,0,0,0,0
1,46,-3.67382864245684,-1.9462438663835,0,0,0,0,0,0
1,47,-0.125180258224262,-1.72594157616456,0,0,0,0,0,0
1,48,-0.145725380173166,1.08332378290522,0,0,0,0,0,0
1,49,-1.189724663135,-0.605174503721186,0,0,0,0,0,0
1,50,1.51184520388798,1.65845730341336,0,0,0,0,0,0
1,51,-1.4924608009414,1.10742979490118,0,0,0,0,0,0
1,52,-1.801551078866,0.577808608317746,0,0,0,0,0,0
1,53,-0.337981085498187,1.11248428566915,0,0,0,0,0,0
1,54,3.06404045689451,-2.9557378201926,0,0,0,0,0,0
1,55,0.364338124187338,-1.23854373139072,0,0,0,0,0,0
1,56,1.09969015708174,-2.83651276039313,0,0,0,0,0,0
