alpha_abscissa,alpha_pdf,alpha_cdf,tau_abscissa,tau_pdf,tau_cdf,split
0.123781,0.783577,0.979074,86.8148,0.0135902,0.951183,All
0.125415,0.734337,0.980314,87.214,0.0124172,0.956373,All
0.12705,0.688339,0.981476,87.6133,0.0113129,0.961108,All
0.128684,0.64536,0.982566,88.0125,0.0102772,0.965415,All
0.130319,0.605197,0.983587,88.4118,0.00930953,0.969323,All
0.131953,0.567659,0.984545,88.811,0.00840874,0.972858,All
0.133588,0.532566,0.985444,89.2103,0.00757331,0.976046,All
0.135222,0.499755,0.986287,89.6095,0.00680129,0.978914,All
0.136856,0.46907,0.987079,90.0088,0.00609043,0.981485,All
0.138491,0.440369,0.987822,90.408,0.00543821,0.983785,All
0.140125,0.413517,0.988519,90.8073,0.00484189,0.985835,All
0.14176,0.388391,0.989175,91.2065,0.00429858,0.987658,All
0.143394,0.364874,0.98979,91.6058,0.00380528,0.989274,All
0.145029,0.342859,0.990368,92.005,0.00335892,0.990703,All
0.146663,0.322246,0.990912,92.4043,0.0029564,0.991962,All
0.148298,0.302942,0.991422,92.8035,0.00259464,0.993069,All
0.149932,0.284858,0.991902,93.2028,0.00227061,0.994039,All
0.151567,0.267916,0.992354,93.602,0.00198135,0.994886,All
0.153201,0.252038,0.992779,94.0013,0.00172397,0.995625,All
0.154836,0.237156,0.993179,94.4005,0.00149571,0.996267,All
0.15647,0.223203,0.993555,94.7998,0.00129395,0.996823,All
0.158104,0.210118,0.993909,95.199,0.00111619,0.997303,All
0.159739,0.197845,0.994242,95.5983,0.000960091,0.997717,All
0.161373,0.186331,0.994556,95.9975,0.000823448,0.998073,All
0.163008,0.175527,0.994851,96.3968,0.000704225,0.998377,All
0.164642,0.165386,0.99513,96.796,0.000600533,0.998637,All
