Tlag%V_abscissa,Tlag%V_spline,Tlag%V_regression,Tlag%ka_abscissa,Tlag%ka_spline,Tlag%ka_regression,V%Tlag_abscissa,V%Tlag_spline,V%Tlag_regression,V%ka_abscissa,V%ka_spline,V%ka_regression,ka%Tlag_abscissa,ka%Tlag_spline,ka%Tlag_regression,ka%V_abscissa,ka%V_spline,ka%V_regression
-0.981062,0.658749,0.408004,-0.676717,1.17305,0.922432,-7.21127,0.106339,0.0462434,-0.676717,-0.175851,-0.0525007,-7.21127,0.158809,0.20983,-0.981062,-0.301142,-0.144028
-0.956156,0.656552,0.40608,-0.641585,1.04947,0.895256,-6.94026,0.0980329,0.0460179,-0.641585,-0.200126,-0.0482651,-6.94026,0.145013,0.205534,-0.956156,-0.295872,-0.138312
-0.93125,0.654355,0.404155,-0.606453,0.924665,0.868079,-6.66925,0.0897267,0.0457925,-0.606453,-0.221072,-0.0440296,-6.66925,0.131216,0.201237,-0.93125,-0.290602,-0.132596
-0.906344,0.652158,0.402231,-0.571321,0.801789,0.840902,-6.39824,0.0812848,0.045567,-0.571321,-0.232415,-0.0397941,-6.39824,0.118615,0.196941,-0.906344,-0.285332,-0.12688
-0.881437,0.649961,0.400306,-0.536189,0.678913,0.813726,-6.12722,0.0727488,0.0453416,-0.536189,-0.243757,-0.0355585,-6.12722,0.110024,0.192645,-0.881437,-0.280062,-0.121164
-0.856531,0.647764,0.398381,-0.501057,0.556037,0.786549,-5.85621,0.064302,0.0451161,-0.501057,-0.2551,-0.031323,-5.85621,0.102289,0.188349,-0.856531,-0.274792,-0.115448
-0.831625,0.645568,0.396457,-0.465924,0.4416,0.759372,-5.5852,0.056024,0.0448907,-0.465924,-0.260344,-0.0270874,-5.5852,0.094984,0.184052,-0.831625,-0.269522,-0.109732
-0.806718,0.643371,0.394532,-0.430792,0.347764,0.732196,-5.31418,0.0498255,0.0446652,-0.430792,-0.252384,-0.0228519,-5.31418,0.0929632,0.179756,-0.806718,-0.264252,-0.104016
-0.781812,0.641174,0.392608,-0.39566,0.272106,0.705019,-5.04317,0.0436271,0.0444398,-0.39566,-0.235689,-0.0186164,-5.04317,0.0909423,0.17546,-0.781812,-0.258982,-0.0983006
-0.756906,0.638977,0.390683,-0.360528,0.216101,0.677842,-4.77216,0.0374286,0.0442143,-0.360528,-0.210361,-0.0143808,-4.77216,0.0889215,0.171164,-0.756906,-0.253712,-0.0925847
-0.732,0.63678,0.388758,-0.325396,0.179418,0.650665,-4.50115,0.0312301,0.0439888,-0.325396,-0.177415,-0.0101453,-4.50115,0.0869007,0.166867,-0.732,-0.248442,-0.0868688
-0.707093,0.634583,0.386834,-0.290264,0.156766,0.623489,-4.23013,0.0250316,0.0437634,-0.290264,-0.139603,-0.00590974,-4.23013,0.0848798,0.162571,-0.707093,-0.243171,-0.0811529
-0.682187,0.632386,0.384909,-0.255132,0.150978,0.596312,-3.95912,0.0215553,0.0435379,-0.255132,-0.0969138,-0.0016742,-3.95912,0.086583,0.158275,-0.682187,-0.237901,-0.075437
-0.657281,0.636317,0.382984,-0.219999,0.156812,0.569135,-3.68811,0.019916,0.0433125,-0.219999,-0.0517667,0.00256134,-3.68811,0.090208,0.153979,-0.657281,-0.218792,-0.0697211
-0.632374,0.647396,0.38106,-0.184867,0.176948,0.541959,-3.41709,0.019249,0.043087,-0.184867,-0.00514595,0.00679688,-3.41709,0.0946984,0.149682,-0.632374,-0.183542,-0.0640052
-0.607468,0.658475,0.379135,-0.149735,0.203248,0.514782,-3.14608,0.0207933,0.0428616,-0.149735,0.0412313,0.0110324,-3.14608,0.100878,0.145386,-0.607468,-0.148292,-0.0582893
