id,alpha_eta_simulated,tau_eta_simulated,color,filter
180,0,-0.041173,#4682B4,0
181,0,0.808961,#4682B4,0
182,0,-1.06767,#4682B4,0
183,0,-0.347393,#4682B4,0
184,0,-0.0151671,#4682B4,0
185,0,0.560061,#4682B4,0
186,0,0.0934267,#4682B4,0
187,0,1.14816,#4682B4,0
188,0,0.10689,#4682B4,0
189,0,-0.714889,#4682B4,0
190,0,0.856239,#4682B4,0
191,0,-0.154348,#4682B4,0
192,0,0.35066,#4682B4,0
193,0,-0.711532,#4682B4,0
194,0,0.273929,#4682B4,0
195,0,0.0465621,#4682B4,0
196,0,0.22384,#4682B4,0
197,0,0.380787,#4682B4,0
198,0,1.29515,#4682B4,0
199,0,0.28712,#4682B4,0
200,0,-0.431792,#4682B4,0
201,0,-0.67015,#4682B4,0
202,0,-0.963215,#4682B4,0
203,0,-0.434328,#4682B4,0
204,0,-0.419433,#4682B4,0
205,0,1.0058,#4682B4,0
206,0,0.382236,#4682B4,0
207,0,-0.277652,#4682B4,0
208,0,0.0293641,#4682B4,0
209,0,0.338653,#4682B4,0
210,0,-0.725943,#4682B4,0
211,0,-0.52497,#4682B4,0
212,0,0.433754,#4682B4,0
213,0,-0.0917816,#4682B4,0
214,0,0.553518,#4682B4,0
215,0,0.741813,#4682B4,0
216,0,0.338285,#4682B4,0
217,0,0.481712,#4682B4,0
218,0,0.0403996,#4682B4,0
219,0,-0.256554,#4682B4,0
220,0,0.307139,#4682B4,0
221,0,-0.59902,#4682B4,0
222,0,0.725616,#4682B4,0
223,0,-0.67389,#4682B4,0
224,0,-0.921163,#4682B4,0
225,0,-1.11053,#4682B4,0
226,0,0.341234,#4682B4,0
227,0,-0.688949,#4682B4,0
228,0,-0.665164,#4682B4,0
229,0,-0.554404,#4682B4,0
230,0,0.108018,#4682B4,0
231,0,0.0916071,#4682B4,0
232,0,0.484881,#4682B4,0
233,0,0.309422,#4682B4,0
234,0,-0.0255499,#4682B4,0
235,0,-0.490855,#4682B4,0
236,0,-0.00165386,#4682B4,0
237,0,0.339177,#4682B4,0
238,0,0.104371,#4682B4,0
239,0,-0.153681,#4682B4,0
240,0,-0.615826,#4682B4,0
241,0,-0.272774,#4682B4,0
242,0,-0.191146,#4682B4,0
243,0,-0.508558,#4682B4,0
244,0,-0.613773,#4682B4,0
245,0,-0.691883,#4682B4,0
246,0,0.390938,#4682B4,0
247,0,-0.898713,#4682B4,0
248,0,-0.131772,#4682B4,0
249,0,0.229659,#4682B4,0
250,0,0.249988,#4682B4,0
