id,alpha_eta_mean,alpha_eta_mode,tau_eta_mean,tau_eta_mode,color,filter
161,0,,0.403033,,#4682B4,0
162,0,,-0.2153,,#4682B4,0
163,0,,-0.530029,,#4682B4,0
164,0,,-1.022,,#4682B4,0
165,0,,0.345243,,#4682B4,0
166,0,,-0.353127,,#4682B4,0
167,0,,-1.50627,,#4682B4,0
168,0,,0.665753,,#4682B4,0
169,0,,0.669112,,#4682B4,0
170,0,,0.0740346,,#4682B4,0
171,0,,-0.996561,,#4682B4,0
172,0,,-0.200377,,#4682B4,0
173,0,,0.586751,,#4682B4,0
174,0,,-0.930396,,#4682B4,0
175,0,,-0.501517,,#4682B4,0
176,0,,0.0359524,,#4682B4,0
177,0,,0.490899,,#4682B4,0
178,0,,0.0658571,,#4682B4,0
179,0,,0.242405,,#4682B4,0
180,0,,-0.0320465,,#4682B4,0
181,0,,0.807172,,#4682B4,0
182,0,,-1.00658,,#4682B4,0
183,0,,-0.350618,,#4682B4,0
184,0,,0.0036691,,#4682B4,0
185,0,,0.592102,,#4682B4,0
186,0,,0.107575,,#4682B4,0
187,0,,1.13065,,#4682B4,0
188,0,,0.127062,,#4682B4,0
189,0,,-0.701181,,#4682B4,0
190,0,,0.857205,,#4682B4,0
191,0,,-0.171068,,#4682B4,0
192,0,,0.35218,,#4682B4,0
193,0,,-0.644733,,#4682B4,0
194,0,,0.264893,,#4682B4,0
195,0,,-0.00216018,,#4682B4,0
196,0,,0.259154,,#4682B4,0
197,0,,0.41527,,#4682B4,0
198,0,,1.25883,,#4682B4,0
199,0,,0.293637,,#4682B4,0
200,0,,-0.445937,,#4682B4,0
201,0,,-0.61593,,#4682B4,0
202,0,,-0.964281,,#4682B4,0
203,0,,-0.452808,,#4682B4,0
204,0,,-0.393625,,#4682B4,0
205,0,,0.996733,,#4682B4,0
206,0,,0.352163,,#4682B4,0
207,0,,-0.270744,,#4682B4,0
208,0,,0.236714,,#4682B4,0
209,0,,0.321842,,#4682B4,0
210,0,,-0.710066,,#4682B4,0
211,0,,-0.58153,,#4682B4,0
212,0,,0.425228,,#4682B4,0
213,0,,-0.101387,,#4682B4,0
214,0,,0.595674,,#4682B4,0
215,0,,0.71962,,#4682B4,0
216,0,,0.271246,,#4682B4,0
217,0,,0.642744,,#4682B4,0
218,0,,0.048448,,#4682B4,0
219,0,,-0.297997,,#4682B4,0
220,0,,0.289284,,#4682B4,0
221,0,,-0.588019,,#4682B4,0
222,0,,0.666838,,#4682B4,0
223,0,,-0.675307,,#4682B4,0
224,0,,-1.00496,,#4682B4,0
225,0,,-1.21951,,#4682B4,0
226,0,,0.340548,,#4682B4,0
227,0,,-0.715307,,#4682B4,0
228,0,,-0.643308,,#4682B4,0
229,0,,-0.531501,,#4682B4,0
230,0,,0.234678,,#4682B4,0
231,0,,0.0417217,,#4682B4,0
232,0,,0.486046,,#4682B4,0
233,0,,0.310809,,#4682B4,0
234,0,,-0.0839076,,#4682B4,0
235,0,,-0.501081,,#4682B4,0
236,0,,0.020375,,#4682B4,0
237,0,,0.349092,,#4682B4,0
238,0,,0.078702,,#4682B4,0
239,0,,-0.144844,,#4682B4,0
240,0,,-0.682625,,#4682B4,0
241,0,,-0.278823,,#4682B4,0
242,0,,-0.208429,,#4682B4,0
243,0,,-0.443055,,#4682B4,0
244,0,,-0.577146,,#4682B4,0
245,0,,-0.656773,,#4682B4,0
246,0,,0.376123,,#4682B4,0
247,0,,-0.867789,,#4682B4,0
248,0,,-0.139045,,#4682B4,0
249,0,,0.212676,,#4682B4,0
250,0,,0.252854,,#4682B4,0
