          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.30681;   0.04244;     13.83;        NaN
    ka_pop;   1.62276;   0.77959;     48.04;        NaN
     V_pop; 233.11939;  35.80309;     15.36;        NaN
    Cl_pop;  39.56747;   4.13639;     10.45;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.35280;   0.29312;     21.67;        NaN
   omega_V;   0.41283;   0.13241;     32.07;        NaN
  omega_Cl;   0.32974;   0.07408;     22.47;        NaN
         a;   0.34255;   0.02639;      7.70;        NaN
