          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.31409;   0.04154;     13.23;        NaN
    ka_pop;   1.70150;   0.83613;     49.14;        NaN
     V_pop; 236.13831;  35.99344;     15.24;        NaN
    Cl_pop;  39.54856;   4.09515;     10.35;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.38719;   0.30142;     21.73;        NaN
   omega_V;   0.40754;   0.13003;     31.91;        NaN
  omega_Cl;   0.32430;   0.07385;     22.77;        NaN
         a;   0.34695;   0.02705;      7.80;        NaN
