          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.28276;   0.04596;     16.25;        NaN
    ka_pop;   1.42038;   0.64512;     45.42;        NaN
     V_pop; 232.91363;  36.45785;     15.65;        NaN
    Cl_pop;  39.37745;   4.13198;     10.49;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.26259;   0.27657;     21.91;        NaN
   omega_V;   0.41951;   0.13602;     32.42;        NaN
  omega_Cl;   0.33047;   0.07437;     22.50;        NaN
         a;   0.34213;   0.02601;      7.60;        NaN
