          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.25268;   0.04947;     19.58;        NaN
    ka_pop;   1.22503;   0.54072;     44.14;        NaN
     V_pop; 222.21535;  36.80989;     16.56;        NaN
    Cl_pop;  39.35970;   4.23253;     10.75;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.21928;   0.26899;     22.06;        NaN
   omega_V;   0.43956;   0.14005;     31.86;        NaN
  omega_Cl;   0.34089;   0.07655;     22.46;        NaN
         a;   0.34171;   0.02608;      7.63;        NaN
