"","iterations","tauD","tauS","omega2.tauD","omega2.tauS","b","algo"
"2",0,10,10,1,1,1,"full"
"3",2.35294117647059,5.00804134062011,6.59752136611259,0.388860083302437,1.08550879931824,0.19065097247482,"full"
"4",4.70588235294118,7.809926213428,6.36289939866369,0.12904340183494,0.765318141832911,0.128697208130323,"full"
"5",7.05882352941176,8.45893442681857,7.08066645216335,0.114488069208429,0.559595991056074,0.115920793864507,"full"
"6",9.41176470588235,8.68350039945553,7.83329825258549,0.100554215039518,0.372435959764708,0.113646879506768,"full"
"7",11.7647058823529,8.64986796261145,8.02697415730001,0.0868105602439631,0.281217827098663,0.112917168543706,"full"
"8",14.1176470588235,8.7383871690838,8.72119202668482,0.0799327127412042,0.255830206929756,0.112912832140371,"full"
"9",16.4705882352941,8.71667644828272,8.86656652351152,0.0853431386350305,0.191164173363939,0.11242349778196,"full"
"10",18.8235294117647,8.61147017249711,9.04795643608037,0.0764488562225196,0.155780537257066,0.113172935591128,"full"
"11",21.1764705882353,8.66478296115069,9.01056135036454,0.0699471483820115,0.148451767021335,0.112452024420068,"full"
"12",23.5294117647059,8.67560637365365,8.9405604500356,0.0711636283441202,0.142670481914104,0.112802502822193,"full"
"13",25.8823529411765,8.65901535444598,8.98511828009629,0.0644755891733872,0.155492356713616,0.112576367742997,"full"
"14",28.2352941176471,8.62930271639444,9.10927383793592,0.0695575685750747,0.132389554697397,0.112213932522797,"full"
"15",30.5882352941176,8.7607513183121,9.20245091616155,0.0658146083060114,0.104339488340688,0.113330078084717,"full"
"16",32.9411764705882,8.71621656384357,9.58841377143365,0.0674341127814237,0.11258521092682,0.112497744557424,"full"
"17",35.2941176470588,8.5778367256741,9.62947050687097,0.0678603018711694,0.102280916883535,0.113116817589017,"full"
"18",37.6470588235294,8.62892742649808,9.5125033562382,0.0676058483867195,0.108645665862129,0.111801963191853,"full"
"19",40,8.60138822271719,9.49792604311781,0.0799150065124472,0.113632589587564,0.112200226273552,"full"
"20",42.3529411764706,8.66221636055769,9.24315103200717,0.0787829271548155,0.115631273707852,0.112226213697671,"full"
"21",44.7058823529412,8.5997561007916,9.57861363688619,0.074100010790346,0.105096919919131,0.112729030118396,"full"
