rep,id,p0,alpha,tau
1,1,0.285983,0.030809,71.139396
2,1,0.285983,0.030211,71.250711
3,1,0.285983,0.030104,71.432785
4,1,0.285983,0.029888,71.640435
5,1,0.285983,0.029888,71.245737
6,1,0.285983,0.030975,71.385704
7,1,0.285983,0.030744,71.756831
8,1,0.285983,0.030744,71.756831
9,1,0.285983,0.031308,71.674330
10,1,0.285983,0.031679,71.674330
1,2,0.285983,0.045250,73.515869
2,2,0.285983,0.045250,73.515869
3,2,0.285983,0.045250,73.515869
4,2,0.285983,0.044596,73.520434
5,2,0.285983,0.044596,73.520434
6,2,0.285983,0.045921,73.520434
7,2,0.285983,0.045921,73.520434
8,2,0.285983,0.045265,73.601769
9,2,0.285983,0.045492,73.601769
10,2,0.285983,0.045855,73.601769
1,3,0.285983,0.022385,73.379951
2,3,0.285983,0.022309,73.523184
3,3,0.285983,0.021751,73.590551
4,3,0.285983,0.021751,73.590551
5,3,0.285983,0.021237,73.192379
6,3,0.285983,0.019827,73.254266
7,3,0.285983,0.020075,73.254266
8,3,0.285983,0.021250,73.254266
9,3,0.285983,0.022610,73.357312
10,3,0.285983,0.021262,73.517093
1,4,0.285983,0.045213,62.370474
2,4,0.285983,0.046914,62.538462
3,4,0.285983,0.046914,62.538462
4,4,0.285983,0.047533,62.575591
5,4,0.285983,0.047533,62.575591
6,4,0.285983,0.047119,62.624828
7,4,0.285983,0.046547,62.361989
8,4,0.285983,0.047350,62.521913
9,4,0.285983,0.047350,62.521913
10,4,0.285983,0.047397,62.521913
1,5,0.285983,0.029342,76.242257
2,5,0.285983,0.030911,75.934983
3,5,0.285983,0.029922,75.914873
4,5,0.285983,0.030649,76.225715
5,5,0.285983,0.030464,76.276429
6,5,0.285983,0.031485,76.255397
7,5,0.285983,0.029798,76.341952
8,5,0.285983,0.030164,76.052008
9,5,0.285983,0.030283,76.307535
10,5,0.285983,0.030283,76.109505
1,6,0.285983,0.074234,60.144713
2,6,0.285983,0.074234,60.144713
3,6,0.285983,0.074234,60.144713
4,6,0.285983,0.072554,59.971285
5,6,0.285983,0.071184,59.860927
6,6,0.285983,0.071520,59.860927
7,6,0.285983,0.070860,59.876433
8,6,0.285983,0.069976,59.740397
9,6,0.285983,0.069976,59.740397
10,6,0.285983,0.071396,60.003083
1,7,0.285983,0.037918,62.464858
2,7,0.285983,0.038194,62.738757
3,7,0.285983,0.038135,62.738757
4,7,0.285983,0.038190,62.700154
5,7,0.285983,0.038190,62.346105
6,7,0.285983,0.038190,62.502884
7,7,0.285983,0.040587,62.896718
8,7,0.285983,0.038390,62.642708
9,7,0.285983,0.038390,62.608933
10,7,0.285983,0.039471,62.560120
1,8,0.285983,0.040887,58.186136
2,8,0.285983,0.040852,58.230390
3,8,0.285983,0.041673,58.135730
4,8,0.285983,0.041768,58.252120
5,8,0.285983,0.040040,58.075527
6,8,0.285983,0.039694,58.075527
7,8,0.285983,0.039694,58.324789
