          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.32438;   0.04048;     12.48;        NaN
    ka_pop;   1.82104;   0.91625;     50.31;        NaN
     V_pop; 237.57963;  36.36045;     15.30;        NaN
    Cl_pop;  39.50144;   4.08586;     10.34;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.41927;   0.30854;     21.74;        NaN
   omega_V;   0.41386;   0.13036;     31.50;        NaN
  omega_Cl;   0.32351;   0.07395;     22.86;        NaN
         a;   0.34760;   0.02715;      7.81;        NaN
