id,Tlag_SAEM,ka_SAEM,V_SAEM,alpha_SAEM,beta_SAEM,Tlag_mean,ka_mean,V_mean,alpha_mean,beta_mean,Tlag_sd,ka_sd,V_sd,alpha_sd,beta_sd,Tlag_randomEffects,ka_randomEffects,V_randomEffects,alpha_randomEffects,beta_randomEffects
1,-7.05864385993245946,-0.59990005197169838,5.60289726230603513,0.46341615218336168,-0.50839254155264790,-7.02332673216100201,-0.53243628741416771,5.65005944565465779,0.36898514804084126,-0.47688515552164301,3.40813462589508287,0.58825738197938204,0.34581993201645594,0.00000000000000000,0.00000000000000000,0.07759050713315883,-0.20464281836802911,0.38347728255826941,0.00000000000000000,0.00000000000000000
2,-7.20517620651347013,-0.26355536649480749,5.60630817638978929,0.46341615218336168,-0.50839254155264790,-7.41378709369152311,-0.26537195028452498,5.61465895387703462,0.36898514804084126,-0.47688515552164301,3.20820574262451563,0.58980036276233894,0.29244349128929320,0.00000000000000000,0.00000000000000000,-0.31286985439736809,0.06242151876161382,0.34807679078064496,0.00000000000000000,0.00000000000000000
3,-7.12343333061773443,-0.75456662032338173,5.72765273108857897,0.46341615218336168,-0.50839254155264790,-7.43435796599783760,-0.76662378551179100,5.71364353816378490,0.36898514804084126,-0.47688515552164301,3.32065119006132070,0.69269464633557665,0.38138897354859774,0.00000000000000000,0.00000000000000000,-0.33344072670367786,-0.43883031646565246,0.44706137506739613,0.00000000000000000,0.00000000000000000
4,-7.76968499429571224,1.28281176937423624,4.90840484412896405,0.46341615218336168,-0.50839254155264790,-7.96297194723937807,1.26200828494635431,4.91261012476168535,0.36898514804084126,-0.47688515552164301,2.90318983325181534,0.47594767802610760,0.12539285606388009,0.00000000000000000,0.00000000000000000,-0.86205470794522576,1.58980175399249357,-0.35397203833470264,0.00000000000000000,0.00000000000000000
5,-7.61692709017809655,0.28385148399323001,5.46864953379108343,0.46341615218336168,-0.50839254155264790,-7.54723990595127958,0.29090594198857483,5.47503851512562889,0.36898514804084126,-0.47688515552164301,2.99928111696221267,0.55237052034290357,0.19882642058444655,0.00000000000000000,0.00000000000000000,-0.44632266665711917,0.61869941103471393,0.20845635202924365,0.00000000000000000,0.00000000000000000
6,-7.32434702821225958,-0.06578673924987608,5.44939439416854565,0.46341615218336168,-0.50839254155264790,-7.36580250787488477,-0.11140202821899592,5.44075039122975035,0.36898514804084126,-0.47688515552164301,3.09865255294792297,0.51446488546951974,0.23075032579250362,0.00000000000000000,0.00000000000000000,-0.26488526858072481,0.21639144082714296,0.17416822813336211,0.00000000000000000,0.00000000000000000
7,-7.93886881743678252,0.38597710367836890,5.54986327761984821,0.46341615218336168,-0.50839254155264790,-7.64969550108372776,0.32812664536166108,5.53374867935231762,0.36898514804084126,-0.47688515552164301,3.08793915514364059,0.62485254525177103,0.21461248760219281,0.00000000000000000,0.00000000000000000,-0.54877826178957101,0.65592011440780018,0.26716651625593180,0.00000000000000000,0.00000000000000000
8,-7.20948691603778880,-1.07362884654350710,4.72180942729013786,0.46341615218336168,-0.50839254155264790,-7.28087940938332601,-1.04633801016093719,4.75118386886550237,0.36898514804084126,-0.47688515552164301,3.17052489767947154,0.32410395277207960,0.21710062870891889,0.00000000000000000,0.00000000000000000,-0.17996217008916696,-0.71854454111479715,-0.51539829423088468,0.00000000000000000,0.00000000000000000
9,-8.05919869231415653,-0.86937564179370863,3.71968512557308228,0.46341615218336168,-0.50839254155264790,-7.87849600716669496,-0.83122917806136809,3.75805861403890074,0.36898514804084126,-0.47688515552164301,2.98534826503635298,0.14532446372021768,0.09263726985247894,0.00000000000000000,0.00000000000000000,-0.77757876787253788,-0.50343570901522916,-1.50852354905748465,0.00000000000000000,0.00000000000000000
10,-7.26427056649851988,-0.40170966243366901,5.80476966256291593,0.46341615218336168,-0.50839254155264790,-7.46416382933087164,-0.38576701236641930,5.79749540759564752,0.36898514804084126,-0.47688515552164301,3.28963106096540603,0.53243763783971698,0.25328805410506444,0.00000000000000000,0.00000000000000000,-0.36324659003671578,-0.05797354332028035,0.53091324449925847,0.00000000000000000,0.00000000000000000
11,-4.28681762543374489,-0.87250169973169045,5.16997931185095005,0.46341615218336168,-0.50839254155264790,-4.84607590274196021,-0.95340123658972764,5.17520622948725872,0.36898514804084126,-0.47688515552164301,4.43268568681413910,0.58344728139600166,0.24956136521310002,0.00000000000000000,0.00000000000000000,2.25484133655219887,-0.62560776754358882,-0.09137593360912891,0.00000000000000000,0.00000000000000000
12,-6.86499429378881842,-0.81123209264927043,5.49899190432164886,0.46341615218336168,-0.50839254155264790,-7.03116150554462749,-0.81199588080456087,5.47466645658111695,0.36898514804084126,-0.47688515552164301,3.67150977521873401,0.48118251447616850,0.26577371604758132,0.00000000000000000,0.00000000000000000,0.06975573374952948,-0.48420241175842194,0.20808429348473148,0.00000000000000000,0.00000000000000000
