iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_alpha,estimate_omega_beta,estimate_omega_ka
214,109.021,2,0.00187214,183.972,0.238967,12.1403,0.19916,0.645544,1.34428,0.604635,0.339478,0.106874,0.898531
215,110.613,2,0.00185973,184.412,0.239103,12.1297,0.199221,0.645882,1.34731,0.605755,0.339007,0.106707,0.89797
216,110.571,2,0.00185416,184.878,0.239115,12.1321,0.19917,0.647731,1.35129,0.606176,0.33937,0.106649,0.898099
217,107.519,2,0.00184772,185.042,0.239087,12.1277,0.199136,0.64927,1.35149,0.605906,0.339899,0.106734,0.899104
218,101.915,2,0.00184517,184.786,0.239121,12.127,0.199188,0.648038,1.3504,0.605571,0.339722,0.10668,0.898854
219,105.543,2,0.00185627,184.524,0.23915,12.1331,0.1992,0.647083,1.35016,0.605796,0.340494,0.106468,0.898566
220,108.49,2,0.00186651,184.461,0.239172,12.1386,0.199156,0.646628,1.35082,0.605555,0.341492,0.106407,0.898471
221,104.247,2,0.00186168,184.537,0.239265,12.1441,0.19917,0.645428,1.34915,0.605208,0.341507,0.106502,0.896177
222,103.233,2,0.00185498,184.73,0.239249,12.1505,0.199179,0.645587,1.34734,0.605477,0.342239,0.106528,0.8948
223,102.016,2,0.00184645,184.739,0.239154,12.156,0.199249,0.64601,1.34704,0.605696,0.342456,0.106589,0.895266
224,98.1129,2,0.00184695,184.779,0.239202,12.1605,0.199273,0.645681,1.34674,0.604913,0.34219,0.106412,0.89404
225,96.6494,2,0.00184495,184.554,0.239124,12.1708,0.199316,0.644748,1.34427,0.604705,0.342417,0.106484,0.893705
226,92.7089,2,0.0018406,184.369,0.239098,12.1782,0.199369,0.644255,1.34272,0.603797,0.342291,0.106276,0.893003
227,103.302,2,0.00184525,184.463,0.239102,12.1785,0.199377,0.644421,1.34408,0.603634,0.342367,0.10623,0.892159
228,98.0372,2,0.00184119,184.671,0.239067,12.1793,0.199383,0.645262,1.34198,0.603751,0.342609,0.10603,0.892462
229,100.731,2,0.00184429,184.606,0.238982,12.179,0.199371,0.645518,1.34283,0.603512,0.34249,0.106095,0.89307
230,100.021,2,0.00185136,184.495,0.238974,12.1837,0.19942,0.645374,1.34252,0.602983,0.34214,0.106047,0.893958
231,98.8597,2,0.00185235,184.527,0.238961,12.1913,0.199396,0.644618,1.34179,0.602878,0.342035,0.105992,0.89327
232,104.088,2,0.00185917,184.208,0.238986,12.2037,0.199377,0.643652,1.33988,0.603031,0.342725,0.105921,0.892722
233,106.041,2,0.00186219,183.986,0.238983,12.2147,0.19937,0.64228,1.34316,0.602474,0.342823,0.105982,0.891758
234,103.328,2,0.00186838,184.153,0.238965,12.2158,0.199364,0.643523,1.34335,0.602029,0.342767,0.105968,0.893023
235,99.3465,2,0.00186298,184.348,0.238954,12.2057,0.199367,0.644378,1.34508,0.601962,0.3422,0.105897,0.892804
236,101.839,2,0.00185722,184.422,0.238979,12.2072,0.199344,0.645063,1.34538,0.601732,0.342201,0.105799,0.892522
237,108.108,2,0.00185247,184.361,0.239001,12.2121,0.199402,0.64498,1.34529,0.601953,0.34197,0.106016,0.892537
238,94.5533,2,0.00185372,184.395,0.238988,12.2185,0.199383,0.645168,1.34397,0.601426,0.341836,0.105946,0.891325
239,101.493,2,0.00185502,184.382,0.238988,12.2284,0.199385,0.645051,1.34288,0.601482,0.341806,0.106045,0.890185
240,106.56,2,0.001858,184.453,0.238999,12.241,0.199318,0.645497,1.34298,0.601156,0.342306,0.106142,0.889733
241,105.534,2,0.00186012,184.551,0.239017,12.2418,0.199326,0.646255,1.34541,0.602023,0.342236,0.105951,0.888974
242,98.3112,2,0.00185738,184.46,0.239062,12.2518,0.199305,0.646277,1.34632,0.601795,0.34226,0.105745,0.887343
243,103.793,2,0.00185542,184.322,0.239133,12.2561,0.19934,0.646422,1.34661,0.601638,0.342018,0.105666,0.886598
244,110.001,2,0.00184829,184.401,0.239236,12.2621,0.199352,0.646029,1.34779,0.601432,0.342235,0.105634,0.885524
245,103.935,2,0.00184367,184.499,0.239193,12.2633,0.199378,0.646699,1.34896,0.60162,0.342108,0.105807,0.885035
246,91.5128,2,0.00184497,184.761,0.239148,12.2589,0.199399,0.647762,1.34658,0.601817,0.341939,0.105636,0.884643
247,111.559,2,0.00184487,184.708,0.239203,12.256,0.199425,0.64838,1.34993,0.601187,0.341644,0.105792,0.884444
248,104.545,2,0.00183872,184.762,0.23922,12.263,0.199464,0.648465,1.3508,0.601161,0.341629,0.105854,0.883297
249,99.6317,2,0.00184397,184.802,0.239203,12.2697,0.199441,0.648316,1.35009,0.600501,0.341672,0.10592,0.883302
250,107.684,2,0.00184112,184.882,0.239253,12.2681,0.19949,0.648552,1.34977,0.59978,0.342042,0.106038,0.882638
251,101.14,2,0.00184741,185.058,0.23927,12.2591,0.199528,0.648953,1.35003,0.59991,0.341769,0.106029,0.882045
