iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_alpha,estimate_omega_beta,estimate_omega_ka
30,226.384,1,0.100806,347.619,0.475327,3.66489,0.282173,1.47003,0.791336,0.72114,0.876506,0.560835,0.725889
31,230.837,1,0.111068,330.814,0.463291,3.81675,0.279646,1.33072,0.869842,0.747025,0.867644,0.546635,0.707509
32,224.16,1,0.0823732,335.697,0.45156,3.71797,0.272671,1.37937,0.847817,0.750739,0.845675,0.532794,0.689594
33,212.411,1,0.0773564,297.453,0.440127,3.67828,0.317231,1.30627,0.82635,0.73173,0.824262,0.519303,0.672133
34,201.684,1,0.0823049,313.271,0.428982,3.93294,0.299509,1.39694,0.805426,0.713202,0.803391,0.506154,0.655114
35,197.145,1,0.0827168,322.926,0.41812,4.62446,0.288149,1.46065,0.910085,0.695143,0.783049,0.493338,0.638527
36,193.562,1,0.0802837,310.511,0.407533,4.7259,0.268076,1.47341,0.887041,0.677542,0.763222,0.480846,0.644167
37,194.326,1,0.0730417,302.49,0.397214,5.55513,0.249017,1.2642,0.86458,0.660386,0.743896,0.468671,0.627856
38,192.827,1,0.0864832,285.569,0.387157,6.82008,0.237463,1.16373,0.842689,0.643665,0.725061,0.456804,0.611958
39,189.75,1,0.0855051,272.583,0.377354,7.89347,0.222254,1.17031,0.889216,0.6573,0.706702,0.445237,0.608849
40,178.986,1,0.0942522,267.081,0.367799,8.559,0.218335,1.26935,0.8667,0.640657,0.688808,0.433964,0.650322
41,176.941,1,0.0755562,249.764,0.358486,9.24108,0.230091,1.15182,0.939462,0.624435,0.674682,0.422975,0.651375
42,159.393,1,0.0723548,255.592,0.349409,8.5642,0.225224,0.947891,0.915674,0.608624,0.657599,0.412265,0.668315
43,155.412,1,0.0857432,241.013,0.340562,8.88766,0.213463,0.988142,0.931963,0.593213,0.640948,0.401827,0.651393
44,156.856,1,0.0735599,241.098,0.331938,10.2397,0.212136,0.990971,0.908366,0.592328,0.624719,0.407285,0.634899
45,156.468,1,0.0693565,245.26,0.323534,10.9678,0.200114,0.964544,0.885365,0.57854,0.608901,0.396972,0.618823
46,149.717,1,0.0708026,243.582,0.315341,11.2578,0.18249,0.924822,0.862947,0.591699,0.593483,0.38692,0.720331
47,147.098,1,0.0690017,233.817,0.307357,12.1032,0.185173,0.959627,0.841097,0.576717,0.578455,0.377123,0.702092
48,150.246,1,0.0619963,219.081,0.299574,11.0811,0.190361,0.858079,0.8198,0.562114,0.563809,0.367574,0.684314
49,147.494,1,0.0721609,230.927,0.291989,11.1455,0.190515,1.00522,0.799042,0.583986,0.549533,0.358267,0.724703
50,142.661,1,0.0822696,235.464,0.284596,11.7538,0.188977,1.03024,0.77881,0.569199,0.535618,0.393363,0.762399
51,139.259,1,0.0898014,238.077,0.27739,12.0277,0.171044,0.933727,0.75909,0.554787,0.528956,0.383403,0.743094
52,129.39,1,0.0936109,234.071,0.270366,12.7336,0.177343,0.978253,0.739869,0.556346,0.515562,0.373695,0.724279
53,126.319,1,0.0781898,246.189,0.26352,11.9449,0.169298,1.02164,0.721136,0.54871,0.502508,0.387731,0.70594
54,128.332,1,0.0636621,254.944,0.257404,12.3766,0.165645,1.05943,0.782903,0.534816,0.489784,0.377913,0.688065
55,128.07,1,0.0621777,241.271,0.251429,12.0415,0.16534,1.02322,0.823817,0.531036,0.477383,0.368344,0.742554
56,131.847,1,0.0617409,232.901,0.253322,12.0069,0.171873,0.942311,0.947125,0.538036,0.465295,0.359018,0.743698
57,134.347,1,0.0705864,234.283,0.259936,11.6758,0.173459,0.984939,0.923144,0.539771,0.453514,0.349927,0.806274
58,123.926,1,0.0610157,248.31,0.254681,11.5069,0.177307,1.06235,0.899769,0.533891,0.44203,0.341067,0.785858
59,120.26,1,0.0724158,228.016,0.248232,12.5768,0.176083,1.04215,0.876986,0.520372,0.430838,0.332431,0.830515
60,121.591,1,0.0683556,218.26,0.248749,12.2751,0.187807,0.877525,0.854781,0.508544,0.419929,0.324014,0.820029
61,115.176,1,0.0759729,207.882,0.246695,13.3793,0.176994,0.830196,0.848207,0.501746,0.409296,0.315809,0.799265
62,120.109,1,0.0879275,223.017,0.252201,12.812,0.181301,0.9013,0.82673,0.515623,0.398932,0.307813,0.779027
63,118.477,1,0.0796136,212.993,0.25069,13.6738,0.178758,0.81941,0.821959,0.502567,0.409591,0.300019,0.759302
64,116.306,1,0.0810768,205.607,0.249489,13.3084,0.178329,0.786602,0.827379,0.489842,0.399219,0.301532,0.740076
65,116.499,1,0.0774004,205.536,0.248709,13.5141,0.178916,0.781513,0.928155,0.485288,0.389111,0.293897,0.721337
66,123.166,1,0.0675716,196.632,0.250316,13.0962,0.18251,0.911518,0.904653,0.523611,0.386296,0.286455,0.809697
67,122.389,1,0.0558011,200.818,0.246717,13.1856,0.180248,0.811184,0.881747,0.557005,0.376515,0.279202,0.949458
68,118.901,1,0.0593749,208.045,0.242236,13.3354,0.189568,0.871915,0.860579,0.542902,0.375353,0.272133,0.984824
69,122.714,1,0.060291,194.7,0.250067,12.2957,0.187529,0.733571,0.838788,0.578675,0.365849,0.320378,0.959888
70,126.166,1,0.0602736,204.166,0.245884,11.8864,0.178586,0.822973,0.81755,0.564023,0.373676,0.336044,0.953191
71,114.767,1,0.0583766,211.87,0.243583,11.9553,0.195661,0.795136,0.796849,0.549742,0.364215,0.327535,0.929056
72,108.333,1,0.0656985,194.587,0.240694,11.9097,0.201823,0.766187,0.776672,0.547063,0.354993,0.319241,0.905531
73,117.674,1,0.0511114,202.647,0.24538,12.3924,0.194474,0.819675,0.804438,0.533211,0.346004,0.311158,1.05286
74,112.538,1,0.043183,205.316,0.243358,12.6518,0.194471,0.781857,0.784069,0.556867,0.337243,0.303279,1.02621
