rep,id,ka,V,k
1,10,1.080549,7.440664,0.199820
2,10,0.579947,5.369912,0.279670
3,10,0.839028,5.934390,0.262085
4,10,0.531047,4.658707,0.294895
5,10,0.690031,4.298424,0.280608
6,10,0.525419,4.840644,0.266513
7,10,0.593289,5.572729,0.252367
1,11,2.036022,8.490112,0.292277
2,11,1.494105,6.271574,0.361445
3,11,2.019505,8.521220,0.306651
4,11,2.042280,9.377849,0.293290
5,11,2.825959,7.673805,0.270445
6,11,2.656337,7.683497,0.323746
7,11,4.192037,9.084032,0.328521
1,12,0.722719,5.073135,0.254877
2,12,0.566745,4.929573,0.253771
3,12,0.638510,4.768366,0.247636
4,12,0.822691,5.167615,0.244241
5,12,0.659452,5.362291,0.247783
6,12,0.710610,4.719374,0.269742
7,12,0.622644,4.789003,0.261102
1,13,0.813239,4.763102,0.221132
2,13,0.813632,5.288383,0.265855
3,13,0.957754,5.276326,0.229004
4,13,0.721167,5.643199,0.228183
5,13,0.898032,5.067567,0.244431
6,13,0.691824,4.255548,0.289312
7,13,0.903355,6.073825,0.225378
1,14,0.867802,5.703990,0.267529
2,14,1.372926,7.252415,0.208893
3,14,1.332368,6.309882,0.248479
4,14,0.877353,7.228539,0.232790
5,14,1.451888,6.644840,0.240035
6,14,1.184506,6.960363,0.256000
7,14,0.914364,6.677946,0.253817
1,15,0.578429,5.026390,0.258665
2,15,1.316184,7.894302,0.186690
3,15,0.831071,5.637424,0.252175
4,15,0.801517,6.318354,0.249109
5,15,0.935821,5.287525,0.240479
6,15,0.912638,6.999121,0.211754
7,15,1.211152,5.840786,0.231650
1,16,0.528451,6.678225,0.295958
2,16,0.532770,8.248431,0.245345
3,16,0.424732,6.627103,0.281929
4,16,0.416280,6.674649,0.285472
5,16,0.637015,7.914916,0.244600
6,16,0.481979,6.988692,0.301209
7,16,0.410034,6.927201,0.273745
1,17,1.455720,8.147874,0.261004
2,17,1.521160,11.999165,0.240375
3,17,1.929039,9.108326,0.277684
4,17,0.976996,9.132880,0.285929
5,17,1.459609,8.706968,0.257890
6,17,1.862165,10.078104,0.233405
7,17,1.626698,9.816053,0.265106
1,18,0.341358,6.633282,0.216809
2,18,0.395787,5.950739,0.220622
3,18,0.434133,6.528637,0.241580
4,18,0.309534,5.996353,0.238398
5,18,0.328645,5.840351,0.208021
6,18,0.507283,6.403538,0.185525
7,18,0.457110,7.451277,0.194204
1,19,2.010807,6.865395,0.291832
2,19,1.540372,7.159140,0.242305
3,19,1.548109,7.556989,0.252398
4,19,1.424821,7.336861,0.256448
5,19,1.439673,6.786213,0.258510
6,19,1.293475,7.908256,0.210286
7,19,1.185055,7.523818,0.265235
1,20,1.149541,7.516765,0.259399
2,20,1.051969,5.594706,0.251427
3,20,1.628388,6.190714,0.250941
4,20,0.900340,6.896679,0.230757
5,20,0.869475,5.265260,0.344536
6,20,0.771249,5.421390,0.319236
7,20,1.272204,6.498077,0.232422
1,21,1.683898,8.724916,0.286661
2,21,1.307457,7.060867,0.277251
3,21,2.506879,7.562070,0.218179
4,21,1.587639,7.860010,0.262262
5,21,1.158417,6.357353,0.294931
6,21,1.768563,8.158539,0.257894
7,21,1.548339,8.288259,0.242036
1,22,0.576078,7.352668,0.223946
2,22,0.705838,7.383244,0.231516
3,22,0.826868,8.522944,0.214262
4,22,0.548935,7.670456,0.211254
5,22,0.816105,7.602719,0.240767
6,22,1.138178,9.490467,0.195671
7,22,0.604507,6.985685,0.241343
1,23,0.527171,8.885411,0.291310
2,23,0.804112,11.993569,0.266555
3,23,0.462742,7.999937,0.273531
4,23,0.907756,9.846382,0.278313
5,23,1.303608,10.877073,0.266112
6,23,0.827582,11.798077,0.268402
7,23,0.917102,11.687021,0.288085
1,24,0.446345,4.789298,0.285738
2,24,0.449385,4.200306,0.298167
3,24,0.786497,6.529962,0.227313
4,24,0.715594,6.540403,0.221891
5,24,0.573004,5.519818,0.233337
6,24,0.584309,5.170899,0.246271
7,24,0.740165,5.268226,0.226182
1,25,0.471807,9.904790,0.158794
2,25,0.382005,7.256041,0.213312
3,25,0.466163,8.661067,0.160824
4,25,0.599537,9.060541,0.170197
5,25,0.409648,7.722369,0.202454
6,25,0.292423,6.405668,0.238432
7,25,0.338973,6.092631,0.260391
1,26,0.511544,8.477215,0.240341
2,26,0.478695,6.663925,0.291523
3,26,0.543668,7.106987,0.289998
4,26,0.413352,6.321232,0.305793
5,26,0.475339,7.759661,0.235205
6,26,0.443029,7.480386,0.261101
7,26,0.528988,8.087893,0.249436
1,27,0.591679,6.677687,0.287043
2,27,0.702665,8.268775,0.257916
3,27,0.779011,9.168825,0.222762
4,27,0.464407,6.946085,0.271240
5,27,0.744162,7.450251,0.247203
6,27,0.618963,7.764301,0.242748
7,27,0.462476,6.773289,0.232198
1,28,0.934416,12.774137,0.239414
2,28,0.848322,11.447184,0.271747
3,28,0.835133,12.729788,0.226726
4,28,0.772160,14.869531,0.204738
5,28,1.200598,11.893556,0.247190
6,28,0.581574,11.448743,0.233832
7,28,0.581566,9.796178,0.326388
1,29,0.267093,8.948220,0.238459
2,29,0.276559,9.815970,0.194049
3,29,0.278791,7.919129,0.251774
4,29,0.234172,8.127895,0.218036
5,29,0.234566,6.574561,0.285153
6,29,0.228262,9.277768,0.210206
7,29,0.179264,8.394900,0.243491
1,30,1.647231,5.066455,0.263852
2,30,1.137623,4.390839,0.307941
3,30,1.206911,4.643698,0.296719
4,30,2.351512,5.363694,0.245021
5,30,2.326304,5.326377,0.255536
6,30,1.784460,4.997666,0.258484
7,30,1.789292,4.990562,0.288063
1,31,0.872779,5.087951,0.239654
2,31,0.688727,4.064969,0.257872
3,31,1.113372,5.182389,0.246842
4,31,1.018699,4.441527,0.241103
5,31,0.833730,4.677130,0.247907
6,31,0.913489,4.587366,0.258871
7,31,0.784237,3.666803,0.292668
1,32,0.608177,7.732574,0.216786
2,32,0.976637,9.529154,0.185746
3,32,0.618617,6.804393,0.240523
4,32,0.740474,8.490356,0.195916
5,32,0.555035,7.565546,0.227153
6,32,0.580853,8.407603,0.201010
7,32,0.579642,7.880414,0.214905
1,33,2.885656,7.453321,0.320981
2,33,3.911484,9.272430,0.269191
3,33,4.518120,8.760076,0.287526
4,33,6.175996,9.282208,0.277239
5,33,2.549343,7.836873,0.303762
6,33,5.049516,8.237389,0.280671
7,33,3.209983,7.940978,0.320648
1,34,0.636300,7.241784,0.240619
2,34,1.472464,10.186610,0.199864
3,34,0.640219,6.901853,0.273769
4,34,0.756306,7.607572,0.244120
5,34,0.609311,6.482231,0.309075
6,34,0.980189,8.569913,0.235221
7,34,0.747982,8.553237,0.240364
1,35,1.541453,7.698650,0.215833
2,35,1.779284,7.718433,0.230289
3,35,1.142477,5.996223,0.243540
4,35,1.222561,6.227439,0.243549
5,35,1.580281,7.800057,0.229465
6,35,1.802261,8.492086,0.216268
7,35,1.775363,7.626788,0.213355
1,36,0.833609,8.152509,0.260108
2,36,0.503829,7.531802,0.260039
3,36,0.875567,6.369485,0.244384
4,36,0.725151,7.928924,0.247667
5,36,0.938707,8.563012,0.249534
6,36,0.582147,8.227784,0.273056
7,36,0.521119,8.643419,0.253023
1,37,0.847195,9.655982,0.185634
2,37,0.782361,8.237182,0.186789
3,37,0.889318,8.033437,0.219735
4,37,0.862525,8.638873,0.198872
5,37,0.736085,9.301873,0.208413
6,37,0.945247,9.301817,0.186256
7,37,1.053447,8.452697,0.183936
1,38,2.501406,7.949576,0.275231
2,38,2.492893,8.083060,0.243471
3,38,2.183191,6.705330,0.266788
4,38,2.064485,6.729277,0.291604
5,38,2.495686,6.814433,0.294525
6,38,2.092060,7.540347,0.256970
7,38,2.289124,6.860488,0.270556
1,39,0.495526,5.502638,0.244594
2,39,0.714540,6.119871,0.204820
3,39,0.905172,6.752434,0.197129
4,39,0.722356,5.579071,0.218438
5,39,0.479791,5.011144,0.242799
6,39,0.798313,5.785546,0.231692
7,39,0.722968,5.401563,0.193132
1,40,0.322149,7.492954,0.262658
2,40,0.384232,8.767716,0.253994
3,40,0.360817,9.585881,0.219600
4,40,0.330208,8.790258,0.209209
5,40,0.466867,9.080085,0.248903
6,40,0.466867,8.958079,0.235726
7,40,0.410854,9.690844,0.224524
1,41,0.729268,6.196633,0.267105
2,41,0.897055,8.117364,0.223240
3,41,0.854681,8.040209,0.240896
4,41,0.880986,8.074969,0.233904
5,41,1.512942,9.962068,0.205835
6,41,0.867224,7.798489,0.256174
7,41,1.335662,7.780628,0.237726
1,42,0.586950,10.219423,0.184599
2,42,0.568888,9.426894,0.194617
3,42,0.551760,7.307704,0.242788
4,42,0.271008,5.903710,0.267913
5,42,0.284091,6.375299,0.256767
6,42,0.240780,5.829718,0.281587
7,42,0.386984,7.709565,0.225017
1,43,1.053373,8.646810,0.237647
2,43,0.936102,8.413018,0.256759
3,43,0.776108,7.576908,0.257972
4,43,0.624968,6.116686,0.298071
5,43,0.659800,6.840265,0.299251
6,43,0.530457,6.921983,0.304782
7,43,0.827162,8.089265,0.247196
1,44,2.969518,5.510609,0.232347
2,44,2.961510,5.481530,0.232707
3,44,2.959168,5.532860,0.197992
4,44,1.997813,6.033695,0.216358
5,44,3.563797,5.430051,0.225845
6,44,2.042322,5.401321,0.238326
7,44,2.349674,4.795359,0.257279
1,45,0.501789,5.720743,0.207890
2,45,0.707902,6.329876,0.201036
3,45,0.464660,5.275607,0.222462
4,45,0.678716,5.930572,0.192883
5,45,0.509238,5.187146,0.220856
6,45,0.962945,6.081714,0.171851
7,45,0.462705,5.314482,0.219386
1,46,4.533962,7.430225,0.260346
2,46,3.519418,6.958884,0.267795
3,46,8.488706,7.151521,0.267397
4,46,2.597210,6.930443,0.297432
5,46,2.500690,5.507175,0.325466
6,46,3.092251,6.873503,0.289022
7,46,5.818598,6.994845,0.298262
1,47,0.833018,6.469689,0.308470
2,47,0.766972,7.181059,0.285738
3,47,0.946341,6.079297,0.302343
4,47,1.136302,7.565629,0.269591
5,47,1.146683,7.457967,0.278098
6,47,0.955976,8.310547,0.286729
7,47,0.914320,6.554859,0.259804
1,48,1.229964,8.057791,0.263324
2,48,1.122722,7.991120,0.263379
3,48,1.183240,7.280162,0.300430
4,48,1.310743,8.820181,0.224846
5,48,0.931161,6.498855,0.277076
6,48,1.156352,6.920881,0.285216
7,48,1.747920,8.249375,0.234012
1,49,0.769125,13.373477,0.268542
2,49,1.007014,11.729799,0.283185
3,49,0.588533,11.524103,0.277617
4,49,0.499611,14.531186,0.242793
5,49,0.889957,15.369971,0.233530
6,49,0.474543,10.360760,0.295918
7,49,0.505268,10.844675,0.285415
1,50,2.397129,8.852981,0.268337
2,50,2.366963,9.890159,0.240048
3,50,3.079472,9.401970,0.274775
4,50,1.557035,7.419437,0.335341
5,50,1.295723,8.930854,0.289906
6,50,1.939518,9.297157,0.288116
7,50,1.514702,8.997393,0.317952
1,51,1.128875,7.395688,0.300848
2,51,1.007832,7.345397,0.295097
3,51,1.229974,7.826233,0.246459
4,51,1.073452,7.984299,0.299987
5,51,0.966710,7.608131,0.291898
6,51,1.276786,8.406640,0.260169
7,51,1.154173,8.358721,0.278670
1,52,1.162478,9.827163,0.233139
2,52,0.805686,6.831308,0.305848
3,52,0.982988,8.929605,0.249365
4,52,1.068801,9.743869,0.252402
5,52,1.945067,9.853322,0.244728
6,52,1.014462,7.767705,0.271396
7,52,1.167959,8.416005,0.236990
1,53,2.050133,5.612723,0.268577
2,53,1.401176,4.539745,0.341075
3,53,1.352583,5.372536,0.270830
4,53,2.338747,5.394137,0.305807
5,53,1.681220,5.614930,0.293714
6,53,1.644490,4.557023,0.309487
7,53,1.711322,5.492753,0.287085
1,54,1.132441,8.673742,0.234082
2,54,1.166195,7.691151,0.246021
3,54,1.295608,9.793081,0.247213
4,54,1.333049,12.055191,0.218926
5,54,0.924570,9.083207,0.233433
6,54,1.054148,8.365155,0.225518
7,54,0.896641,9.201240,0.204538
1,55,1.131908,9.603915,0.261173
2,55,1.500304,8.325905,0.254668
3,55,1.450785,11.021267,0.224419
4,55,0.962495,9.412215,0.223381
5,55,0.990731,9.738605,0.231599
6,55,1.374154,8.778476,0.243263
7,55,1.171414,9.772361,0.258897
1,56,0.410301,6.857245,0.214703
2,56,0.425910,6.793298,0.210743
3,56,0.500094,7.283547,0.206890
4,56,0.653251,7.616459,0.211535
5,56,0.457903,6.598624,0.228365
6,56,0.414749,6.380783,0.214954
7,56,0.328981,4.980111,0.287599
1,57,0.542731,6.936025,0.269776
2,57,0.523123,8.795786,0.235800
3,57,0.563362,9.143132,0.230253
4,57,0.520038,7.524064,0.245763
5,57,0.616831,8.863570,0.226824
6,57,0.696289,9.618798,0.229598
7,57,0.700082,8.413698,0.210846
1,58,1.249803,8.416966,0.253549
2,58,1.257007,9.256734,0.214917
3,58,1.794854,11.585204,0.195777
4,58,1.443654,8.938903,0.232429
5,58,2.259602,8.484708,0.253993
6,58,1.158596,10.684606,0.228075
7,58,1.658975,10.185787,0.213178
1,59,0.695772,7.150700,0.255638
2,59,0.752561,6.213768,0.278637
3,59,0.819580,7.301356,0.277228
4,59,0.878211,6.900512,0.262115
5,59,0.806693,6.494038,0.257388
6,59,0.884231,6.821411,0.285280
7,59,1.140391,7.659005,0.233000
1,60,3.519742,4.573849,0.271591
2,60,2.368319,5.001974,0.269203
3,60,2.296341,4.986211,0.259818
4,60,2.685560,5.073623,0.274433
5,60,2.935994,5.207152,0.266494
6,60,2.512180,4.957385,0.265322
7,60,2.096693,4.550263,0.249423
1,61,1.709234,10.155668,0.272379
2,61,1.719785,8.459895,0.293509
3,61,1.946734,9.782743,0.253812
