rep,id,eta_p0,eta_alpha,eta_tau
1,1,0.000000,-0.224671,0.485980
2,1,0.000000,-0.227908,0.363388
3,1,0.000000,-0.218739,0.305000
4,1,0.000000,-0.190838,0.305000
5,1,0.000000,-0.186866,0.255026
6,1,0.000000,-0.186866,0.255026
7,1,0.000000,-0.338508,0.253905
8,1,0.000000,-0.345698,0.253905
9,1,0.000000,-0.241093,0.540541
10,1,0.000000,-0.252259,0.513003
1,2,0.000000,0.200580,1.934258
2,2,0.000000,0.191135,1.934258
3,2,0.000000,0.186483,2.074185
4,2,0.000000,0.169793,2.074185
5,2,0.000000,0.193455,2.113473
6,2,0.000000,0.258243,2.342662
7,2,0.000000,0.195755,2.342662
8,2,0.000000,0.250546,2.342662
9,2,0.000000,0.250546,2.342662
10,2,0.000000,0.224677,2.342662
1,3,0.000000,-0.565238,2.609053
2,3,0.000000,-0.502390,2.768103
3,3,0.000000,-0.541790,3.066237
4,3,0.000000,-0.541790,2.825665
5,3,0.000000,-0.535881,3.067692
6,3,0.000000,-0.507853,2.764710
7,3,0.000000,-0.524542,2.670615
8,3,0.000000,-0.455492,2.875595
9,3,0.000000,-0.521803,2.748678
10,3,0.000000,-0.485425,2.904658
1,4,0.000000,0.240607,-8.543403
2,4,0.000000,0.240607,-8.543403
3,4,0.000000,0.341787,-8.477904
4,4,0.000000,0.341787,-8.477904
5,4,0.000000,0.278541,-8.939200
6,4,0.000000,0.234593,-8.939200
7,4,0.000000,0.223999,-8.840459
8,4,0.000000,0.195116,-8.947883
9,4,0.000000,0.195116,-9.131634
10,4,0.000000,0.239255,-8.974357
1,5,0.000000,-0.251761,5.036171
2,5,0.000000,-0.234079,5.036171
3,5,0.000000,-0.211142,5.215161
4,5,0.000000,-0.211142,5.122218
5,5,0.000000,-0.194910,5.071733
6,5,0.000000,-0.194910,5.071733
7,5,0.000000,-0.194910,5.071733
8,5,0.000000,-0.272390,4.797566
9,5,0.000000,-0.181549,4.971757
10,5,0.000000,-0.181549,4.971757
1,6,0.000000,0.660183,-11.834127
2,6,0.000000,0.600303,-12.066565
3,6,0.000000,0.600303,-12.006318
4,6,0.000000,0.635732,-12.155501
5,6,0.000000,0.633463,-11.719659
6,6,0.000000,0.633463,-11.719659
7,6,0.000000,0.672153,-11.727975
8,6,0.000000,0.700674,-11.315512
9,6,0.000000,0.678438,-11.874673
10,6,0.000000,0.600085,-12.204990
1,7,0.000000,0.098903,-8.459058
2,7,0.000000,0.085390,-8.459058
3,7,0.000000,0.085390,-8.468565
4,7,0.000000,0.093223,-8.468565
5,7,0.000000,0.093223,-8.468565
6,7,0.000000,0.093223,-8.465625
7,7,0.000000,0.093223,-8.465625
