id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
1,0.310814,0.030818,72.246452,0.310639,0.030795,72.251986,0.000000,0.001172,0.160299
2,0.310616,0.046666,73.937639,0.311108,0.046677,73.942104,0.000000,0.001308,0.132743
3,0.310694,0.022894,74.644087,0.310136,0.022806,74.646084,0.000000,0.000931,0.241212
4,0.310698,0.048486,62.967573,0.310682,0.048449,62.969057,0.000000,0.001439,0.149200
5,0.310621,0.031374,76.896463,0.310643,0.031351,76.886086,0.000000,0.000949,0.174434
6,0.310754,0.074310,60.164116,0.311203,0.074006,60.127681,0.000000,0.003382,0.304786
7,0.310690,0.041798,63.332976,0.311169,0.041833,63.332250,0.000000,0.000965,0.132526
8,0.310672,0.042316,58.828259,0.309737,0.042216,58.813982,0.000000,0.001072,0.187141
9,0.310734,0.046921,64.059111,0.309457,0.046667,64.022506,0.000000,0.001338,0.124544
10,0.310760,0.020311,78.234380,0.310606,0.020350,78.215920,0.000000,0.000800,0.230553
11,0.310639,0.087307,65.049410,0.311524,0.087698,65.043547,0.000000,0.006087,0.201260
12,0.310714,0.038866,75.923821,0.310761,0.038805,75.899348,0.000000,0.001230,0.168126
13,0.310520,0.059209,70.491830,0.310938,0.059589,70.518383,0.000000,0.001217,0.082160
14,0.310807,0.083443,68.051455,0.310561,0.083140,68.050744,0.000000,0.002196,0.133413
15,0.310772,0.052258,81.555344,0.310903,0.052230,81.552503,0.000000,0.002962,0.102971
16,0.310612,0.036048,59.113973,0.310598,0.036201,59.135404,0.000000,0.001062,0.205564
17,0.310608,0.050478,71.804645,0.311410,0.050602,71.837281,0.000000,0.001145,0.119459
18,0.310704,0.038238,58.151969,0.310837,0.038023,58.159766,0.000000,0.000943,0.180821
19,0.310606,0.040531,76.501201,0.310711,0.040523,76.494992,0.000000,0.000956,0.121904
20,0.310641,0.038059,64.784708,0.310383,0.037927,64.768534,0.000000,0.000915,0.182434
21,0.310563,0.041749,66.767420,0.310471,0.041757,66.769491,0.000000,0.001291,0.208516
22,0.310628,0.014982,80.672258,0.310192,0.014984,80.606405,0.000000,0.000987,0.766127
23,0.310644,0.028469,69.433934,0.310687,0.028581,69.466805,0.000000,0.000893,0.226751
24,0.310715,0.011409,81.862780,0.309127,0.011570,81.516005,0.000000,0.000618,0.636703
25,0.310576,0.030294,75.520555,0.310655,0.030242,75.527487,0.000000,0.001777,0.226734
26,0.310554,0.070796,75.233638,0.310658,0.071481,75.215896,0.000000,0.007588,0.342319
27,0.310625,0.028359,69.230511,0.310644,0.028228,69.204500,0.000000,0.000784,0.217786
28,0.310617,0.050193,72.231261,0.310075,0.050039,72.207480,0.000000,0.001151,0.163183
29,0.310788,0.071060,78.470081,0.310014,0.071208,78.471778,0.000000,0.001850,0.071898
30,0.310716,0.025416,68.706048,0.309739,0.025296,68.648401,0.000000,0.000629,0.262709
31,0.310660,0.063159,64.511772,0.310687,0.063284,64.511012,0.000000,0.001852,0.092268
32,0.310732,0.055433,72.663893,0.310611,0.055464,72.651243,0.000000,0.001620,0.154917
33,0.310554,0.029951,73.842725,0.310638,0.029805,73.864150,0.000000,0.001964,0.358368
34,0.310651,0.044142,67.013713,0.310540,0.044135,67.015331,0.000000,0.000848,0.094511
35,0.310596,0.043294,73.810172,0.310573,0.043718,73.784817,0.000000,0.001384,0.107626
36,0.310755,0.036605,68.611067,0.310518,0.036797,68.592847,0.000000,0.000905,0.193620
37,0.310697,0.027157,64.593660,0.310929,0.027116,64.571495,0.000000,0.000938,0.245430
38,0.310709,0.071013,67.358855,0.310652,0.070706,67.298452,0.000000,0.002419,0.306418
39,0.310659,0.035588,73.047645,0.310655,0.035634,73.022852,0.000000,0.000866,0.212333
40,0.310622,0.070229,65.194440,0.310662,0.070180,65.211776,0.000000,0.001584,0.065165
41,0.310524,0.027359,70.434016,0.310598,0.027507,70.438016,0.000000,0.001007,0.156916
42,0.310738,0.096300,69.581678,0.311234,0.095683,69.575995,0.000000,0.001901,0.068918
43,0.310556,0.060308,71.804573,0.310510,0.060488,71.804829,0.000000,0.001814,0.114703
44,0.310672,0.043227,60.559762,0.311023,0.042853,60.516247,0.000000,0.001322,0.212325
45,0.310576,0.062243,71.399481,0.310664,0.062808,71.439719,0.000000,0.002069,0.122892
46,0.310636,0.045159,67.894664,0.310397,0.045086,67.874755,0.000000,0.000852,0.131589
47,0.310641,0.059098,71.407439,0.311684,0.059138,71.422554,0.000000,0.001057,0.070383
48,0.310734,0.027356,75.808155,0.310531,0.027329,75.799066,0.000000,0.000639,0.165416
49,0.310536,0.056250,75.329253,0.310983,0.057209,75.325580,0.000000,0.004989,0.140446
50,0.310560,0.068327,71.685485,0.310470,0.068225,71.681090,0.000000,0.001329,0.121706
51,0.310565,0.042304,68.905537,0.310707,0.042039,68.875580,0.000000,0.001015,0.135164
52,0.310687,0.058254,66.899241,0.310807,0.057943,66.879329,0.000000,0.001098,0.091894
53,0.310473,0.057053,66.945230,0.310654,0.058587,67.096192,0.000000,0.005011,0.534458
54,0.310744,0.036303,74.336447,0.310324,0.036285,74.311450,0.000000,0.000957,0.174401
