Tlag%V_abscissa,Tlag%V_spline,Tlag%V_regression,Tlag%alpha_abscissa,Tlag%alpha_spline,Tlag%alpha_regression,Tlag%beta_abscissa,Tlag%beta_spline,Tlag%beta_regression,Tlag%ka_abscissa,Tlag%ka_spline,Tlag%ka_regression,V%Tlag_abscissa,V%Tlag_spline,V%Tlag_regression,V%alpha_abscissa,V%alpha_spline,V%alpha_regression,V%beta_abscissa,V%beta_spline,V%beta_regression,V%ka_abscissa,V%ka_spline,V%ka_regression,alpha%Tlag_abscissa,alpha%Tlag_spline,alpha%Tlag_regression,alpha%V_abscissa,alpha%V_spline,alpha%V_regression,alpha%beta_abscissa,alpha%beta_spline,alpha%beta_regression,alpha%ka_abscissa,alpha%ka_spline,alpha%ka_regression,beta%Tlag_abscissa,beta%Tlag_spline,beta%Tlag_regression,beta%V_abscissa,beta%V_spline,beta%V_regression,beta%alpha_abscissa,beta%alpha_spline,beta%alpha_regression,beta%ka_abscissa,beta%ka_spline,beta%ka_regression,ka%Tlag_abscissa,ka%Tlag_spline,ka%Tlag_regression,ka%V_abscissa,ka%V_spline,ka%V_regression,ka%alpha_abscissa,ka%alpha_spline,ka%alpha_regression,ka%beta_abscissa,ka%beta_spline,ka%beta_regression
-1.26429,0.546896,0.47939,-0.613817,0.434277,0.374065,-0.193808,0.390513,0.539929,-1.10436,0.559388,0.496639,-1.71352,-0.0911558,0.138406,-0.613817,-0.36728,-0.153502,-0.193808,-0.174435,-0.0464425,-1.10436,-0.284987,-0.114546,-1.71352,-0.0318733,-0.058283,-1.26429,-0.411119,-0.224492,-0.193808,-0.120552,0.0187441,-1.10436,-0.137781,-0.0810818,-1.71352,0.0370121,0.0305293,-1.26429,-0.000139075,-0.00766448,-0.613817,0.0301402,0.0434836,-1.10436,0.0712239,0.0241942,-1.71352,0.320437,0.175005,-1.26429,-0.318335,-0.379776,-0.613817,-0.048019,0.0173217,-0.193808,0.341491,0.131186
-1.23586,0.552666,0.476048,-0.601277,0.431396,0.372828,-0.18911,0.39629,0.535053,-1.06198,0.581154,0.490212,-1.65171,-0.107183,0.136914,-0.601277,-0.341294,-0.147915,-0.18911,-0.171779,-0.0434286,-1.06198,-0.26545,-0.107115,-1.65171,-0.0371138,-0.0586061,-1.23586,-0.396447,-0.221224,-0.18911,-0.12412,0.016798,-1.06198,-0.134236,-0.0806383,-1.65171,0.0402888,0.0301427,-1.23586,0.000101552,-0.00712926,-0.601277,0.0279783,0.0428928,-1.06198,0.0681687,0.0239615,-1.65171,0.295755,0.171453,-1.23586,-0.30945,-0.370577,-0.601277,-0.0585917,0.0182605,-0.18911,0.342266,0.129564
-1.20742,0.558436,0.472706,-0.588738,0.428516,0.371591,-0.184412,0.402067,0.530177,-1.01961,0.600916,0.483785,-1.58991,-0.12321,0.135422,-0.588738,-0.315308,-0.142327,-0.184412,-0.169122,-0.0404147,-1.01961,-0.245507,-0.0996847,-1.58991,-0.0423543,-0.0589291,-1.20742,-0.381774,-0.217955,-0.184412,-0.127687,0.0148519,-1.01961,-0.13024,-0.0801947,-1.58991,0.0435655,0.0297562,-1.20742,0.000342179,-0.00659405,-0.588738,0.0258165,0.042302,-1.01961,0.0648909,0.0237289,-1.58991,0.271074,0.1679,-1.20742,-0.300564,-0.361377,-0.588738,-0.0691644,0.0191993,-0.184412,0.34304,0.127942
-1.17898,0.564206,0.469364,-0.576198,0.425635,0.370354,-0.179714,0.407844,0.525302,-0.977242,0.581568,0.477357,-1.5281,-0.114211,0.13393,-0.576198,-0.289322,-0.136739,-0.179714,-0.166465,-0.0374008,-0.977242,-0.217825,-0.0922542,-1.5281,-0.044676,-0.0592522,-1.17898,-0.367102,-0.214687,-0.179714,-0.131254,0.0129059,-0.977242,-0.117599,-0.0797512,-1.5281,0.0447726,0.0293697,-1.17898,0.000582807,-0.00605884,-0.576198,0.0236547,0.0417112,-0.977242,0.0573276,0.0234962,-1.5281,0.243962,0.164348,-1.17898,-0.291679,-0.352177,-0.576198,-0.0797371,0.0201381,-0.179714,0.343815,0.126319
-1.15054,0.567973,0.466021,-0.563659,0.422755,0.369117,-0.175016,0.413621,0.520426,-0.934871,0.556698,0.47093,-1.46629,-0.0878779,0.132438,-0.563659,-0.263336,-0.131152,-0.175016,-0.163808,-0.0343869,-0.934871,-0.189811,-0.0848237,-1.46629,-0.044976,-0.0595752,-1.15054,-0.352065,-0.211418,-0.175016,-0.134821,0.0109598,-0.934871,-0.104342,-0.0793076,-1.46629,0.0445462,0.0289832,-1.15054,0.000722989,-0.00552363,-0.563659,0.0214928,0.0411204,-0.934871,0.0493839,0.0232635,-1.46629,0.215168,0.160796,-1.15054,-0.283095,-0.342978,-0.563659,-0.0903098,0.0210769,-0.175016,0.34459,0.124697
-1.1221,0.567739,0.462679,-0.55112,0.419874,0.367879,-0.170317,0.419398,0.51555,-0.8925,0.53179,0.464503,-1.40448,-0.0615448,0.130946,-0.55112,-0.23735,-0.125564,-0.170317,-0.161151,-0.031373,-0.8925,-0.1618,-0.0773932,-1.40448,-0.0452759,-0.0598983,-1.1221,-0.336459,-0.20815,-0.170317,-0.138388,0.0090137,-0.8925,-0.0910851,-0.0788641,-1.40448,0.0443197,0.0285967,-1.1221,0.000671497,-0.00498842,-0.55112,0.019331,0.0405296,-0.8925,0.0414392,0.0230309,-1.40448,0.186374,0.157244,-1.1221,-0.275134,-0.333778,-0.55112,-0.100883,0.0220156,-0.170317,0.345364,0.123075
-1.09367,0.566252,0.459337,-0.53858,0.416993,0.366642,-0.165619,0.425175,0.510674,-0.850128,0.502111,0.458075,-1.34267,-0.0349063,0.129454,-0.53858,-0.211363,-0.119976,-0.165619,-0.158494,-0.0283591,-0.850128,-0.134458,-0.0699627,-1.34267,-0.0455607,-0.0602213,-1.09367,-0.320708,-0.204881,-0.165619,-0.141955,0.00706761,-0.850128,-0.0780561,-0.0784206,-1.34267,0.0440509,0.0282102,-1.09367,0.00056188,-0.00445321,-0.53858,0.0171692,0.0399388,-0.850128,0.0334486,0.0227982,-1.34267,0.157707,0.153691,-1.09367,-0.267372,-0.324578,-0.53858,-0.111455,0.0229544,-0.165619,0.346139,0.121453
-1.06523,0.564766,0.455995,-0.526041,0.410809,0.365405,-0.160921,0.430952,0.505798,-0.807757,0.471682,0.451648,-1.28087,-0.00380067,0.127962,-0.526041,-0.185155,-0.114389,-0.160921,-0.155837,-0.0253452,-0.807757,-0.107619,-0.0625322,-1.28087,-0.0456236,-0.0605444,-1.06523,-0.304958,-0.201612,-0.160921,-0.145522,0.00512153,-0.807757,-0.0653779,-0.077977,-1.28087,0.043162,0.0278236,-1.06523,0.000452263,-0.003918,-0.526041,0.0155807,0.0393481,-0.807757,0.025568,0.0225655,-1.28087,0.130916,0.150139,-1.06523,-0.25961,-0.315378,-0.526041,-0.120783,0.0238932,-0.160921,0.346913,0.11983
-1.03679,0.563279,0.452652,-0.513501,0.392546,0.364168,-0.156223,0.433836,0.500922,-0.765385,0.441185,0.445221,-1.21906,0.027305,0.126471,-0.513501,-0.15828,-0.108801,-0.156223,-0.151325,-0.0223312,-0.765385,-0.0824105,-0.0551017,-1.21906,-0.0456865,-0.0608674,-1.03679,-0.289207,-0.198344,-0.156223,-0.14745,0.00317544,-0.765385,-0.0539922,-0.0775335,-1.21906,0.0422732,0.0274371,-1.03679,0.000342647,-0.00338279,-0.513501,0.0161189,0.0387573,-0.765385,0.0181663,0.0223328,-1.21906,0.104125,0.146587,-1.03679,-0.251848,-0.306179,-0.513501,-0.125378,0.024832,-0.156223,0.345196,0.118208
-1.00835,0.560434,0.44931,-0.500962,0.373815,0.362931,-0.151525,0.430473,0.496046,-0.723014,0.412193,0.438793,-1.15725,0.0577644,0.124979,-0.500962,-0.134156,-0.103213,-0.151525,-0.142796,-0.0193173,-0.723014,-0.0590233,-0.0476712,-1.15725,-0.0462801,-0.0611905,-1.00835,-0.273492,-0.195075,-0.151525,-0.145784,0.00122936,-0.723014,-0.0441495,-0.0770899,-1.15725,0.0410563,0.0270506,-1.00835,0.000180602,-0.00284758,-0.500962,0.0173112,0.0381665,-0.723014,0.0113797,0.0221002,-1.15725,0.0809124,0.143035,-1.00835,-0.244324,-0.296979,-0.500962,-0.126292,0.0257708,-0.151525,0.337991,0.116586
