rep,id,p0,alpha,tau
1,1,0.208473,0.024403,68.338938
2,1,0.208473,0.022357,68.149852
3,1,0.208473,0.022098,68.246254
4,1,0.208473,0.022098,68.131980
5,1,0.208473,0.023643,68.217782
6,1,0.208473,0.023643,68.217782
7,1,0.208473,0.024595,68.560032
8,1,0.208473,0.024123,68.507771
9,1,0.208473,0.024353,68.526342
10,1,0.208473,0.024043,68.526342
1,2,0.208473,0.035950,71.264317
2,2,0.208473,0.035950,71.264317
3,2,0.208473,0.035950,71.264317
4,2,0.208473,0.035363,71.273916
5,2,0.208473,0.035363,71.273916
6,2,0.208473,0.035363,71.273916
7,2,0.208473,0.036140,71.595913
8,2,0.208473,0.036819,71.595913
9,2,0.208473,0.036819,71.595913
10,2,0.208473,0.036819,71.595913
1,3,0.208473,0.018254,69.492889
2,3,0.208473,0.018254,69.492889
3,3,0.208473,0.017587,69.828268
4,3,0.208473,0.017211,69.602547
5,3,0.208473,0.016909,69.301430
6,3,0.208473,0.018064,69.849308
7,3,0.208473,0.017451,69.849223
8,3,0.208473,0.017920,69.374934
9,3,0.208473,0.017567,69.704499
10,3,0.208473,0.016574,69.323356
1,4,0.208473,0.037550,60.763843
2,4,0.208473,0.037528,60.542598
3,4,0.208473,0.036823,60.368595
4,4,0.208473,0.036247,60.362349
5,4,0.208473,0.037538,60.490189
6,4,0.208473,0.037021,60.524441
7,4,0.208473,0.039129,60.828511
8,4,0.208473,0.036727,60.485126
9,4,0.208473,0.036727,60.485126
10,4,0.208473,0.036822,60.485126
1,5,0.208473,0.024936,73.358123
2,5,0.208473,0.024042,73.329595
3,5,0.208473,0.024042,73.047337
4,5,0.208473,0.024074,73.151631
5,5,0.208473,0.024074,73.404746
6,5,0.208473,0.024074,73.579072
7,5,0.208473,0.025288,73.579072
8,5,0.208473,0.024808,73.465334
9,5,0.208473,0.024796,73.610853
10,5,0.208473,0.024275,73.441289
1,6,0.208473,0.057466,58.675337
2,6,0.208473,0.057466,58.675337
3,6,0.208473,0.058334,58.849168
4,6,0.208473,0.058334,58.849168
5,6,0.208473,0.058334,58.849168
6,6,0.208473,0.058334,58.849168
7,6,0.208473,0.056067,58.463707
8,6,0.208473,0.055285,58.427684
9,6,0.208473,0.055285,58.427684
10,6,0.208473,0.055285,58.427684
1,7,0.208473,0.031589,60.512642
2,7,0.208473,0.031589,60.512642
3,7,0.208473,0.031909,60.512642
4,7,0.208473,0.031909,60.512642
5,7,0.208473,0.031909,60.733655
6,7,0.208473,0.030995,60.552213
7,7,0.208473,0.030995,60.460254
8,7,0.208473,0.031139,60.460254
9,7,0.208473,0.032083,60.456481
10,7,0.208473,0.032083,60.695839
1,8,0.208473,0.031984,56.003357
2,8,0.208473,0.031984,55.906334
3,8,0.208473,0.031795,56.151300
4,8,0.208473,0.031392,56.151300
5,8,0.208473,0.032182,56.031333
6,8,0.208473,0.032364,56.064215
7,8,0.208473,0.032607,56.086792
8,8,0.208473,0.032607,56.086792
9,8,0.208473,0.034322,56.154356
10,8,0.208473,0.032471,56.082315
1,9,0.208473,0.035830,61.614544
2,9,0.208473,0.035830,61.614544
3,9,0.208473,0.035830,61.614544
4,9,0.208473,0.036989,61.783240
5,9,0.208473,0.036989,61.668554
6,9,0.208473,0.036989,61.668554
7,9,0.208473,0.036989,61.668554
8,9,0.208473,0.037191,61.673142
9,9,0.208473,0.036421,61.673142
10,9,0.208473,0.036080,61.562129
1,10,0.208473,0.015337,72.765057
2,10,0.208473,0.015023,72.669436
3,10,0.208473,0.017258,73.051495
4,10,0.208473,0.015590,72.355856
5,10,0.208473,0.014652,72.713587
6,10,0.208473,0.014636,71.884552
7,10,0.208473,0.014636,72.047125
8,10,0.208473,0.014636,72.124169
9,10,0.208473,0.015088,72.652899
10,10,0.208473,0.016493,73.014001
1,11,0.208473,0.068050,63.666371
2,11,0.208473,0.067479,63.610896
3,11,0.208473,0.068718,63.659190
4,11,0.208473,0.067350,63.659190
5,11,0.208473,0.064383,63.582812
6,11,0.208473,0.068337,63.780241
7,11,0.208473,0.066720,63.780241
8,11,0.208473,0.065157,63.934704
9,11,0.208473,0.071220,63.690471
10,11,0.208473,0.071220,63.690471
1,12,0.208473,0.029832,72.939190
2,12,0.208473,0.030226,72.922239
3,12,0.208473,0.031813,73.177583
4,12,0.208473,0.031813,73.170156
5,12,0.208473,0.031813,73.170156
6,12,0.208473,0.029353,72.831103
7,12,0.208473,0.030137,73.475327
8,12,0.208473,0.030712,73.018944
9,12,0.208473,0.031835,73.321269
10,12,0.208473,0.031437,72.957945
1,13,0.208473,0.046508,68.578974
2,13,0.208473,0.045789,68.484889
3,13,0.208473,0.045789,68.484889
4,13,0.208473,0.045006,68.419815
5,13,0.208473,0.045006,68.583677
6,13,0.208473,0.046100,68.583677
7,13,0.208473,0.046100,68.583677
8,13,0.208473,0.045388,68.610471
9,13,0.208473,0.045388,68.610471
10,13,0.208473,0.045388,68.610471
1,14,0.208473,0.064142,66.573276
2,14,0.208473,0.064757,66.573276
3,14,0.208473,0.063954,66.679607
4,14,0.208473,0.063954,66.807963
5,14,0.208473,0.066743,67.010969
6,14,0.208473,0.066700,66.610378
7,14,0.208473,0.061328,66.703734
8,14,0.208473,0.066230,66.703734
9,14,0.208473,0.064850,66.703734
10,14,0.208473,0.064850,66.680248
1,15,0.208473,0.039789,79.312303
2,15,0.208473,0.041258,79.377446
3,15,0.208473,0.041258,79.377446
4,15,0.208473,0.041116,79.377446
5,15,0.208473,0.040939,79.206765
6,15,0.208473,0.038250,79.206765
7,15,0.208473,0.038250,79.206765
8,15,0.208473,0.039162,79.357676
9,15,0.208473,0.041235,79.357676
10,15,0.208473,0.041790,79.635961
1,16,0.208473,0.027382,55.856175
2,16,0.208473,0.027382,55.856175
3,16,0.208473,0.027768,55.856175
4,16,0.208473,0.027768,56.024830
5,16,0.208473,0.027768,56.024433
6,16,0.208473,0.027768,55.917677
7,16,0.208473,0.027768,55.876869
8,16,0.208473,0.027768,55.876869
9,16,0.208473,0.028649,55.989306
10,16,0.208473,0.028282,56.182282
1,17,0.208473,0.038852,69.590081
2,17,0.208473,0.039004,69.590081
3,17,0.208473,0.038591,69.587003
4,17,0.208473,0.038591,69.587003
5,17,0.208473,0.038591,69.448991
6,17,0.208473,0.038591,69.448991
7,17,0.208473,0.040008,69.465938
8,17,0.208473,0.038086,69.465938
9,17,0.208473,0.039095,69.679246
10,17,0.208473,0.039095,69.679246
1,18,0.208473,0.028905,55.048665
2,18,0.208473,0.028880,54.740115
3,18,0.208473,0.028122,54.692749
4,18,0.208473,0.029272,54.933936
5,18,0.208473,0.030070,55.376383
6,18,0.208473,0.030070,55.111051
7,18,0.208473,0.028773,54.773976
8,18,0.208473,0.029760,55.226798
9,18,0.208473,0.029014,55.226798
10,18,0.208473,0.030087,55.230106
1,19,0.208473,0.031433,73.764721
2,19,0.208473,0.031433,73.855693
3,19,0.208473,0.031433,73.855693
4,19,0.208473,0.031507,73.855693
5,19,0.208473,0.031507,73.855693
6,19,0.208473,0.031507,73.682352
7,19,0.208473,0.031507,73.682352
8,19,0.208473,0.031507,73.682352
9,19,0.208473,0.031209,73.634705
10,19,0.208473,0.030203,73.604117
1,20,0.208473,0.029601,61.891983
2,20,0.208473,0.029601,61.891983
3,20,0.208473,0.029218,61.825287
4,20,0.208473,0.029963,62.049313
5,20,0.208473,0.029963,61.893739
6,20,0.208473,0.029963,61.893739
7,20,0.208473,0.030011,62.048042
8,20,0.208473,0.029424,61.851489
9,20,0.208473,0.029424,61.752281
10,20,0.208473,0.029424,61.840726
1,21,0.208473,0.032313,63.937315
2,21,0.208473,0.032313,64.090717
3,21,0.208473,0.031634,64.208836
4,21,0.208473,0.032340,64.153924
5,21,0.208473,0.032095,63.969384
6,21,0.208473,0.031006,63.789061
7,21,0.208473,0.033138,64.116171
8,21,0.208473,0.032198,64.026812
9,21,0.208473,0.033354,64.258205
10,21,0.208473,0.031888,64.316761
1,22,0.208473,0.011829,73.111760
2,22,0.208473,0.011224,72.448669
3,22,0.208473,0.012412,72.389511
4,22,0.208473,0.011351,72.518843
5,22,0.208473,0.012144,72.916200
6,22,0.208473,0.011093,72.752340
7,22,0.208473,0.011174,72.892521
8,22,0.208473,0.012167,72.467522
9,22,0.208473,0.013402,72.281474
10,22,0.208473,0.012678,73.246364
1,23,0.208473,0.021585,65.360842
2,23,0.208473,0.021655,65.268808
3,23,0.208473,0.023246,65.938661
4,23,0.208473,0.022253,65.372186
5,23,0.208473,0.021212,65.372186
6,23,0.208473,0.021212,65.372186
7,23,0.208473,0.021196,65.282922
8,23,0.208473,0.021790,65.302188
9,23,0.208473,0.022203,65.358880
10,23,0.208473,0.021853,65.479913
1,24,0.208473,0.009239,72.182896
2,24,0.208473,0.009118,71.697242
3,24,0.208473,0.008232,71.463246
4,24,0.208473,0.009007,71.463246
5,24,0.208473,0.009468,71.058122
6,24,0.208473,0.008922,71.451979
7,24,0.208473,0.009048,71.782453
8,24,0.208473,0.008124,71.693302
9,24,0.208473,0.009147,72.252878
10,24,0.208473,0.009196,71.197915
1,25,0.208473,0.021752,71.712239
2,25,0.208473,0.024118,71.832471
3,25,0.208473,0.024070,71.756691
4,25,0.208473,0.024411,72.233693
5,25,0.208473,0.023434,72.392173
6,25,0.208473,0.023911,72.384363
7,25,0.208473,0.025266,72.479926
8,25,0.208473,0.023940,71.509819
9,25,0.208473,0.021137,71.348662
10,25,0.208473,0.022235,71.519239
1,26,0.208473,0.059231,73.416971
2,26,0.208473,0.064148,73.355515
3,26,0.208473,0.064148,73.423668
4,26,0.208473,0.056524,73.423668
5,26,0.208473,0.062313,73.206077
6,26,0.208473,0.062313,73.532054
7,26,0.208473,0.053058,73.691918
8,26,0.208473,0.051833,73.510543
9,26,0.208473,0.055218,73.639235
10,26,0.208473,0.059728,73.245735
1,27,0.208473,0.022274,65.057524
2,27,0.208473,0.022736,65.538856
3,27,0.208473,0.022736,65.538856
4,27,0.208473,0.022736,65.538856
5,27,0.208473,0.021736,65.094541
6,27,0.208473,0.021387,65.071582
7,27,0.208473,0.021539,65.114368
8,27,0.208473,0.021539,64.850214
9,27,0.208473,0.022227,65.323695
10,27,0.208473,0.021191,65.112158
1,28,0.208473,0.038971,69.826935
2,28,0.208473,0.038971,69.826935
3,28,0.208473,0.038118,69.826935
4,28,0.208473,0.037823,69.537072
5,28,0.208473,0.037234,69.497533
6,28,0.208473,0.036295,69.589945
7,28,0.208473,0.036295,69.589945
8,28,0.208473,0.038096,69.589945
9,28,0.208473,0.037225,69.683145
10,28,0.208473,0.039423,70.180328
1,29,0.208473,0.055671,76.926032
2,29,0.208473,0.056813,76.911043
3,29,0.208473,0.056813,77.094772
4,29,0.208473,0.056813,76.904402
5,29,0.208473,0.056813,76.904402
6,29,0.208473,0.056813,76.910441
7,29,0.208473,0.055355,76.910441
8,29,0.208473,0.055355,76.910441
9,29,0.208473,0.056132,76.910441
10,29,0.208473,0.056132,76.910441
1,30,0.208473,0.019737,64.048663
2,30,0.208473,0.018986,64.048663
3,30,0.208473,0.019189,64.049206
4,30,0.208473,0.019508,64.123857
5,30,0.208473,0.019508,64.250334
6,30,0.208473,0.019493,64.345996
7,30,0.208473,0.019493,64.345996
8,30,0.208473,0.019493,64.110941
9,30,0.208473,0.019413,64.189690
10,30,0.208473,0.019413,64.189690
1,31,0.208473,0.048420,62.588872
2,31,0.208473,0.047627,62.588872
3,31,0.208473,0.047898,62.699585
4,31,0.208473,0.047898,62.699585
5,31,0.208473,0.048936,62.590781
6,31,0.208473,0.047814,62.590781
7,31,0.208473,0.047814,62.590781
8,31,0.208473,0.048744,62.458095
9,31,0.208473,0.046543,62.544248
10,31,0.208473,0.046543,62.544248
1,32,0.208473,0.043167,70.711499
2,32,0.208473,0.041384,70.711499
3,32,0.208473,0.043313,70.481958
4,32,0.208473,0.043313,70.481958
5,32,0.208473,0.044032,70.399202
6,32,0.208473,0.042574,70.481864
7,32,0.208473,0.042574,70.481864
8,32,0.208473,0.042215,70.508185
9,32,0.208473,0.042215,70.508185
10,32,0.208473,0.042498,70.778162
1,33,0.208473,0.021431,69.464983
2,33,0.208473,0.021358,70.227578
3,33,0.208473,0.023197,70.079456
4,33,0.208473,0.023024,70.079456
5,33,0.208473,0.022500,70.224824
6,33,0.208473,0.022839,69.659781
7,33,0.208473,0.025679,69.745032
8,33,0.208473,0.022949,69.944519
9,33,0.208473,0.021943,70.263632
10,33,0.208473,0.021323,70.040305
1,34,0.208473,0.034334,64.398483
2,34,0.208473,0.034334,64.398483
3,34,0.208473,0.034714,64.566353
4,34,0.208473,0.034270,64.360430
5,34,0.208473,0.034395,64.360430
6,34,0.208473,0.034181,64.360430
7,34,0.208473,0.034609,64.597112
8,34,0.208473,0.033722,64.408600
9,34,0.208473,0.033722,64.408600
10,34,0.208473,0.033722,64.408600
1,35,0.208473,0.032709,71.244650
2,35,0.208473,0.032700,71.384033
3,35,0.208473,0.034016,71.120462
4,35,0.208473,0.032431,71.114756
5,35,0.208473,0.034355,71.114756
6,35,0.208473,0.032563,71.072348
7,35,0.208473,0.031113,70.996924
8,35,0.208473,0.032302,71.163801
9,35,0.208473,0.034526,71.163801
10,35,0.208473,0.034526,71.163801
1,36,0.208473,0.028406,65.544050
2,36,0.208473,0.028406,65.544050
3,36,0.208473,0.028770,65.544050
4,36,0.208473,0.027045,65.596651
5,36,0.208473,0.028232,65.084317
6,36,0.208473,0.028232,65.498230
7,36,0.208473,0.027791,64.989211
8,36,0.208473,0.027130,65.296217
9,36,0.208473,0.027130,65.296217
10,36,0.208473,0.028278,64.904477
1,37,0.208473,0.021159,60.490597
2,37,0.208473,0.021159,60.490597
3,37,0.208473,0.020914,60.260367
4,37,0.208473,0.021066,60.260367
5,37,0.208473,0.021066,60.260367
6,37,0.208473,0.020699,60.404780
7,37,0.208473,0.020699,60.193538
8,37,0.208473,0.020699,60.193538
9,37,0.208473,0.020699,60.193538
10,37,0.208473,0.020699,60.193538
1,38,0.208473,0.055616,66.340200
2,38,0.208473,0.057654,66.244281
3,38,0.208473,0.057519,66.244281
4,38,0.208473,0.054707,65.915987
5,38,0.208473,0.055073,65.539310
6,38,0.208473,0.057451,66.242881
7,38,0.208473,0.057649,65.962338
8,38,0.208473,0.054919,66.117943
9,38,0.208473,0.055783,66.171311
10,38,0.208473,0.054133,65.784555
1,39,0.208473,0.026538,69.675688
2,39,0.208473,0.028239,69.792003
3,39,0.208473,0.027881,69.630887
4,39,0.208473,0.027017,69.721167
5,39,0.208473,0.026994,69.811731
6,39,0.208473,0.027135,69.811731
7,39,0.208473,0.026503,69.459673
8,39,0.208473,0.026608,69.475252
9,39,0.208473,0.027122,69.477613
10,39,0.208473,0.026914,69.627281
1,40,0.208473,0.054620,63.660638
2,40,0.208473,0.054620,63.606410
3,40,0.208473,0.055018,63.606410
4,40,0.208473,0.053997,63.515447
5,40,0.208473,0.053900,63.515447
6,40,0.208473,0.053900,63.483835
7,40,0.208473,0.054311,63.515593
8,40,0.208473,0.054311,63.515593
9,40,0.208473,0.052913,63.515593
10,40,0.208473,0.052648,63.515593
1,41,0.208473,0.021975,66.324350
2,41,0.208473,0.020907,66.321958
3,41,0.208473,0.021379,66.330883
4,41,0.208473,0.021386,66.871532
5,41,0.208473,0.021386,66.542989
6,41,0.208473,0.021884,66.319198
7,41,0.208473,0.021884,66.496777
8,41,0.208473,0.021217,66.485849
9,41,0.208473,0.021268,66.274380
10,41,0.208473,0.021887,66.274380
1,42,0.208473,0.075676,68.459170
2,42,0.208473,0.075676,68.459170
3,42,0.208473,0.075676,68.459170
4,42,0.208473,0.075676,68.459170
5,42,0.208473,0.077191,68.459170
6,42,0.208473,0.077937,68.520667
7,42,0.208473,0.077937,68.520667
8,42,0.208473,0.077937,68.520667
9,42,0.208473,0.074014,68.333681
10,42,0.208473,0.072891,68.333681
1,43,0.208473,0.045346,69.683421
2,43,0.208473,0.044843,69.683421
3,43,0.208473,0.044843,69.683421
4,43,0.208473,0.045915,69.877613
5,43,0.208473,0.045915,69.877613
6,43,0.208473,0.045915,69.877613
7,43,0.208473,0.046858,69.975870
8,43,0.208473,0.044434,69.552032
9,43,0.208473,0.044434,69.552032
10,43,0.208473,0.043297,69.543311
1,44,0.208473,0.032446,57.671507
2,44,0.208473,0.032446,57.671507
3,44,0.208473,0.032446,57.753651
4,44,0.208473,0.032950,57.753651
5,44,0.208473,0.032950,57.753651
6,44,0.208473,0.033072,57.766398
7,44,0.208473,0.033072,57.810184
8,44,0.208473,0.033072,57.810184
9,44,0.208473,0.033047,57.646111
10,44,0.208473,0.033047,57.655285
1,45,0.208473,0.048710,69.448854
2,45,0.208473,0.048710,69.448854
3,45,0.208473,0.046334,69.448854
4,45,0.208473,0.045501,69.256531
5,45,0.208473,0.045501,69.256531
6,45,0.208473,0.045501,69.379191
7,45,0.208473,0.046773,69.379191
8,45,0.208473,0.046773,69.389629
9,45,0.208473,0.050128,69.701212
