id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
85,0.208599,0.010652,65.154479,0.208473,0.010756,65.208746,0.000000,0.001183,0.750730
86,0.208599,0.039551,72.965276,0.208473,0.039462,72.949801,0.000000,0.000903,0.167746
87,0.208599,0.054922,61.967538,0.208473,0.055044,61.967494,0.000000,0.001886,0.122948
88,0.208599,0.028132,67.718878,0.208473,0.027969,67.635484,0.000000,0.000880,0.337681
89,0.208599,0.028168,55.730187,0.208473,0.028086,55.711066,0.000000,0.000545,0.187472
90,0.208599,0.042576,76.608543,0.208473,0.042666,76.600361,0.000000,0.002040,0.131491
91,0.208599,0.028839,76.308087,0.208473,0.026799,76.886335,0.000000,0.004184,1.276610
92,0.208599,0.018512,59.136537,0.208473,0.018591,59.161910,0.000000,0.000464,0.255555
93,0.208599,0.026331,58.887924,0.208473,0.025997,58.733189,0.000000,0.000769,0.363462
94,0.208599,0.030940,77.214457,0.208473,0.031047,77.211165,0.000000,0.001560,0.306136
95,0.208599,0.026753,61.932652,0.208473,0.026622,61.885114,0.000000,0.000671,0.241153
96,0.208599,0.036230,64.971236,0.208473,0.036781,65.135899,0.000000,0.001274,0.369846
97,0.208599,0.030325,69.639436,0.208473,0.030224,69.622317,0.000000,0.000976,0.235100
98,0.208599,0.044994,61.338829,0.208473,0.044651,61.282422,0.000000,0.001256,0.197422
99,0.208599,0.027101,74.700503,0.208473,0.027108,74.713316,0.000000,0.001615,0.254462
100,0.208599,0.042920,66.422724,0.208473,0.042398,66.361871,0.000000,0.001125,0.149729
101,0.208599,0.055377,65.916157,0.208473,0.055260,65.920772,0.000000,0.001806,0.113389
102,0.208599,0.029762,73.672037,0.208473,0.028301,74.049042,0.000000,0.003587,1.025470
103,0.208599,0.032561,79.451831,0.208473,0.033113,79.350231,0.000000,0.004414,0.542235
104,0.208599,0.046438,64.652985,0.208473,0.046513,64.662087,0.000000,0.000796,0.103134
105,0.208599,0.031830,79.182457,0.208473,0.030780,79.233657,0.000000,0.002978,0.299770
106,0.208599,0.097596,72.401924,0.208473,0.098077,72.404452,0.000000,0.004433,0.076630
107,0.208599,0.014751,53.649336,0.208473,0.014737,53.632720,0.000000,0.001032,1.182289
108,0.208599,0.060470,67.055138,0.208473,0.059695,67.035042,0.000000,0.004768,0.150933
109,0.208599,0.044307,65.404566,0.208473,0.044332,65.419495,0.000000,0.001496,0.154902
110,0.208599,0.014309,58.575279,0.208473,0.014366,58.601837,0.000000,0.000836,0.730384
111,0.208599,0.036207,54.566839,0.208473,0.036753,54.613830,0.000000,0.002153,0.255906
112,0.208599,0.017991,64.616063,0.208473,0.018051,64.626330,0.000000,0.000806,0.336460
113,0.208599,0.039710,66.986253,0.208473,0.039976,67.046542,0.000000,0.000903,0.152051
114,0.208599,0.012909,61.179884,0.208473,0.012782,61.070487,0.000000,0.000624,0.485901
115,0.208599,0.025741,67.417575,0.208473,0.025672,67.377868,0.000000,0.000802,0.323210
116,0.208599,0.036802,60.938094,0.208473,0.036673,60.903105,0.000000,0.000821,0.176714
