iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_ka
255,157.257,1,3.33648e-07,218.303,0.236166,3.69537,0.405857,0.757216,7.78396,0.692053,0.902348
256,153.139,1,3.99944e-07,223.126,0.238252,3.69764,0.405899,0.764671,7.58687,0.685807,0.8795
257,150.29,1,3.71525e-07,227.338,0.233192,3.69709,0.405931,0.785033,7.39477,0.675021,0.857231
258,154.752,1,5.20963e-07,214.305,0.231859,3.70112,0.405789,0.803609,7.77322,0.687315,0.931946
259,160.702,1,1.07225e-07,208.887,0.235224,3.70674,0.405505,0.816023,7.95112,0.671905,1.04025
260,156.269,1,6.37522e-08,218.271,0.234302,3.70255,0.405732,0.764084,7.7498,0.709114,1.01391
261,156.706,1,2.15216e-07,216.163,0.234862,3.70476,0.405695,0.910181,7.55357,0.728174,1.07271
262,156.4,1,9.27468e-08,225.255,0.237084,3.70909,0.405686,0.814392,7.36231,0.729348,1.04555
263,164.178,1,1.0459e-07,226.717,0.239077,3.70666,0.405756,0.863618,7.29948,0.741553,1.05266
264,164.803,1,6.3362e-08,228.299,0.241059,3.70827,0.405821,0.882624,7.61646,0.75227,1.02601
265,160.653,1,6.82389e-08,232.844,0.234955,3.7112,0.404873,0.926341,8.47605,0.753583,1.00003
266,159.532,1,1.0087e-07,230.058,0.23623,3.71012,0.40482,0.902897,8.26144,0.734501,0.974706
267,160.383,1,4.05818e-08,231.057,0.238398,3.70664,0.405094,0.881679,8.05225,0.745711,0.953715
268,152.753,1,2.27622e-07,219.414,0.232361,3.70751,0.40501,0.869567,7.84836,0.726829,0.929566
269,155.025,1,5.80231e-07,232.399,0.233818,3.70644,0.405298,0.94133,7.64964,0.708425,0.96382
270,153.203,1,6.76408e-07,237.926,0.229989,3.70684,0.405743,0.891018,7.45595,0.725805,0.939415
271,154.385,1,5.78856e-07,226.046,0.231451,3.70377,0.40592,1.04965,7.56281,0.707427,0.930221
272,146.72,1,8.18021e-07,222.151,0.22559,3.70757,0.405678,0.950257,7.37131,0.692164,0.936904
273,146.74,1,3.38889e-06,220.306,0.227513,3.7132,0.405726,0.955377,7.18467,0.707866,0.913181
274,155.615,1,2.87648e-06,223.427,0.237057,3.71223,0.405698,0.823989,7.00386,0.695625,0.890059
275,155.186,1,1.48193e-06,223.135,0.238504,3.70872,0.405589,0.879632,7.06748,0.688332,0.867522
276,147.463,1,2.44808e-06,228.261,0.232465,3.70972,0.405873,0.821636,6.88853,0.70334,0.845556
277,151.859,1,1.57118e-06,204.943,0.233199,3.70668,0.405954,0.760769,7.219,0.688523,0.844635
278,154.153,1,1.68404e-06,205.716,0.241505,3.70566,0.405894,0.683683,7.03621,0.678292,0.823248
279,155.654,1,1.7139e-06,215.696,0.240795,3.70518,0.406171,0.764767,6.85805,0.698342,0.833656
280,144.799,1,2.79226e-06,214.07,0.234698,3.70774,0.406665,0.748583,6.6844,0.697696,0.812547
281,146.063,1,3.99256e-06,208.121,0.229247,3.70813,0.406413,0.754961,6.51515,0.68003,0.892521
282,150.469,1,3.59499e-06,212.434,0.2322,3.70782,0.406591,0.781926,6.35018,0.733275,0.942858
283,152.334,1,1.2152e-06,214.832,0.230501,3.70724,0.406701,0.893042,6.39243,0.72664,1.0005
284,152.208,1,7.20099e-07,218.64,0.234774,3.70564,0.406436,0.807597,6.39671,0.715653,0.975168
285,159.142,1,1.90308e-07,232.187,0.240523,3.70517,0.406099,0.76075,6.23475,0.767054,0.978552
286,155.032,1,1.21671e-07,216.239,0.234433,3.70227,0.406523,0.796411,6.62914,0.747632,1.0432
287,165.776,1,2.75512e-07,217.681,0.241455,3.70287,0.406431,0.794161,6.81138,0.752012,1.05962
288,165.984,1,1.27104e-07,220.784,0.23998,3.70587,0.406439,0.889441,7.09022,0.732971,1.14182
289,164.652,1,4.24617e-08,218.821,0.240523,3.70316,0.406274,0.9049,7.21667,0.747003,1.1129
290,156.464,1,3.23946e-08,218.071,0.23659,3.70218,0.406132,0.868722,7.03394,0.730674,1.08473
291,155.173,1,2.79878e-07,209.625,0.231608,3.69919,0.405822,0.826053,6.85584,0.716576,1.05781
292,148.223,1,1.16053e-07,223.333,0.227224,3.69825,0.405652,0.844881,6.68224,0.747839,1.03103
293,153.18,1,3.53274e-08,212.905,0.228278,3.69728,0.406058,0.870733,6.99429,0.728903,1.06795
294,155.368,1,7.04136e-09,205.198,0.233903,3.69637,0.406319,0.81193,6.81719,0.710447,1.04146
295,169.135,1,2.0867e-09,208.564,0.23896,3.69906,0.406153,0.74444,7.65418,0.755104,1.19249
296,170.981,1,2.59595e-09,209.96,0.243418,3.69895,0.406123,0.738703,7.46037,0.750097,1.1623
297,163.896,1,5.49828e-09,211.404,0.237254,3.69766,0.406346,0.862962,7.27147,0.731104,1.20821
298,160.276,1,3.98551e-09,216.91,0.234531,3.69944,0.406246,0.944194,7.08735,0.728931,1.17762
299,159.943,1,6.74074e-09,222.407,0.233457,3.70068,0.406082,0.917786,7.08388,0.741571,1.1478
300,160.036,1,2.11688e-08,222.95,0.234042,3.70196,0.406037,0.815892,7.72231,0.725746,1.11874
301,160.347,2,1.84126e-08,219.29,0.235248,3.70061,0.405883,0.926974,7.52677,0.747321,1.09041
302,155.381,2,1.01848e-07,209.114,0.232085,3.02792,0.456939,0.7906,6.38254,0.732906,1.08258
303,156.603,2,3.66564e-08,210.227,0.23048,2.89556,0.470472,0.845406,6.91844,0.769475,1.06342
304,160.132,2,7.52038e-09,204.367,0.234524,2.70614,0.487301,0.753095,6.98823,0.744701,1.08556
305,156.288,2,5.00131e-09,202.909,0.230833,2.57873,0.50011,0.791539,6.6671,0.739981,1.10602
306,155.315,2,9.05512e-09,199.793,0.234247,2.60625,0.501988,0.799785,6.02357,0.719548,1.07099
307,155.388,2,8.01016e-09,202.886,0.233367,2.70701,0.492365,0.799269,6.30817,0.730608,1.04677
308,160.278,2,1.671e-08,208.567,0.235851,2.8648,0.478702,0.871765,6.54093,0.740016,1.06239
309,158.654,2,1.52135e-08,204.269,0.237206,2.90765,0.476137,0.883875,6.6202,0.711753,1.02891
310,159.327,2,6.68227e-09,201.223,0.236795,2.80776,0.482579,0.859925,6.54455,0.738416,1.05541
311,157.161,2,4.6327e-09,203.384,0.234987,2.9777,0.46869,0.846606,6.34198,0.74669,1.06843
312,159.371,2,3.28029e-09,209.483,0.237951,2.8953,0.473692,0.814915,6.21157,0.76531,1.00745
313,163.07,2,2.48851e-09,206.703,0.24077,2.76333,0.483945,0.805814,6.38041,0.742813,1.03126
314,152.157,2,2.3942e-09,201.385,0.235117,2.63806,0.494754,0.788993,6.6467,0.715601,0.958614
315,152.603,2,2.18743e-09,203.373,0.233888,2.52884,0.502982,0.793209,6.57353,0.710849,0.932251
316,159.983,2,2.71277e-09,205.015,0.236059,2.60738,0.494254,0.770023,6.77806,0.708781,0.969991
317,154.489,2,4.72089e-09,203.923,0.235949,2.48096,0.506823,0.749093,6.35155,0.719633,0.96886
318,154.27,2,1.11154e-08,198.043,0.236234,2.34375,0.52051,0.749683,6.49289,0.696897,0.949124
319,154.799,2,2.12526e-08,193.622,0.235047,2.25361,0.532942,0.735831,6.75624,0.692072,0.943872
320,153.739,2,2.52228e-08,188.884,0.234146,2.11577,0.549396,0.698994,6.98283,0.672677,0.935737
321,153.721,2,2.04354e-08,187.23,0.234031,2.08444,0.552751,0.665472,7.27228,0.660971,0.899151
322,156.052,2,1.79353e-08,188.435,0.235853,2.10002,0.551142,0.660515,7.29075,0.661324,0.886532
323,156.958,2,1.3182e-08,187.757,0.237299,2.1124,0.54824,0.637877,7.03403,0.657583,0.905246
324,157.83,2,1.07885e-08,184.954,0.238183,2.04486,0.556043,0.639942,7.5054,0.648746,0.870348
325,152.979,2,9.32484e-09,180.732,0.238186,1.96883,0.565746,0.613459,7.63238,0.631076,0.829376
326,156.891,2,1.19088e-08,178.654,0.237067,1.8238,0.584452,0.628249,7.73223,0.632534,0.869984
327,155.575,2,1.61102e-08,180.968,0.237223,1.75961,0.59113,0.666852,7.63039,0.627919,0.888209
328,151.756,2,3.13471e-08,180.611,0.237105,1.69794,0.599345,0.665805,7.42872,0.626917,0.877537
329,152.499,2,3.14372e-08,181.204,0.236838,1.6446,0.605549,0.661121,7.36523,0.626829,0.871685
330,150.151,2,3.84937e-08,183.387,0.235227,1.69237,0.597376,0.665185,7.67143,0.624906,0.850813
331,150.959,2,4.59816e-08,187.816,0.234271,1.76717,0.58597,0.692073,7.68857,0.635047,0.847259
332,147.045,2,4.98373e-08,189.321,0.233264,1.79276,0.580991,0.692475,7.57055,0.630619,0.851764
333,150.557,2,5.56132e-08,189.353,0.232991,1.80757,0.578236,0.676976,7.55325,0.624466,0.864558
334,150.747,2,5.21449e-08,191.59,0.232896,1.83505,0.573741,0.672313,7.56775,0.634269,0.851024
335,150.665,2,4.75998e-08,191.551,0.233327,1.81211,0.577137,0.654135,7.3586,0.640776,0.84797
336,150.477,2,6.51462e-08,190.973,0.234484,1.80252,0.57849,0.653759,7.15735,0.636069,0.8449
337,147.159,2,7.57097e-08,192.482,0.234711,1.82204,0.575321,0.6563,6.99994,0.638494,0.831069
338,143.191,2,6.21359e-08,192.915,0.233462,1.84522,0.57231,0.664636,7.03047,0.636064,0.830065
339,144.63,2,5.16242e-08,193.435,0.232604,1.83583,0.573107,0.6613,7.05405,0.636913,0.82947
340,141.563,2,5.80687e-08,193.246,0.231476,1.81093,0.575798,0.659738,7.14719,0.63247,0.822934
341,146.563,2,5.89791e-08,193.406,0.231286,1.78931,0.577938,0.671667,7.0792,0.631873,0.829876
342,147.274,2,7.01229e-08,191.817,0.231377,1.77137,0.580573,0.676584,6.96557,0.630695,0.839708
343,148.621,2,7.44689e-08,192.16,0.23196,1.75067,0.582799,0.677876,6.89542,0.628862,0.838316
344,149.795,2,8.34802e-08,192.368,0.232688,1.73828,0.583718,0.674911,6.89579,0.62447,0.830841
345,149.609,2,8.71742e-08,191.752,0.233127,1.71507,0.586734,0.670153,6.86073,0.622169,0.82856
346,155.738,2,8.99045e-08,190.862,0.2338,1.67982,0.591678,0.670142,6.84038,0.618629,0.838675
347,148.66,2,9.67199e-08,191.257,0.233737,1.67775,0.591654,0.673124,6.85065,0.619169,0.840994
348,151.913,2,9.53033e-08,192.52,0.233839,1.69753,0.587983,0.676524,6.80728,0.622531,0.847925
349,147.05,2,1.01597e-07,192.079,0.23357,1.68637,0.58932,0.676738,6.78735,0.621226,0.856285
350,144.43,2,9.5303e-08,192.459,0.233462,1.68085,0.589595,0.680202,6.76978,0.618514,0.85399
351,145.422,2,9.39305e-08,192.571,0.233456,1.68082,0.589549,0.681009,6.76344,0.618286,0.852954
352,146.739,2,9.30268e-08,192.551,0.233477,1.67888,0.589832,0.680649,6.75507,0.617845,0.852481
353,142.476,2,9.22361e-08,192.445,0.233473,1.67295,0.590556,0.680215,6.73652,0.617129,0.852135
354,151.002,2,9.18272e-08,192.483,0.233557,1.66673,0.591339,0.680973,6.72943,0.617135,0.851942
355,145.803,2,9.25454e-08,192.604,0.233619,1.66387,0.591712,0.680462,6.70441,0.617909,0.850342
356,143.933,2,9.09864e-08,192.529,0.233545,1.65988,0.59222,0.680618,6.69981,0.61758,0.85059
357,149.096,2,9.12431e-08,192.427,0.233537,1.65434,0.593005,0.681074,6.69626,0.617676,0.8518
358,147.606,2,9.13611e-08,192.539,0.233579,1.65571,0.59278,0.681327,6.68177,0.61773,0.85194
359,149.958,2,9.23764e-08,192.671,0.233649,1.65807,0.592355,0.681713,6.67537,0.617473,0.851798
360,148.971,2,9.24346e-08,192.722,0.233628,1.66181,0.591823,0.682529,6.67378,0.617702,0.853088
361,147.988,2,9.24817e-08,192.74,0.233648,1.66368,0.591569,0.682631,6.66688,0.617645,0.853072
362,150.61,2,9.29431e-08,192.938,0.233648,1.66768,0.590964,0.682222,6.67229,0.618475,0.852768
363,149.347,2,9.12483e-08,193.051,0.233678,1.67067,0.590542,0.682113,6.67284,0.61866,0.852513
364,142.907,2,9.25923e-08,193.044,0.233628,1.66895,0.590815,0.683218,6.65909,0.618785,0.852619
365,147.472,2,9.15526e-08,192.909,0.233602,1.6672,0.591166,0.682928,6.65743,0.618857,0.852749
366,143.415,2,9.09486e-08,192.861,0.233608,1.6639,0.591689,0.682165,6.64511,0.618916,0.851726
367,138.482,2,9.16872e-08,192.891,0.233502,1.66295,0.591836,0.682811,6.64068,0.618748,0.850758
368,140.483,2,9.11259e-08,192.871,0.233462,1.66215,0.591956,0.682393,6.63054,0.618349,0.849754
369,143.635,2,9.06342e-08,192.798,0.233503,1.6604,0.592261,0.681518,6.6049,0.618408,0.849685
370,150.846,2,9.22692e-08,192.645,0.233569,1.65724,0.592678,0.679981,6.59495,0.617689,0.851574
371,144.934,2,9.25672e-08,192.618,0.23355,1.65565,0.592822,0.680062,6.58152,0.617384,0.852851
372,146.39,2,9.09451e-08,192.749,0.233606,1.6552,0.592779,0.680716,6.56706,0.617421,0.852478
373,147.856,2,9.08382e-08,192.673,0.233654,1.65245,0.593113,0.68046,6.56775,0.616803,0.851845
374,151.242,2,8.96259e-08,192.569,0.233669,1.64818,0.593695,0.68034,6.57345,0.616653,0.852746
375,145.918,2,8.95701e-08,192.437,0.233643,1.6421,0.594526,0.680194,6.57656,0.616201,0.852364
376,147.902,2,8.87556e-08,192.33,0.233632,1.63975,0.59489,0.678894,6.58457,0.615927,0.852068
377,149.459,2,8.87014e-08,192.164,0.233653,1.63876,0.59505,0.67784,6.57807,0.615444,0.85338
378,153.162,2,8.89546e-08,192.123,0.233693,1.63838,0.595133,0.677892,6.59042,0.615359,0.85329
379,154.403,2,8.81148e-08,192.192,0.233775,1.64093,0.594756,0.678259,6.59218,0.615671,0.853005
380,147.584,2,8.84579e-08,192.312,0.233808,1.64307,0.594474,0.678319,6.58291,0.616339,0.852202
381,140.476,2,8.75161e-08,192.273,0.233744,1.64137,0.594792,0.678985,6.58147,0.61643,0.851147
382,147.333,2,8.73624e-08,192.279,0.233757,1.64062,0.594962,0.679568,6.58046,0.616536,0.850624
383,142.551,2,8.67123e-08,192.198,0.233675,1.63948,0.595195,0.68005,6.58686,0.616339,0.850164
384,144.45,2,8.69529e-08,192.242,0.233664,1.64079,0.595001,0.680314,6.58372,0.616269,0.849433
385,140.745,2,8.66622e-08,192.289,0.233642,1.64142,0.594906,0.680825,6.56922,0.616163,0.849267
386,143.375,2,8.57458e-08,192.429,0.233581,1.64393,0.594488,0.681502,6.56937,0.616357,0.849082
387,142.59,2,8.53189e-08,192.495,0.233517,1.64535,0.594261,0.682119,6.5632,0.616283,0.849589
388,141.406,2,8.55502e-08,192.42,0.233452,1.64418,0.594451,0.682195,6.55415,0.616045,0.850602
389,147.206,2,8.56897e-08,192.458,0.233397,1.64406,0.594488,0.682711,6.55592,0.616326,0.851638
390,147.678,2,8.59178e-08,192.401,0.23339,1.64291,0.594675,0.682102,6.55286,0.616289,0.852332
391,147.304,2,8.63295e-08,192.37,0.233439,1.64036,0.595057,0.681631,6.547,0.616168,0.85159
392,146.233,2,8.58665e-08,192.447,0.233476,1.63988,0.595088,0.681438,6.53411,0.616316,0.851129
393,150.253,2,8.55544e-08,192.451,0.233529,1.6378,0.595353,0.680667,6.53753,0.616203,0.850155
394,138.022,2,8.5924e-08,192.404,0.233484,1.63384,0.595855,0.680632,6.52814,0.61567,0.849584
395,144.07,2,8.64109e-08,192.351,0.233508,1.63184,0.596112,0.680503,6.52087,0.615159,0.849369
396,146.62,2,8.6736e-08,192.268,0.233595,1.62776,0.596639,0.680014,6.51239,0.614489,0.848377
397,140.377,2,8.69904e-08,192.268,0.233594,1.62638,0.596795,0.680015,6.5038,0.614122,0.847387
398,147.177,2,8.72602e-08,192.26,0.233608,1.62355,0.597132,0.680317,6.50802,0.613718,0.8471
399,144.268,2,8.69508e-08,192.357,0.233577,1.62164,0.597265,0.6808,6.50963,0.613438,0.846975
400,153.598,2,8.69372e-08,192.334,0.233672,1.61812,0.597733,0.680376,6.50815,0.613565,0.846365
401,148.219,2,8.77654e-08,192.252,0.233701,1.61443,0.598232,0.679518,6.50986,0.613281,0.846036
402,146.481,2,8.81187e-08,192.18,0.233705,1.60909,0.598912,0.679646,6.50841,0.612877,0.846318
403,145.202,2,8.91379e-08,192.132,0.233715,1.60427,0.599492,0.679787,6.49997,0.612582,0.84684
404,148.48,2,8.97934e-08,192.152,0.233762,1.59951,0.600079,0.680071,6.49044,0.612616,0.846767
405,144.02,2,9.07585e-08,192.087,0.233758,1.59721,0.600434,0.679792,6.47938,0.612736,0.846852
406,143.552,2,9.03801e-08,192.071,0.233723,1.59401,0.600876,0.679548,6.47413,0.61312,0.846677
407,141.873,2,8.98129e-08,192.099,0.233701,1.58968,0.601437,0.679297,6.46645,0.613382,0.846148
408,146.529,2,8.90649e-08,192.079,0.233701,1.58661,0.601844,0.679311,6.46574,0.613311,0.845934
409,140.815,2,8.87878e-08,192.097,0.233672,1.5862,0.601865,0.679312,6.45654,0.613294,0.845989
410,140.066,2,8.8468e-08,192.137,0.233646,1.5867,0.601773,0.679671,6.45098,0.613082,0.845404
411,139.025,2,8.86974e-08,192.111,0.233577,1.58676,0.601784,0.67992,6.45024,0.612949,0.845002
412,147.257,2,8.84673e-08,192.086,0.233582,1.58432,0.602125,0.680196,6.44984,0.612697,0.845266
413,143.288,2,8.85436e-08,192.023,0.233574,1.58113,0.602518,0.679775,6.45115,0.612179,0.844935
414,148.293,2,8.81813e-08,192.036,0.233604,1.57903,0.602731,0.680412,6.44882,0.611833,0.845299
415,144.328,2,8.7328e-08,191.984,0.233569,1.57671,0.603054,0.680557,6.4483,0.611717,0.845641
416,143.321,2,8.7562e-08,191.977,0.233522,1.57503,0.603278,0.680692,6.44607,0.611707,0.846191
417,144.15,2,8.78552e-08,192.001,0.233497,1.57421,0.603366,0.681315,6.43603,0.611798,0.847178
418,148.024,2,8.9002e-08,191.936,0.233463,1.57306,0.603548,0.681415,6.44049,0.61185,0.847703
419,140.005,2,8.84704e-08,191.918,0.233413,1.57245,0.60363,0.681262,6.43849,0.611712,0.847638
420,148.044,2,8.88388e-08,191.87,0.233404,1.57116,0.603838,0.681003,6.44107,0.611536,0.848159
421,144.014,2,8.82635e-08,191.831,0.233384,1.56958,0.604067,0.681115,6.44049,0.611545,0.848092
422,140.747,2,8.85983e-08,191.854,0.233354,1.56744,0.604338,0.680621,6.44083,0.611467,0.84706
423,138.083,2,8.8531e-08,191.829,0.233293,1.56596,0.604562,0.680829,6.43956,0.611324,0.84679
424,144.663,2,8.82603e-08,191.878,0.233254,1.56727,0.604348,0.681065,6.44625,0.611328,0.846433
425,144.279,2,8.8197e-08,191.929,0.233205,1.56905,0.604112,0.68175,6.44741,0.611576,0.846637
426,143.719,2,8.82108e-08,191.898,0.233179,1.57046,0.603944,0.682237,6.44424,0.611503,0.847166
427,140.088,2,8.82781e-08,191.929,0.233122,1.57245,0.603657,0.682463,6.44198,0.611577,0.847108
428,139.526,2,8.81222e-08,191.898,0.233089,1.57311,0.603596,0.682837,6.4352,0.611387,0.847297
429,144.947,2,8.82058e-08,191.955,0.233069,1.57462,0.603384,0.68297,6.43232,0.611716,0.847628
430,143.282,2,8.81123e-08,191.836,0.23306,1.57316,0.603642,0.68243,6.42817,0.611393,0.847906
431,147.799,2,8.71715e-08,191.867,0.233075,1.5726,0.603704,0.682447,6.42777,0.611406,0.847749
432,141.717,2,8.71765e-08,191.923,0.233071,1.57126,0.603853,0.682634,6.42633,0.611229,0.847007
433,142.998,2,8.74714e-08,191.98,0.233066,1.57007,0.603949,0.682927,6.41957,0.611103,0.847086
434,143.438,2,8.63995e-08,191.933,0.233041,1.56717,0.604328,0.682674,6.41819,0.610913,0.847507
435,140.588,2,8.61493e-08,191.923,0.233021,1.56489,0.604603,0.682661,6.40733,0.610828,0.848225
436,143.431,2,8.63839e-08,191.897,0.233001,1.56372,0.604767,0.682667,6.4073,0.610657,0.848381
437,141.942,2,8.69526e-08,191.859,0.232974,1.56222,0.604984,0.682174,6.4074,0.610565,0.848117
438,140.647,2,8.7143e-08,191.907,0.232945,1.56205,0.604992,0.682294,6.4028,0.610771,0.847785
439,147.795,2,8.69143e-08,191.875,0.232932,1.56023,0.605253,0.682507,6.40835,0.610637,0.847771
440,136.995,2,8.74469e-08,191.885,0.232874,1.55953,0.60533,0.682886,6.40115,0.610572,0.848153
441,146.158,2,8.67593e-08,191.925,0.232833,1.55864,0.605438,0.68297,6.40883,0.610769,0.848044
442,145.616,2,8.63461e-08,191.91,0.232837,1.55771,0.60558,0.683205,6.40948,0.610727,0.847825
443,148.938,2,8.59085e-08,191.888,0.232859,1.55774,0.605593,0.683522,6.41313,0.610751,0.847435
444,153.271,2,8.64343e-08,191.887,0.23289,1.5579,0.605573,0.683562,6.41844,0.610731,0.847525
445,153.526,2,8.58411e-08,191.906,0.232946,1.55871,0.605443,0.683629,6.41803,0.610619,0.847664
446,142.616,2,8.5692e-08,192,0.232953,1.56099,0.605041,0.683684,6.40908,0.610601,0.847786
447,141.124,2,8.53992e-08,192.031,0.232928,1.56068,0.605042,0.683756,6.40719,0.610474,0.847861
448,148.844,2,8.51187e-08,192.114,0.232936,1.56006,0.605086,0.68389,6.41446,0.61041,0.847397
449,153.536,2,8.55418e-08,192.17,0.232966,1.55937,0.605146,0.684117,6.41656,0.610416,0.84793
450,153.56,2,8.521e-08,192.273,0.232984,1.55989,0.605004,0.684874,6.41949,0.610382,0.848753
451,151.776,2,8.49303e-08,192.27,0.233015,1.55743,0.605287,0.685096,6.42252,0.610109,0.848999
452,152.32,2,8.48619e-08,192.337,0.233032,1.55684,0.605276,0.685857,6.42375,0.610041,0.849736
453,149.911,2,8.51019e-08,192.384,0.233049,1.55557,0.605395,0.686265,6.42388,0.609874,0.850374
454,139.08,2,8.50584e-08,192.345,0.233028,1.55214,0.605838,0.68627,6.42153,0.609508,0.850095
455,145.133,2,8.52678e-08,192.433,0.233033,1.55057,0.605958,0.686248,6.42203,0.609396,0.849792
456,147.758,2,8.56798e-08,192.462,0.233017,1.5488,0.606157,0.686549,6.4317,0.609215,0.849518
457,141.63,2,8.54742e-08,192.502,0.232977,1.54761,0.606256,0.686715,6.43494,0.609001,0.849373
458,142.588,2,8.5534e-08,192.598,0.232939,1.54714,0.606239,0.687147,6.43783,0.608975,0.849386
459,146.03,2,8.59771e-08,192.586,0.232956,1.5452,0.606489,0.687153,6.43612,0.608844,0.849414
460,152.447,2,8.5956e-08,192.599,0.232971,1.54415,0.606611,0.686764,6.43971,0.608834,0.849774
461,142.908,2,8.52393e-08,192.599,0.232966,1.54143,0.606942,0.68636,6.43663,0.608622,0.849733
462,142.179,2,8.48082e-08,192.615,0.232944,1.54007,0.607111,0.6864,6.43066,0.608618,0.85014
463,145.812,2,8.44975e-08,192.615,0.232964,1.53865,0.607301,0.686407,6.42948,0.608482,0.849728
464,141.991,2,8.37736e-08,192.644,0.232966,1.53826,0.607323,0.686763,6.42828,0.608278,0.849355
465,151.218,2,8.35903e-08,192.67,0.232983,1.53797,0.607349,0.687354,6.4284,0.608335,0.849808
466,144.091,2,8.28505e-08,192.703,0.232993,1.53599,0.607574,0.687503,6.42294,0.608225,0.849778
467,147.662,2,8.22606e-08,192.712,0.23303,1.53422,0.607772,0.687361,6.41628,0.608134,0.849989
468,153.734,2,8.24533e-08,192.703,0.233072,1.53079,0.608213,0.687217,6.41586,0.608131,0.850282
469,148.591,2,8.21603e-08,192.624,0.23307,1.52921,0.608459,0.68675,6.4173,0.608042,0.850668
470,140.322,2,8.22193e-08,192.609,0.233051,1.52709,0.608758,0.686699,6.41424,0.608051,0.850257
471,142.068,2,8.20961e-08,192.593,0.233036,1.52508,0.609056,0.686897,6.41624,0.607958,0.849705
472,151.79,2,8.21748e-08,192.601,0.23305,1.52398,0.609223,0.686833,6.42393,0.608085,0.849128
473,155.632,2,8.26011e-08,192.598,0.233074,1.52235,0.609459,0.68702,6.43293,0.608119,0.849198
474,148.067,2,8.26215e-08,192.597,0.233076,1.52077,0.609679,0.687007,6.43573,0.60815,0.848964
475,145.689,2,8.33648e-08,192.613,0.233084,1.51925,0.609856,0.686912,6.43532,0.608051,0.848838
476,151.38,2,8.38001e-08,192.583,0.233095,1.51706,0.610138,0.686818,6.4438,0.607711,0.848804
477,153.389,2,8.40504e-08,192.607,0.233121,1.51635,0.610176,0.686886,6.44546,0.60749,0.849482
478,145.207,2,8.3807e-08,192.632,0.233097,1.51575,0.61021,0.686843,6.44613,0.607508,0.849882
479,144.632,2,8.36011e-08,192.632,0.233103,1.51397,0.610437,0.68707,6.448,0.607345,0.849493
480,142.083,2,8.34726e-08,192.649,0.233097,1.51301,0.61056,0.687064,6.44755,0.60733,0.848989
481,143.819,2,8.35692e-08,192.672,0.233111,1.51305,0.610528,0.687031,6.44391,0.607308,0.848576
482,144.828,2,8.36508e-08,192.724,0.23311,1.51328,0.610453,0.687134,6.44331,0.607304,0.848401
483,147.946,2,8.42255e-08,192.771,0.233124,1.51381,0.61034,0.686972,6.44123,0.607285,0.848579
484,143.535,2,8.37552e-08,192.743,0.233118,1.51226,0.610536,0.686599,6.44211,0.607091,0.848446
485,146.571,2,8.33385e-08,192.793,0.233143,1.51101,0.610662,0.686729,6.43792,0.60711,0.848259
486,149.006,2,8.33742e-08,192.849,0.233147,1.5116,0.610531,0.687249,6.43723,0.607074,0.848625
487,147.05,2,8.35094e-08,192.901,0.233146,1.51141,0.610515,0.687592,6.43751,0.606992,0.848883
488,143.348,2,8.35508e-08,192.901,0.233128,1.51013,0.610704,0.687465,6.43665,0.607,0.848827
489,142.627,2,8.34363e-08,192.907,0.233109,1.50954,0.610793,0.687756,6.43616,0.60708,0.84865
490,141.232,2,8.37854e-08,192.948,0.2331,1.50997,0.610694,0.687849,6.43152,0.607076,0.848455
491,152.576,2,8.38536e-08,192.926,0.233114,1.50892,0.610863,0.687665,6.43172,0.607189,0.848981
492,148.733,2,8.38819e-08,192.919,0.233113,1.50846,0.610943,0.687409,6.43506,0.607264,0.848976
493,146.168,2,8.35456e-08,192.918,0.233104,1.50836,0.610969,0.6872,6.43705,0.607349,0.848807
494,141.09,2,8.32591e-08,192.865,0.233099,1.5082,0.611033,0.686857,6.43354,0.607241,0.848564
495,141.811,2,8.3125e-08,192.848,0.233075,1.50804,0.611053,0.686822,6.43468,0.606986,0.848612
496,150.301,2,8.32411e-08,192.783,0.233087,1.50632,0.611315,0.686623,6.43506,0.606873,0.849006
497,144.5,2,8.35825e-08,192.741,0.23309,1.50476,0.611557,0.686685,6.43747,0.606707,0.848412
498,145.517,2,8.38509e-08,192.727,0.23311,1.50469,0.611528,0.686273,6.43473,0.606396,0.848554
499,149.281,2,8.37296e-08,192.725,0.233143,1.50497,0.611457,0.685774,6.43218,0.606195,0.848628
500,143.739,2,8.36608e-08,192.751,0.233137,1.50264,0.611746,0.685948,6.43222,0.606032,0.84853
501,143.383,2,8.37993e-08,192.79,0.23315,1.50073,0.611966,0.68626,6.42805,0.605879,0.848276
