iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_ka
60,118.187,1,0.0288337,243.457,0.252781,3.16788,0.440394,1.015,1.64483,0.548865,0.584945
61,116.411,1,0.0304151,239.756,0.250492,3.40105,0.417378,0.985841,1.61437,0.560837,0.570134
62,116.522,1,0.0345032,255.106,0.249787,3.15183,0.422262,1.11344,1.57349,0.562515,0.645191
63,118.394,1,0.0318507,244.521,0.247322,3.15098,0.422641,0.970562,1.66224,0.548272,0.691528
64,121.425,1,0.0263838,224.403,0.251244,3.16571,0.429745,0.966754,1.7287,0.534547,0.674748
65,121.564,1,0.0228068,225.674,0.249878,3.08266,0.435261,0.822452,1.79695,0.552812,0.667991
66,120.801,1,0.0245328,204.074,0.248919,3.18573,0.443919,0.874817,1.75145,0.543301,0.709596
67,116.12,1,0.0213138,216.22,0.244628,3.04739,0.447798,0.902683,1.7071,0.529544,0.742923
68,118.935,1,0.0226558,218.917,0.247315,3.06248,0.460462,0.904353,1.75593,0.516136,0.733972
69,124.832,1,0.040311,219.749,0.250241,3.21938,0.44357,0.865058,1.73063,0.54985,0.775177
70,119.151,1,0.0362459,223.274,0.244989,3.11931,0.426762,0.893545,1.79045,0.538154,0.755549
71,119.29,1,0.0458732,228.934,0.245242,3.174,0.432169,0.999633,1.74511,0.550789,0.771509
72,111.087,1,0.0505671,220.857,0.239033,3.1969,0.442842,0.943239,1.76411,0.536843,0.762222
73,119.032,1,0.0382819,213.894,0.243631,3.5339,0.437206,0.976741,1.875,0.523249,0.804929
74,111.743,1,0.030152,225.705,0.237462,3.35393,0.426518,0.995886,1.82752,0.55372,0.826791
75,118.72,1,0.03611,222.385,0.240167,3.24013,0.422517,0.860242,1.78125,0.548686,0.83961
76,112.413,1,0.0477149,237.13,0.23598,3.43441,0.420227,0.951107,1.73614,0.561383,0.818351
77,113.501,1,0.0460887,230.179,0.235589,3.50764,0.412463,1.01666,1.92126,0.547169,0.79763
78,116.225,1,0.0317711,227.633,0.238934,3.50631,0.412461,0.935358,1.87261,0.55744,0.777433
79,121.076,1,0.0295607,237.688,0.241687,3.4765,0.40649,1.03106,1.8252,0.575242,0.82715
80,124.22,1,0.0191074,221.411,0.243948,3.72952,0.401655,0.952045,2.00592,0.560677,0.822249
81,113.929,1,0.0166095,220.164,0.237771,3.82881,0.407178,0.947585,2.0339,0.54648,0.829752
82,123.012,1,0.0163027,214.307,0.242264,3.81404,0.407637,0.93774,2.14244,0.532643,0.813322
83,121.726,1,0.0216589,224.571,0.240356,3.97601,0.396315,0.986761,2.0882,0.585162,0.792728
84,118.283,1,0.0140344,219.422,0.236952,4.2461,0.39305,0.893982,2.03532,0.575228,0.821903
85,120.72,1,0.00988109,209.886,0.230952,4.28037,0.397941,0.884675,2.42542,0.61245,0.822167
86,124.396,1,0.0161455,207.075,0.24325,4.41434,0.389537,0.840056,2.36401,0.600354,0.801349
87,127.218,1,0.0130305,210.158,0.241128,4.35091,0.383442,0.869586,2.30415,0.585152,0.9388
88,124.359,1,0.0119747,213.758,0.237577,4.37303,0.376591,0.956569,2.24581,0.589531,0.915029
89,121.044,1,0.0131679,220.626,0.236354,4.39443,0.378926,0.903646,2.18894,0.602928,0.909292
90,124.273,1,0.0122224,212.872,0.23765,4.42732,0.379673,0.881749,2.13352,0.587661,0.914619
91,123.439,1,0.0157425,216.292,0.234657,4.4237,0.371381,0.923021,2.14738,0.572781,0.952171
92,122.318,1,0.00942944,217.366,0.229949,4.53126,0.373293,0.96665,2.51325,0.573163,0.928062
93,128.609,1,0.00586583,220.929,0.236701,4.75607,0.369038,1.01156,2.44962,0.613772,1.08016
94,129.1,1,0.00579222,227.489,0.237778,4.805,0.371973,1.00185,2.38759,0.598231,1.05281
95,129.539,1,0.00691266,223.951,0.235297,4.77351,0.369131,0.996717,2.32713,0.587954,1.10245
96,131.069,1,0.00765443,219.486,0.24089,4.76616,0.36191,0.865561,2.44382,0.578527,1.07454
97,127.889,1,0.009276,241.984,0.240295,4.85787,0.360517,1.06582,2.38195,0.582174,1.04733
98,116.87,1,0.0109655,220.428,0.234211,4.90438,0.364935,0.861982,2.32368,0.567433,1.02081
99,131.961,1,0.0115986,212.094,0.240719,4.8716,0.364883,0.801922,2.47769,0.607004,0.994965
100,126.456,1,0.0130703,210.724,0.238884,4.59,0.360576,0.822974,2.41496,0.591635,0.969772
101,123.516,1,0.0125335,213.299,0.235519,4.79299,0.364369,0.875547,2.35381,0.588353,0.945217
102,119.939,1,0.00959125,220.43,0.233415,4.82981,0.362162,0.87891,2.29421,0.603137,0.921283
103,119.878,1,0.00640573,210.601,0.228254,4.6622,0.368516,0.852129,2.4278,0.587866,0.913456
104,127.409,1,0.00736864,215.759,0.236519,4.76213,0.368724,0.896902,2.5192,0.583551,0.907868
105,122.13,1,0.00762157,217.869,0.230796,4.72189,0.371647,0.896815,2.69701,0.582915,0.88488
106,119.825,1,0.00612881,212.298,0.230163,4.9243,0.364462,0.793085,2.74909,0.610946,0.862474
