          ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
  Tlag_pop;   0.23586;   0.05223;     22.15;        NaN
    ka_pop;   1.10931;   0.50239;     45.29;        NaN
     V_pop; 210.92789;  35.21977;     16.70;        NaN
    Cl_pop;  39.58593;   4.27651;     10.80;        NaN
omega_Tlag;   0.00000;   0.00000;      0.00;        NaN
  omega_ka;   1.27011;   0.27939;     22.00;        NaN
   omega_V;   0.43920;   0.14166;     32.25;        NaN
  omega_Cl;   0.34275;   0.07735;     22.57;        NaN
         a;   0.34263;   0.02609;      7.62;        NaN
