parameter,value
Tlag_pop,0.00184740894244043
ka_pop,0.64895299210800894
V_pop,185.05816120985195994
alpha_pop,12.25909753051011997
beta_pop,0.19952773128066723
omega_Tlag,1.35002804343250493
omega_ka,0.88204529685511912
omega_V,0.59991046854258789
omega_alpha,0.34176927053250161
omega_beta,0.10602940055777675
a,0.23927037806056578
