id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd,p0_randomEffects,alpha_randomEffects,tau_randomEffects
1,-1.29097921069542321,-3.72378859635571624,68.77579545198675248,-1.29251042167382835,-3.71949302193150544,68.78431458080009975,0.00000000000000000,0.03748966658023224,0.20022638392542616,0.00000000000000000,-0.22383031664364350,0.11209953521336190
2,-1.29097921069542321,-3.29691170928021027,71.67882453255042208,-1.29251042167382835,-3.29587259984853276,71.69625816713708844,0.00000000000000000,0.02960386719798355,0.19964406716760935,0.00000000000000000,0.19979010543932763,3.02404312155027810
3,-1.29097921069542321,-4.01494399302048954,70.00740738680109132,-1.29251042167382835,-4.01277160846345993,70.01539248745272914,0.00000000000000000,0.04264414457465392,0.23100353989210098,0.00000000000000000,-0.51710890317560110,1.34317744186595700
4,-1.29097921069542321,-3.27340684097942658,60.70996753982822725,-1.29251042167382835,-3.26081627656080464,60.79331669545897654,0.00000000000000000,0.03034927779620018,0.20242765958777309,0.00000000000000000,0.23484642872705752,-7.87889835012778406
5,-1.29097921069542321,-3.69563784472221402,73.51659502522387868,-1.29251042167382835,-3.69667515327899610,73.51475042003384885,0.00000000000000000,0.03073873202991013,0.22254130641337819,0.00000000000000000,-0.20101244799113649,4.84253537444699500
6,-1.29097921069542321,-2.84964332314879387,58.62269517517469808,-1.29251042167382835,-2.83455391517300548,58.74192839633649044,0.00000000000000000,0.05758367038190531,0.45545011666521545,0.00000000000000000,0.66110879011485868,-9.93028664925025950
7,-1.29097921069542321,-3.41658844236851378,60.75107517379876043,-1.29251042167382835,-3.41205478026122222,60.78178750336572023,0.00000000000000000,0.02012408006879078,0.16075540491868415,0.00000000000000000,0.08360792502664009,-7.89042754222106968
8,-1.29097921069542321,-3.39804148007815421,56.33470914145172515,-1.29251042167382835,-3.39619491500125648,56.34011471273908001,0.00000000000000000,0.02494552022931958,0.20109832612291442,0.00000000000000000,0.09946779028660452,-12.33210033284764684
9,-1.29097921069542321,-3.30277234453720325,61.75820050609337386,-1.29251042167382835,-3.30556958253673372,61.74528808657606760,0.00000000000000000,0.02907344615611284,0.17308610890331511,0.00000000000000000,0.19009312275112855,-6.92692695901066458
10,-1.29097921069542321,-4.13591814874861896,72.99397701429337815,-1.29251042167382835,-4.13822136284953501,72.98524568684351266,0.00000000000000000,0.03903004099700678,0.24044054996463066,0.00000000000000000,-0.64255865756167319,4.31303064125679825
11,-1.29097921069542321,-2.66761791306452967,63.80588923334637741,-1.29251042167382835,-2.68506541170693591,63.83117437115519266,0.00000000000000000,0.06210480363915367,0.15937102862374311,0.00000000000000000,0.81059729358092747,-4.84104067443154129
12,-1.29097921069542321,-3.48674645345165413,73.17558170381688853,-1.29251042167382835,-3.48568670781969647,73.16270768103271394,0.00000000000000000,0.03605909811031883,0.20162417223523274,0.00000000000000000,0.00997599746816526,4.49049263544598354
13,-1.29097921069542321,-3.06564052386909180,68.70424614178803324,-1.29251042167382835,-3.05652792956874197,68.73309116213928860,0.00000000000000000,0.01966961416043438,0.09820490429791656,0.00000000000000000,0.43913477571912207,0.06087611655251499
14,-1.29097921069542321,-2.72108601755445800,66.77580552040977580,-1.29251042167382835,-2.72478385830578107,66.76656852864562097,0.00000000000000000,0.02399542529094134,0.14650051002314399,0.00000000000000000,0.77087884698207865,-1.90564651694111564
15,-1.29097921069542321,-3.17925571148659047,79.55297075259787221,-1.29251042167382835,-3.18863351154489649,79.50653558122910169,0.00000000000000000,0.05220583141402581,0.15473224399138194,0.00000000000000000,0.30702919374296606,10.83432053564233044
16,-1.29097921069542321,-3.56053071228091156,56.16666159838510453,-1.29251042167382835,-3.54784095679286882,56.27639533396425264,0.00000000000000000,0.02721748455790212,0.25335894058482722,0.00000000000000000,-0.05217825150500490,-12.39581971162248131
17,-1.29097921069542321,-3.22310908987782430,69.72705868277800789,-1.29251042167382835,-3.22453998978149636,69.72024711006253028,0.00000000000000000,0.02153241122030307,0.13519582807071251,0.00000000000000000,0.27112271550636263,1.04803206447571973
18,-1.29097921069542321,-3.50691702474032008,55.35055490040069515,-1.29251042167382835,-3.50735387976704382,55.35462268089051463,0.00000000000000000,0.02474201551688048,0.24394511806948327,0.00000000000000000,-0.01169117447918313,-13.31759236469625485
19,-1.29097921069542321,-3.44020908615089560,73.89537268435176998,-1.29251042167382835,-3.44530294112579627,73.85686284460354045,0.00000000000000000,0.02133018731941461,0.15340385866740125,0.00000000000000000,0.05035976416206855,5.18464779901688910
20,-1.29097921069542321,-3.51089901358115331,61.96213178648157083,-1.29251042167382835,-3.50776715066591072,61.99445974088569500,0.00000000000000000,0.02334640394891671,0.24060103602529204,0.00000000000000000,-0.01210444537804969,-6.67775530470109580
21,-1.29097921069542321,-3.40916768922854718,64.24766210346724904,-1.29251042167382835,-3.40802079771666833,64.27431295097808572,0.00000000000000000,0.02865201822722364,0.23747393993056468,0.00000000000000000,0.08764190757119425,-4.39790209460859316
22,-1.29097921069542321,-4.47504570086329156,73.69433971027115149,-1.29251042167382835,-4.44882277887722033,73.56173800386402206,0.00000000000000000,0.07194167864836518,0.46969944956394555,0.00000000000000000,-0.95316007358935584,4.88952295827729344
23,-1.29097921069542321,-3.78907420089074787,65.79095613252584940,-1.29251042167382835,-3.79694161926173068,65.70105773568268148,0.00000000000000000,0.02993600256392520,0.30524545506609391,0.00000000000000000,-0.30127891397387113,-2.97115730990406357
24,-1.29097921069542321,-4.69451774811822897,72.55263532007103322,-1.29251042167382835,-4.70152210645298663,72.48237745196624360,0.00000000000000000,0.05989937628804500,0.46258014696041416,0.00000000000000000,-1.20585940116513468,3.81016240637954473
25,-1.29097921069542321,-3.72129252155079326,72.03787369394194684,-1.29251042167382835,-3.73745078453300783,72.00952299959843117,0.00000000000000000,0.06054489593910506,0.23160236120632599,0.00000000000000000,-0.24178807924514767,3.33730795401159908
26,-1.29097921069542321,-2.89906845123808354,73.74664792171448369,-1.29251042167382835,-2.84374086582631591,73.65223471787022902,0.00000000000000000,0.11416549863889688,0.21091189962700324,0.00000000000000000,0.65192183946154758,4.98001967228343378
27,-1.29097921069542321,-3.80482947830976270,65.46022705157503196,-1.29251042167382835,-3.80345267273890997,65.46022623357288239,0.00000000000000000,0.02959194483865797,0.32637679528070568,0.00000000000000000,-0.30778996745104986,-3.21198881201386133
28,-1.29097921069542321,-3.22896009827839059,70.11993377846293640,-1.29251042167382835,-3.22982815827659930,70.09589977696489882,0.00000000000000000,0.02365197107902419,0.20819854796612056,0.00000000000000000,0.26583454701126158,1.42368473137810225
29,-1.29097921069542321,-2.87223092929134749,77.01537012707002816,-1.29251042167382835,-2.87007453600701412,77.02366390435759058,0.00000000000000000,0.02483876522789917,0.08970831064181854,0.00000000000000000,0.62558816928084748,8.35144885877086551
30,-1.29097921069542321,-3.91010986178138342,64.51799121729300168,-1.29251042167382835,-3.91346311592842744,64.48494039043286818,0.00000000000000000,0.02321690093836994,0.31932492543744878,0.00000000000000000,-0.41780041064056567,-4.18727465515377339
31,-1.29097921069542321,-3.00132229046353460,62.80381806937134570,-1.29251042167382835,-3.00187914444792980,62.81233156663064676,0.00000000000000000,0.02927809394173603,0.12636122303934649,0.00000000000000000,0.49378356083993541,-5.85988347895604811
32,-1.29097921069542321,-3.12812220792902229,70.72709068702891955,-1.29251042167382835,-3.12493761156902616,70.75300626023047812,0.00000000000000000,0.02844787659312950,0.17982410922167361,0.00000000000000000,0.37072509371883661,2.08079121464370376
33,-1.29097921069542321,-3.76324798292859608,70.35222157835822543,-1.29251042167382835,-3.75648509067950798,70.28738208591593661,0.00000000000000000,0.06769590101600367,0.28066018311323160,0.00000000000000000,-0.26082238539164598,1.61516704032917291
34,-1.29097921069542321,-3.35437996991555876,64.62214871843137587,-1.29251042167382835,-3.35512498581554697,64.60623954383711975,0.00000000000000000,0.01805515706970347,0.12473787354702329,0.00000000000000000,0.14053771947231725,-4.06597550174969857
35,-1.29097921069542321,-3.37111375923223999,71.36533512571270421,-1.29251042167382835,-3.36780298118276811,71.36254777989175579,0.00000000000000000,0.03132932308376836,0.12084746432252029,0.00000000000000000,0.12785972410509386,2.69033273430498276
36,-1.29097921069542321,-3.53465216585494257,65.74591293293272543,-1.29251042167382835,-3.53847455857565096,65.69899096177282161,0.00000000000000000,0.02397113456773347,0.21465526949181901,0.00000000000000000,-0.04281185328779089,-2.97322408381391945
37,-1.29097921069542321,-3.84943827281753892,60.60783347856004610,-1.29251042167382835,-3.85342017268557813,60.56258421766894884,0.00000000000000000,0.03163410827814046,0.33676254588773114,0.00000000000000000,-0.35775746739771658,-8.10963082791779577
38,-1.29097921069542321,-2.88157650966574330,65.82841640026053653,-1.29251042167382835,-2.88858821749518757,65.76539927403493380,0.00000000000000000,0.03225677467055423,0.33887513660861174,0.00000000000000000,0.60707448779267370,-2.90681577155181259
39,-1.29097921069542321,-3.57272512821761756,70.04694793100387074,-1.29251042167382835,-3.57292959560618417,70.01564076166550876,0.00000000000000000,0.02479082666455644,0.22892850008560511,0.00000000000000000,-0.07726689031832602,1.34342571607872885
40,-1.29097921069542321,-2.89855213029197056,63.67515975116275229,-1.29251042167382835,-2.89412488680389091,63.69692560862129938,0.00000000000000000,0.02563719251991129,0.10075173549630631,0.00000000000000000,0.60153781848397025,-4.97528943696548431
41,-1.29097921069542321,-3.82939291720274877,66.60837650024771506,-1.29251042167382835,-3.83305477700527986,66.57352189182562086,0.00000000000000000,0.03682278787619859,0.23512117289071094,0.00000000000000000,-0.33739207171741775,-2.09869315376130583
42,-1.29097921069542321,-2.57982108585963754,68.47233696849563955,-1.29251042167382835,-2.58622204596127769,68.45128691021861300,0.00000000000000000,0.01944466936264466,0.08245463980696417,0.00000000000000000,0.90944065932658280,-0.22092813536822156
43,-1.29097921069542321,-3.03365021201627627,70.09360138910186322,-1.29251042167382835,-3.04482496395202773,70.04131753224551460,0.00000000000000000,0.03172400882974090,0.16108125786220623,0.00000000000000000,0.45083774133583321,1.36910248665877754
44,-1.29097921069542321,-3.39887820569343413,57.90582397542912219,-1.29251042167382835,-3.37503268642780174,58.14086894053483690,0.00000000000000000,0.02860743704262013,0.25683321387960945,0.00000000000000000,0.12063001886005888,-10.53134610505193614
