Tlag_abscissa,Tlag_pdf,Tlag_cdf,ka_abscissa,ka_pdf,ka_cdf,V_abscissa,V_pdf,V_cdf,alpha_abscissa,alpha_pdf,alpha_cdf,beta_abscissa,beta_pdf,beta_cdf,split
0.0504397,0.291622,0.992849,6.00243,0.00313242,0.994166,435.757,0.00055086,0.923292,15.3066,0.0617536,0.742029,0.218235,12.0624,0.801004,All
0.051204,0.27952,0.993067,6.09337,0.00295537,0.994443,442.239,0.00052389,0.926775,15.4627,0.0599365,0.751524,0.219257,11.5559,0.813076,All
0.0519682,0.268055,0.993276,6.18432,0.00278994,0.994704,448.72,0.000498308,0.930086,15.6188,0.0581399,0.760738,0.220279,11.0515,0.824632,All
0.0527325,0.257188,0.993477,6.27527,0.00263526,0.994951,455.201,0.000474043,0.933237,15.7748,0.0563662,0.769673,0.221302,10.5511,0.835674,All
0.0534967,0.24688,0.993669,6.36621,0.00249053,0.995184,461.683,0.000451026,0.936234,15.9309,0.0546177,0.778333,0.222324,10.0565,0.846207,All
0.0542609,0.237097,0.993854,6.45716,0.00235502,0.995404,468.164,0.00042919,0.939086,16.087,0.0528965,0.786722,0.223346,9.56917,0.856237,All
0.0550252,0.227805,0.994032,6.5481,0.00222807,0.995612,474.645,0.000408475,0.9418,16.243,0.0512043,0.794845,0.224368,9.09062,0.865775,All
0.0557894,0.218975,0.994203,6.63905,0.00210905,0.99581,481.127,0.00038882,0.944383,16.3991,0.0495426,0.802706,0.225391,8.62213,0.874827,All
0.0565536,0.21058,0.994367,6.73,0.0019974,0.995996,487.608,0.000370169,0.946842,16.5551,0.0479128,0.81031,0.226413,8.16481,0.883407,All
0.0573179,0.202592,0.994525,6.82094,0.0018926,0.996173,494.089,0.000352471,0.949183,16.7112,0.0463162,0.817663,0.227435,7.71967,0.891525,All
0.0580821,0.194988,0.994676,6.91189,0.00179418,0.996341,500.57,0.000335673,0.951413,16.8673,0.0447535,0.824769,0.228458,7.28755,0.899195,All
0.0588464,0.187746,0.994823,7.00283,0.00170168,0.9965,507.052,0.000319728,0.953536,17.0233,0.0432257,0.831633,0.22948,6.86918,0.90643,All
0.0596106,0.180844,0.994964,7.09378,0.00161471,0.99665,513.533,0.000304592,0.955559,17.1794,0.0417334,0.838262,0.230502,6.46512,0.913245,All
0.0603748,0.174264,0.995099,7.18472,0.00153289,0.996794,520.014,0.000290222,0.957486,17.3355,0.0402771,0.844661,0.231524,6.07585,0.919654,All
0.0611391,0.167986,0.99523,7.27567,0.00145586,0.996929,526.496,0.000276576,0.959323,17.4915,0.0388571,0.850836,0.232547,5.70171,0.925672,All
0.0619033,0.161995,0.995356,7.36662,0.00138332,0.997058,532.977,0.000263617,0.961073,17.6476,0.0374738,0.856792,0.233569,5.34292,0.931317,All
0.0626676,0.156274,0.995478,7.45756,0.00131496,0.997181,539.458,0.000251308,0.962741,17.8037,0.0361271,0.862535,0.234591,4.99963,0.936602,All
0.0634318,0.150809,0.995595,7.54851,0.00125051,0.997298,545.94,0.000239615,0.964332,17.9597,0.0348171,0.86807,0.235614,4.67186,0.941544,All
0.064196,0.145585,0.995708,7.63945,0.00118971,0.997409,552.421,0.000228506,0.965849,18.1158,0.0335437,0.873404,0.236636,4.35957,0.946159,All
0.0649603,0.14059,0.995818,7.7304,0.00113233,0.997514,558.902,0.000217949,0.967295,18.2719,0.0323068,0.878542,0.237658,4.06263,0.950463,All
0.0657245,0.135812,0.995923,7.82135,0.00107815,0.997615,565.384,0.000207917,0.968675,18.4279,0.0311061,0.88349,0.238681,3.78085,0.954471,All
0.0664887,0.131239,0.996025,7.91229,0.00102697,0.99771,571.865,0.00019838,0.969992,18.584,0.0299413,0.888253,0.239703,3.51397,0.958198,All
0.067253,0.12686,0.996124,8.00324,0.000978594,0.997802,578.346,0.000189315,0.971248,18.7401,0.0288119,0.892837,0.240725,3.26168,0.96166,All
0.0680172,0.122666,0.996219,8.09418,0.000932853,0.997889,584.828,0.000180694,0.972446,18.8961,0.0277177,0.897248,0.241747,3.02361,0.964872,All
0.0687815,0.118646,0.996311,8.18513,0.000889583,0.997971,591.309,0.000172497,0.973591,19.0522,0.0266579,0.901491,0.24277,2.79937,0.967847,All
0.0695457,0.114794,0.996401,8.27608,0.000848631,0.99805,597.79,0.0001647,0.974683,19.2083,0.0256322,0.90557,0.243792,2.58852,0.9706,All
0.0703099,0.111098,0.996487,8.36702,0.000809856,0.998126,604.272,0.000157283,0.975727,19.3643,0.0246399,0.909493,0.244814,2.3906,0.973144,All
0.0710742,0.107553,0.99657,8.45797,0.000773127,0.998198,610.753,0.000150226,0.976723,19.5204,0.0236804,0.913263,0.245837,2.20513,0.975492,All
0.0718384,0.104151,0.996651,8.54891,0.000738321,0.998266,617.234,0.00014351,0.977675,19.6764,0.022753,0.916886,0.246859,2.03161,0.977657,All
0.0726027,0.100884,0.99673,8.63986,0.000705324,0.998332,623.716,0.000137118,0.978584,19.8325,0.0218571,0.920367,0.247881,1.86953,0.97965,All
0.0733669,0.0977469,0.996806,8.73081,0.000674029,0.998395,630.197,0.000131034,0.979453,19.9886,0.0209921,0.92371,0.248903,1.71837,0.981483,All
0.0741311,0.0947324,0.996879,8.82175,0.000644335,0.998455,636.678,0.000125241,0.980283,20.1446,0.0201571,0.92692,0.249926,1.57762,0.983167,All
0.0748954,0.091835,0.99695,8.9127,0.000616151,0.998512,643.16,0.000119725,0.981077,20.3007,0.0193515,0.930003,0.250948,1.44675,0.984712,All
0.0756596,0.0890493,0.997019,9.00364,0.000589389,0.998567,649.641,0.000114471,0.981836,20.4568,0.0185745,0.932962,0.25197,1.32525,0.986128,All
