Tlag_abscissa,Tlag_pdf,ka_abscissa,ka_pdf,V_abscissa,V_pdf,alpha_abscissa,alpha_pdf,beta_abscissa,beta_pdf,split
0.0046527,102.217,0.657585,0.780908,73.6132,0.00231434,6.58649,0.0961138,0.161114,3.26064,All
0.0136409,14.6025,1.71405,0.177479,146.528,0.00308579,8.34223,0.0320379,0.172615,4.89095,All
0.0226291,6.25819,2.77051,0.0709916,219.443,0.00437153,10.098,0.128152,0.184115,16.3032,All
0.0316173,0,3.82697,0.0177479,292.358,0.00205719,11.8537,0.138831,0.195616,24.4548,All
0.0406056,0,4.88344,0,365.273,0.00180004,13.6094,0.0961138,0.207117,17.9335,All
0.0495938,0,5.9399,0,438.188,0.0010286,15.3652,0.0854345,0.218618,9.78191,All
0.058582,0,6.99636,0,511.103,0.000257149,17.1209,0.0213586,0.230119,11.4122,All
0.0675702,2.08606,8.05283,0.0177479,584.018,0.000514298,18.8766,0.0427172,0.24162,9.78191,All
